question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_b_story_verified_001,1,ENGLISH_B | Story Writing | Important Past-Paper and Board-Practice Stories | Total 20 | Q6 | 8 Marks,Topic,topic_separator,,,,,1
q_9_eng_b_story_verified_001,1,ENGLISH_B | Story Writing | Past-Paper Verified | All That Glitters Is Not Gold | Q6,Long,story,Write a story with the moral “All that glitters is not gold”.,Medium,8,ELITE,1
q_9_eng_b_story_verified_002,1,ENGLISH_B | Story Writing | Past-Paper Verified | Haste Makes Waste | Q6,Long,story,Write a story with the moral “Haste makes waste”.,Medium,8,ELITE,1
q_9_eng_b_story_verified_003,1,ENGLISH_B | Story Writing | Past-Paper Verified | A Friend in Need Is a Friend Indeed | Q6,Long,story,Write a story with the moral “A friend in need is a friend indeed”.,Medium,8,ULTRA,1
q_9_eng_b_story_verified_004,1,ENGLISH_B | Story Writing | Past-Paper Verified | Greed Is a Curse | Q6,Long,story,Write a story with the moral “Greed is a curse”.,Medium,8,ULTRA,1
q_9_eng_b_story_verified_005,1,ENGLISH_B | Story Writing | Past-Paper Verified | Look Before You Leap | Q6,Long,story,Write a story with the moral “Look before you leap”.,Medium,8,ULTRA,1
q_9_eng_b_story_verified_006,1,ENGLISH_B | Story Writing | Past-Paper Verified | Pride Hath a Fall | Q6,Long,story,Write a story with the moral “Pride hath a fall”.,Medium,8,ULTRA,1
q_9_eng_b_story_verified_007,1,ENGLISH_B | Story Writing | Past-Paper Verified | Union Is Strength | Q6,Long,story,Write a story on the given topic along with its moral: “Union is strength”.,Medium,8,PRO,1
q_9_eng_b_story_verified_008,1,ENGLISH_B | Story Writing | Past-Paper Verified | Never Tell a Lie | Q6,Long,story,Write a story with the moral “Never tell a lie”.,Medium,8,PRO,1
q_9_eng_b_story_verified_009,1,ENGLISH_B | Story Writing | Past-Paper Verified | It Never Pays to Over-reach Yourself | Q6,Long,story,Write a story with the moral “It never pays to over-reach yourself”.,Medium,8,PRO,1
q_9_eng_b_story_verified_010,1,"ENGLISH_B | Story Writing | Past-Paper Verified | Once a Liar, Always a Liar | Q6",Long,story,"Write a story with the moral “Once a liar, always a liar”.",Medium,8,PRO,1
q_9_eng_b_story_verified_011,1,ENGLISH_B | Story Writing | Past-Paper Verified | The Boy Who Cried Wolf | Q6,Long,story,Write a story with the moral “The Boy Who Cried Wolf”.,Medium,8,PRO,1
q_9_eng_b_story_verified_012,1,ENGLISH_B | Story Writing | Past-Paper Verified | The Muslim Brotherhood | Q6,Long,story,Write a story with the topic “The Muslim Brotherhood”.,Medium,8,PRO,1
q_9_eng_b_story_verified_013,1,ENGLISH_B | Story Writing | Past-Paper Verified | The Kindness of Rasool | Q6,Long,story,Write a story with the topic “The Kindness of Rasool”.,Medium,8,PRO,1
q_9_eng_b_story_verified_014,1,ENGLISH_B | Story Writing | Past-Paper Verified | Robbers Turn Good Citizens | Q6,Long,story,Write a story with the topic “Robbers Turn Good Citizens”.,Medium,8,PRO,1
q_9_eng_b_story_verified_015,1,ENGLISH_B | Story Writing | Past-Paper Verified | Speak the Truth Always | Q6,Long,story,Write a story with the moral “Speak the truth always”.,Medium,8,PRO,1
q_9_eng_b_story_important_016,1,ENGLISH_B | Story Writing | Important Board Practice | A Thirsty Crow | Moral: Necessity is the Mother of Invention | Q6,Long,story,Write a story entitled “A Thirsty Crow”. Conclude it with the moral “Necessity is the mother of invention”.,Medium,8,ELITE,1
q_9_eng_b_story_important_017,1,ENGLISH_B | Story Writing | Important Board Practice | The Fox and the Grapes | Moral: Grapes Are Sour | Q6,Long,story,Write a story entitled “The Fox and the Grapes”. Conclude it with the moral “Grapes are sour”.,Medium,8,ELITE,1
q_9_eng_b_story_important_018,1,ENGLISH_B | Story Writing | Important Board Practice | The Hare and the Tortoise | Moral: Slow and Steady Wins the Race | Q6,Long,story,Write a story entitled “The Hare and the Tortoise”. Conclude it with the moral “Slow and steady wins the race”.,Medium,8,ULTRA,1
q_9_eng_b_story_important_019,1,ENGLISH_B | Story Writing | Important Board Practice | The Honest Woodcutter | Moral: Honesty Is the Best Policy | Q6,Long,story,Write a story entitled “The Honest Woodcutter”. Conclude it with the moral “Honesty is the best policy”.,Medium,8,ULTRA,1
q_9_eng_b_story_important_020,1,ENGLISH_B | Story Writing | Important Board Practice | The Dove and the Ant | Moral: One Good Turn Deserves Another | Q6,Long,story,Write a story entitled “The Dove and the Ant”. Conclude it with the moral “One good turn deserves another”.,Medium,8,PRO,1
