question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch5_sq_001,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch5_sq_001,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"Why is the statue of the Happy Prince crying, even though he was known as “Happy Prince” during his life?",Medium,2,ELITE,1
q_10_eng_ch5_sq_002,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What motivates the Swallow to delay his journey to Egypt and help the Happy Prince?,Medium,2,ELITE,1
q_10_eng_ch5_sq_003,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Describe the first act of kindness that the Happy Prince and the Swallow performed together.,Medium,2,ELITE,1
q_10_eng_ch5_sq_004,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How does the relationship between the Happy Prince and the Swallow change throughout the story?,Medium,2,ELITE,1
q_10_eng_ch5_sq_005,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What does the Prince mean when he says, “There is no Mystery so great as Misery”?",Medium,2,ELITE,1
q_10_eng_ch5_sq_006,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Why does the Prince ask the Swallow to strip off his gold leaf by leaf? What effect does this have on the people of the city?,Medium,2,ELITE,1
q_10_eng_ch5_sq_007,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What message do you think Oscar Wilde is trying to convey about wealth, beauty, and true value?",Medium,2,ELITE,1
q_10_eng_ch5_sq_008,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What is the symbolic meaning of the Swallow dying at the Prince's feet and the leaden heart not melting in the furnace?,Medium,2,ELITE,1
sep_10_eng_ch5_sq_002,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | In-Text Questions,topic_separator,,,,,1
q_10_eng_ch5_sq_009,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | In-Text Questions,in_text_question,Why does the Happy Prince say he cannot help but weep after being placed high above the city?,Medium,2,ELITE,1
q_10_eng_ch5_sq_010,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | In-Text Questions,in_text_question,Why does the Happy Prince ask the Swallow to give his other eye to the match-girl?,Medium,2,ELITE,1
sep_10_eng_ch5_sq_003,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,topic_separator,,,,,1
q_10_eng_ch5_sq_011,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,How was the statue of the Happy Prince decorated?,Easy,2,ELITE,1
q_10_eng_ch5_sq_012,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,event_cause_effect,Why did the Swallow stop at the foot of the Happy Prince?,Medium,2,ULTRA,1
