question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b1_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,Remember,نبی کریم ﷺ کے عمل کو کہا جاتا ہے:,حدیث فعلی,حدیث قولی,حدیث تقریری,حدیث قدسی,A | حدیث فعلی,Medium,1,ELITE,1
q_10_isl_b1_mcq_002,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,Remember,حدیث کو جمع کرنا اور کتابی شکل دینا کہلاتا ہے:,تدوین حدیث,حفاظت حدیث,روایت حدیث,درایت حدیث,A | تدوین حدیث,Medium,1,ELITE,1
q_10_isl_b1_mcq_003,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,Remember,نبی کریم ﷺ نے حضرت عمرو بن حزم رضی اللہ عنہ کو بطور والی کہاں بھیجا؟,یمن,مصر,شام,حبشہ,A | یمن,Medium,1,ELITE,1
q_10_isl_b1_mcq_004,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,Remember,صحاح ستہ میں شامل ہیں:,دو کتابیں,چار کتابیں,چھ کتابیں,آٹھ کتابیں,C | چھ کتابیں,Medium,1,ELITE,1
q_10_isl_b1_mcq_005,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,Remember,حضرت عمر بن عبدالعزیز رحمۃ اللہ علیہ نے سرکاری سطح پر انتظام فرمایا:,احادیث پر عمل کرنے کا,احادیث کی جمع و تدوین کا,احادیث کی شرح کرنے کا,احادیث کو حفظ کرنے کا,B | احادیث کی جمع و تدوین کا,Medium,1,ELITE,1
q_10_isl_b1_mcq_006,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حدیث کے معنی و اقسام,Remember,نبی کریم ﷺ کی گفتار کو کہا جاتا ہے:,حدیث قولی,حدیث فعلی,حدیث تقریری,حدیث قدسی,A | حدیث قولی,Medium,1,ULTRA,1
q_10_isl_b1_mcq_007,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حدیث کے معنی و اقسام,Remember,نبی کریم ﷺ کے عملی نمونے کو حدیث کی کون سی قسم کہا جاتا ہے؟,حدیث فعلی,حدیث قولی,حدیث تقریری,حدیث قدسی,A | حدیث فعلی,Medium,1,ULTRA,1
q_10_isl_b1_mcq_008,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حدیث کے معنی و اقسام,Remember,نبی کریم ﷺ کی خاموش تائید کو کہا جاتا ہے:,حدیث تقریری,حدیث قولی,حدیث فعلی,حدیث قدسی,A | حدیث تقریری,Medium,1,ULTRA,1
q_10_isl_b1_mcq_009,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حدیث کے معنی و اقسام,Remember,جس حدیث کا مفہوم اللہ تعالیٰ کی طرف سے اور الفاظ نبی کریم ﷺ کے ہوں، وہ ہے:,حدیث قدسی,حدیث فعلی,حدیث قولی,حدیث تقریری,A | حدیث قدسی,Medium,1,ULTRA,1
q_10_isl_b1_mcq_010,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حدیث کی اہمیت,Remember,احادیث مبارکہ قرآن مجید کی:,تفسیر و تشریح ہیں,مخالفت کرتی ہیں,جگہ لیتی ہیں,منسوخی کرتی ہیں,A | تفسیر و تشریح ہیں,Medium,1,ULTRA,1
q_10_isl_b1_mcq_011,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حدیث کی اہمیت,Remember,قرآن مجید کے بعد ہدایت و رہنمائی کا اہم ذریعہ ہے:,حدیث نبوی ﷺ,صرف تاریخ,صرف فقہ,صرف لغت,A | حدیث نبوی ﷺ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_012,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حدیث کی اہمیت,Remember,عبادات، معاملات اور احکامات کی تفصیل ہمیں ملتی ہے:,احادیث سے,صرف اشعار سے,صرف تاریخ سے,صرف لغت سے,A | احادیث سے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_013,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حدیث کی اہمیت,Remember,رسول اللہ ﷺ کی اطاعت کا حکم ملتا ہے:,قرآن مجید میں,صرف تاریخ میں,صرف فقہ میں,صرف لغت میں,A | قرآن مجید میں,Medium,1,ULTRA,1
q_10_isl_b1_mcq_014,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور نبوی میں حفاظت حدیث,Remember,دور نبوی ﷺ میں حفاظت حدیث کا آغاز ہوا:,ابتدائی دور ہی میں,تابعین کے بعد,عباسی دور میں,بہت بعد میں,A | ابتدائی دور ہی میں,Medium,1,ULTRA,1
q_10_isl_b1_mcq_015,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور نبوی میں حفاظت حدیث,Remember,صحابہ کرام رضی اللہ عنہم احادیث کو محفوظ کرتے تھے:,یاد کر کے,نظر انداز کر کے,بدل کر,صرف ترجمہ کر کے,A | یاد کر کے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_016,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور نبوی میں حفاظت حدیث,Remember,احادیث کے تحفظ کا ایک اہم ذریعہ تھا:,عمل,غفلت,اختلاف,خاموشی,A | عمل,Medium,1,ULTRA,1
q_10_isl_b1_mcq_017,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور نبوی میں حفاظت حدیث,Remember,احادیث کے تحفظ کا ایک ذریعہ تھا:,کتابت,صرف سفر,صرف تجارت,صرف جنگ,A | کتابت,Medium,1,ULTRA,1
q_10_isl_b1_mcq_018,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور نبوی میں حفاظت حدیث,Remember,نبی کریم ﷺ اہم بات کو بعض اوقات دہراتے تھے:,تین مرتبہ,دو مرتبہ,سات مرتبہ,دس مرتبہ,A | تین مرتبہ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_019,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور نبوی میں حفاظت حدیث,Remember,اہم بات دہرانے کا مقصد تھا:,اچھی طرح سمجھانا اور یاد کرانا,صرف وقت گزارنا,گفتگو لمبی کرنا,اختلاف پیدا کرنا,A | اچھی طرح سمجھانا اور یاد کرانا,Medium,1,ULTRA,1
q_10_isl_b1_mcq_020,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور نبوی میں حفاظت حدیث,Remember,صحابہ کرام رضی اللہ عنہم نبی کریم ﷺ کی بات سن کر اسے:,محفوظ کرتے تھے,بھول جاتے تھے,رد کرتے تھے,بدل دیتے تھے,A | محفوظ کرتے تھے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_021,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,دور رسالت میں مختلف حکمرانوں کو بھیجے گئے:,دعوتی خطوط,صرف تحفے,صرف سکے,صرف نقشے,A | دعوتی خطوط,Medium,1,ULTRA,1
q_10_isl_b1_mcq_022,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,نبی کریم ﷺ نے حضرت عمرو بن حزم رضی اللہ عنہ کو والی بنا کر بھیجا:,یمن,مصر,شام,عراق,A | یمن,Medium,1,ULTRA,1
q_10_isl_b1_mcq_023,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,حضرت عمرو بن حزم رضی اللہ عنہ کو تحریری احکامات دیے گئے:,صدقہ و وراثت کے,صرف تجارت کے,صرف زراعت کے,صرف سفر کے,A | صدقہ و وراثت کے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_024,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,زکوٰۃ وصول کرنے والوں کی رہنمائی کے لیے دیے گئے:,تحریری احکامات,صرف زبانی اشعار,صرف نقشے,صرف سکے,A | تحریری احکامات,Medium,1,ULTRA,1
q_10_isl_b1_mcq_025,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,صحیفہ صادقہ مرتب کیا:,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ نے,حضرت ابو موسیٰ اشعری رضی اللہ عنہ نے,حضرت جابر رضی اللہ عنہ نے,حضرت انس رضی اللہ عنہ نے,A | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ نے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_026,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,صحیفہ صادقہ ہے:,احادیث کا مجموعہ,تفسیر کی کتاب,تاریخ کی کتاب,فقہ میراث کی کتاب,A | احادیث کا مجموعہ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_027,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,ذاتی تحریری احادیث کے نسخے رکھنے والے صحابہ میں شامل تھے:,حضرت ابو بکر صدیق رضی اللہ عنہ,ابو لہب,ابو جہل,ولید بن مغیرہ,A | حضرت ابو بکر صدیق رضی اللہ عنہ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_028,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,احادیث کے ذاتی تحریری نسخے رکھنے والوں میں شامل تھے:,حضرت علی رضی اللہ عنہ,ابو سفیان قبل اسلام,عتبہ,شیبہ,A | حضرت علی رضی اللہ عنہ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_029,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | تحریری حفاظت حدیث,Remember,کتاب کے مطابق ذاتی تحریری احادیث رکھنے والے صحابی تھے:,حضرت عبداللہ بن مسعود رضی اللہ عنہ,ابو لہب,امیہ بن خلف,ولید بن مغیرہ,A | حضرت عبداللہ بن مسعود رضی اللہ عنہ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_030,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور تابعین و تدوین,Remember,صحابہ کرام کے بعد آیا:,تابعین کا دور,مکی دور,جاہلی دور,رومی دور,A | تابعین کا دور,Medium,1,ULTRA,1
q_10_isl_b1_mcq_031,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور تابعین و تدوین,Remember,تابعین کے دور میں جمع و تدوین حدیث نے اختیار کی:,منظم تحریک کی شکل,مکمل خاموشی,منسوخی,صرف زبانی روایت,A | منظم تحریک کی شکل,Medium,1,ULTRA,1
q_10_isl_b1_mcq_032,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور تابعین و تدوین,Remember,احادیث کو کتابی شکل میں مرتب کرنا کہلاتا ہے:,تدوین حدیث,ترجمہ حدیث,تلاوت حدیث,تجوید حدیث,A | تدوین حدیث,Medium,1,ULTRA,1
q_10_isl_b1_mcq_033,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | دور تابعین و تدوین,Remember,سرکاری سطح پر تدوین حدیث کا انتظام فرمایا:,حضرت عمر بن عبدالعزیز رحمۃ اللہ علیہ نے,حضرت عمرو بن العاص رضی اللہ عنہ نے,حضرت خالد بن ولید رضی اللہ عنہ نے,حضرت بلال رضی اللہ عنہ نے,A | حضرت عمر بن عبدالعزیز رحمۃ اللہ علیہ نے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_034,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | کتب حدیث,Remember,صحیح بخاری کے مؤلف ہیں:,امام بخاری رحمۃ اللہ علیہ,امام مالک رحمۃ اللہ علیہ,امام شافعی رحمۃ اللہ علیہ,امام ابو حنیفہ رحمۃ اللہ علیہ,A | امام بخاری رحمۃ اللہ علیہ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_035,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | کتب حدیث,Remember,صحیح مسلم کے مؤلف ہیں:,امام مسلم رحمۃ اللہ علیہ,امام نسائی رحمۃ اللہ علیہ,امام ترمذی رحمۃ اللہ علیہ,امام ابن ماجہ رحمۃ اللہ علیہ,A | امام مسلم رحمۃ اللہ علیہ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_036,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | کتب حدیث,Remember,جامع ترمذی تعلق رکھتی ہے:,حدیث سے,صرف تاریخ سے,صرف نحو سے,صرف حساب سے,A | حدیث سے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_037,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | کتب حدیث,Remember,سنن ابی داؤد ہے:,کتاب حدیث,کتاب لغت,کتاب جغرافیہ,کتاب طب,A | کتاب حدیث,Medium,1,ULTRA,1
q_10_isl_b1_mcq_038,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | کتب حدیث,Remember,سنن نسائی ہے:,کتاب حدیث,کتاب شاعری,کتاب منطق,کتاب ہندسہ,A | کتاب حدیث,Medium,1,ULTRA,1
q_10_isl_b1_mcq_039,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | کتب حدیث,Remember,سنن ابن ماجہ ہے:,کتاب حدیث,کتاب سیرت فقط,کتاب طب,کتاب فلکیات,A | کتاب حدیث,Medium,1,ULTRA,1
q_10_isl_b1_mcq_040,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | کتب حدیث,Remember,صحاح ستہ کی تعداد ہے:,چھ,چار,سات,آٹھ,A | چھ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_041,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | کتب حدیث,Remember,موطا امام مالک کا تعلق ہے:,احادیث سے,صرف شاعری سے,صرف طب سے,صرف جغرافیہ سے,A | احادیث سے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_042,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,احادیث کی زبانی حفاظت کا اہم ذریعہ تھا:,حفظ,صرف کتابت,صرف تجارت,صرف سفر,A | حفظ,Medium,1,ULTRA,1
q_10_isl_b1_mcq_043,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,احادیث کی عملی حفاظت کا ذریعہ تھا:,ان پر عمل,انہیں ترک کرنا,انہیں بدلنا,انہیں چھپانا,A | ان پر عمل,Medium,1,ULTRA,1
q_10_isl_b1_mcq_044,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,احادیث کی تحریری حفاظت کا ذریعہ تھا:,کتابت,صرف حفظ,صرف سفر,صرف گفتگو,A | کتابت,Medium,1,ULTRA,1
q_10_isl_b1_mcq_045,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,احادیث محفوظ کرنے میں بنیادی کردار ادا کیا:,صحابہ کرام رضی اللہ عنہم نے,صرف تاجروں نے,صرف حکمرانوں نے,صرف شاعروں نے,A | صحابہ کرام رضی اللہ عنہم نے,Medium,1,ULTRA,1
q_10_isl_b1_mcq_046,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,جمع و تدوین حدیث کا مقصد تھا:,احادیث کو محفوظ و مرتب کرنا,احادیث کم کرنا,احادیث بدلنا,احادیث چھپانا,A | احادیث کو محفوظ و مرتب کرنا,Medium,1,ULTRA,1
q_10_isl_b1_mcq_047,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,حدیث کی حفاظت کی ایک صورت تھی:,سماعت و یادداشت,صرف اندازہ,صرف قیاس,صرف روایت بے تحقیق,A | سماعت و یادداشت,Medium,1,ULTRA,1
q_10_isl_b1_mcq_048,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,تحریری نسخوں نے حدیث کے تحفظ میں کردار ادا کیا:,اہم,غیر ضروری,منفی,کوئی نہیں,A | اہم,Medium,1,ULTRA,1
