question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,7.1 Acids and Bases,topic_separator,,,,,,1
q_9_chem_ch7_sq_001,1,7.1 Acids and Bases,features_characteristics,(a) State the taste that is commonly associated with acids (b) State the taste that is commonly associated with bases.,(الف) تیزابوں کے ساتھ عموماً کون سا ذائقہ وابستہ ہے۔ (ب) اساسوں کے ساتھ عموماً کون سا ذائقہ وابستہ ہے۔,Easy,2,ULTRA,1
q_9_chem_ch7_sq_002,1,7.1 Acids and Bases,cause_effect,State the effect do acids have on blue litmus paper.,تیزاب نیلے لٹمس پیپر پر کیا اثر ڈالتے ہیں؟,Easy,2,PRO,1
q_9_chem_ch7_sq_003,1,7.1 Acids and Bases,cause_effect,State the effect do bases have on red litmus paper.,اساس سرخ لٹمس پیپر پر کیا اثر ڈالتے ہیں؟,Easy,2,PRO,1
q_9_chem_ch7_sq_004,1,7.1 Acids and Bases,list_state,(a) Name the ions that are produced by acids in water (b) Name the ions that are produced by bases in water.,(الف) تیزاب پانی میں کون سے آئن پیدا کرتے ہیں۔ (ب) اساس پانی میں کون سے آئن پیدا کرتے ہیں۔,Medium,2,PRO,1
q_9_chem_ch7_sq_005,1,7.1 Acids and Bases,list_state,(a) Name the acid that is present in citrus fruits (b) Name the acid that is used in soap preparation.,(الف) ترش پھلوں میں کون سا تیزاب پایا جاتا ہے۔ (ب) صابن کی تیاری میں کون سا تیزاب استعمال ہوتا ہے۔,Easy,2,PRO,1
q_9_chem_ch7_sq_006,1,7.1 Acids and Bases,list_state,(a) Identify the food that contains oxalic acid (b) Name the acid that listed in the exercise is not used as food or mixed with food.,(الف) نام یا شناخت لکھیں: کون سی غذا آکسالک ایسڈ رکھتی ہے۔ (ب) دیا گیا کون سا تیزاب غذا میں استعمال یا شامل نہیں کیا جاتا۔,Medium,2,PRO,1
TOPIC_SEP,1,7.2 Reactions of Acids and Bases,topic_separator,,,,,,1
q_9_chem_ch7_sq_007,1,7.2 Reactions of Acids and Bases,list_state,(a) What gas is generally evolved when an acid reacts with a metal? (b) Define or describe the usual products when an acid reacts with a metal and state one related characteristic.,(الف) تیزاب کے دھات سے تعامل پر عموماً کون سی گیس خارج ہوتی ہے۔ (ب) تیزاب کے دھات سے تعامل کے عمومی حاصل مادّے کیا ہوتے ہیں۔,Medium,2,PRO,1
q_9_chem_ch7_sq_008,1,7.2 Reactions of Acids and Bases,list_state,(a) What gas is evolved when an acid reacts with a metal carbonate? (b) Define or describe the products of an acid–carbonate reaction and state one related characteristic.,(الف) تیزاب کے دھاتی کاربونیٹ سے تعامل پر کون سی گیس خارج ہوتی ہے۔ (ب) تیزاب اور کاربونیٹ کے تعامل کے حاصل مادّے کی تعریف یا وضاحت کریں۔,Medium,2,PRO,1
q_9_chem_ch7_sq_009,1,7.2 Reactions of Acids and Bases,concept_explanation,What gas is evolved when an alkali reacts with an ammonium salt? Also state one related characteristic.,الکلی کے امونیم نمک سے تعامل پر کون سی گیس خارج ہوتی ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch7_sq_010,1,7.2 Reactions of Acids and Bases,application_scenario,A gas turns moist red litmus paper blue. Which reaction most likely produced it?,ایک گیس نم سرخ لٹمس پیپر کو نیلا کر دیتی ہے۔ غالباً یہ کس تعامل سے بنی؟,Medium,2,PRO,1
q_9_chem_ch7_sq_011,1,7.2 Reactions of Acids and Bases,cause_effect,Explain what happens when a base reacts with a non-metallic oxide.,اساس کے غیر دھاتی آکسائیڈ سے تعامل پر کیا ہوتا ہے؟,Medium,2,ULTRA,1
