question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
,1,9.0 Science and Physical Sciences,,,,,,,,,,,,1
q_9_phy_ch9_001,,9.0 Science and Physical Sciences,Remember,Science is best described as collective knowledge about which of the following?,سائنس کو درج ذیل میں سے کس کے بارے میں اجتماعی علم کہا جاتا ہے؟,"Natural phenomena, processes and events / قدرتی مظاہر، عمل اور واقعات",Only machines and tools / صرف مشینیں اور اوزار,Only living organisms / صرف جاندار اجسام,Only mathematical symbols / صرف ریاضیاتی علامات,"A | Natural phenomena, processes and events / قدرتی مظاہر، عمل اور واقعات",Easy,1,high,
q_9_phy_ch9_002,,9.0 Science and Physical Sciences,Understand,The process of science begins mainly by asking which kind of questions?,سائنس کا عمل بنیادی طور پر کس قسم کے سوالات پوچھنے سے شروع ہوتا ہے؟,When and where only / صرف کب اور کہاں,How and why things behave as they do / چیزیں کیسے اور کیوں ایسا برتاؤ کرتی ہیں,Who owns natural objects / قدرتی اشیا کا مالک کون ہے,Which object is most expensive / کون سی چیز سب سے مہنگی ہے,B | How and why things behave as they do / چیزیں کیسے اور کیوں ایسا برتاؤ کرتی ہیں,Medium,1,high,
q_9_phy_ch9_003,,9.0 Science and Physical Sciences,Remember,The early single discipline for the study of nature was known as:,فطرت کے مطالعے کے ابتدائی واحد شعبے کو کیا کہا جاتا تھا؟,Information technology / انفارمیشن ٹیکنالوجی,Natural philosophy / فلسفۂ فطرت,Medical physics / طبی طبیعیات,Computational physics / حسابی طبیعیات,B | Natural philosophy / فلسفۂ فطرت,Easy,1,high,
q_9_phy_ch9_004,,9.0 Science and Physical Sciences,Understand,Why was the study of nature classified into two main disciplines?,فطرت کے مطالعے کو دو بڑے شعبوں میں کیوں تقسیم کیا گیا؟,Because scientific knowledge greatly increased / کیونکہ سائنسی علم میں بہت اضافہ ہوا,Because all scientists rejected experiments / کیونکہ تمام سائنس دانوں نے تجربات کو رد کر دیا,Because physics stopped being a science / کیونکہ طبیعیات سائنس نہ رہی,Because technology replaced science / کیونکہ ٹیکنالوجی نے سائنس کی جگہ لے لی,A | Because scientific knowledge greatly increased / کیونکہ سائنسی علم میں بہت اضافہ ہوا,Medium,1,high,
q_9_phy_ch9_005,,9.0 Science and Physical Sciences,Remember,Biological sciences mainly deal with:,حیاتیاتی علوم بنیادی طور پر کس سے متعلق ہیں؟,Non-living things / غیر جاندار اشیا,Living things / جاندار اشیا,Only stars and galaxies / صرف ستاروں اور کہکشاؤں,Only machines / صرف مشینوں,B | Living things / جاندار اشیا,Easy,1,high,
q_9_phy_ch9_006,,9.0 Science and Physical Sciences,Remember,Physical sciences are mainly about the study of:,طبیعی علوم بنیادی طور پر کس کے مطالعے سے متعلق ہیں؟,Living things / جاندار اشیا,Non-living things / غیر جاندار اشیا,Only plants / صرف پودوں,Only human behaviour / صرف انسانی رویّے,B | Non-living things / غیر جاندار اشیا,Easy,1,high,
q_9_phy_ch9_007,,9.0 Science and Physical Sciences,Remember,Physics is an important and basic part of which group of sciences?,طبیعیات کس گروہِ علوم کا اہم اور بنیادی حصہ ہے؟,Biological sciences / حیاتیاتی علوم,Social sciences / سماجی علوم,Physical sciences / طبیعی علوم,Language sciences / لسانی علوم,C | Physical sciences / طبیعی علوم,Easy,1,high,
,1,9.1 Scope of Physics,,,,,,,,,,,,1
q_9_phy_ch9_008,,9.1 Scope of Physics,Remember,"Physics deals with matter, energy, space, time and their:",طبیعیات مادہ، توانائی، فضا، وقت اور ان کے کس پہلو سے متعلق ہے؟,Mutual relationships and interactions / باہمی تعلقات اور تعاملات,Colours and prices / رنگوں اور قیمتوں,Names and spellings / ناموں اور ہجوں,Political effects / سیاسی اثرات,A | Mutual relationships and interactions / باہمی تعلقات اور تعاملات,Easy,1,high,
