question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | While-reading Questions,topic_separator,,,,,1
q_9_eng_ch2_sq_001,1,ENGLISH_A | Unit 2 - Patriotism | While-reading Questions,while_reading,What is the origin of the word “patriot”?,Easy,2,PRO,1
q_9_eng_ch2_sq_002,1,ENGLISH_A | Unit 2 - Patriotism | While-reading Questions,while_reading,What are the supreme values of a patriot according to the text?,Easy,2,PRO,1
q_9_eng_ch2_sq_003,1,ENGLISH_A | Unit 2 - Patriotism | While-reading Questions,while_reading,Why did Quaid-e-Azam Muhammad Ali Jinnah want to secure a separate homeland for the Muslims of the subcontinent?,Medium,2,PRO,1
q_9_eng_ch2_sq_004,1,ENGLISH_A | Unit 2 - Patriotism | While-reading Questions,while_reading,Which wars are mentioned in the text in which soldiers laid down their lives for Pakistan?,Easy,2,PRO,1
q_9_eng_ch2_sq_005,1,ENGLISH_A | Unit 2 - Patriotism | While-reading Questions,while_reading,Who is awarded Nishan-e-Haider in Pakistan?,Easy,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,topic_separator,,,,,1
q_9_eng_ch2_sq_006,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,exercise_direct,How do you define patriotism? Give an example from the text or your community that illustrates the definition.,Medium,2,ULTRA,1
q_9_eng_ch2_sq_007,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,exercise_direct,Why were Quaid-e-Azam Muhammad Ali Jinnah's efforts crucial in securing a separate homeland for the Muslims?,Medium,2,PRO,1
q_9_eng_ch2_sq_008,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,exercise_direct,Why are the soldiers mentioned in the text considered heroes? What qualities do they show?,Medium,2,PRO,1
q_9_eng_ch2_sq_009,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,exercise_direct,How can the spirit of patriotism be maintained and fostered in today's society? Give examples of modern acts of patriotism.,Hard,2,ULTRA,1
q_9_eng_ch2_sq_010,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,exercise_direct,What does S. W. Scott mean by “a man devoid of patriotic spirit”? Explain the idea.,Hard,2,PRO,1
q_9_eng_ch2_sq_011,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,exercise_direct,"How can schools teach students about patriotism, and why is it important?",Medium,2,ULTRA,1
q_9_eng_ch2_sq_012,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,exercise_direct,Give one small act of patriotism that a person can perform every day. How does it help the country?,Medium,2,ULTRA,1
q_9_eng_ch2_sq_013,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,exercise_direct,What did you learn about patriotism from the text?,Easy,2,ULTRA,1
q_9_eng_ch2_sq_014,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,event_cause_effect,Identify the cause and effect in the statement: “Patriots render sacrifice for the preservation and protection of the country's values.”,Medium,2,PRO,1
