question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_b_dialogue_important_001,1,ENGLISH_B | Dialogue Writing | BISE Important Past-Paper and Prescribed Practice | Total 20 | Q6 | 8 Marks,Topic,topic_separator,,,,,1
q_9_eng_b_dialogue_important_001,1,"ENGLISH_B | Dialogue Writing | Tailor and Customer | Past Paper | 2013, 2015 Evening, 2020 Evening | Q6",Long,dialogue,Write a dialogue of 15-20 lines between a tailor and a customer about stitching a suit.,Medium,8,ELITE,1
q_9_eng_b_dialogue_important_002,1,"ENGLISH_B | Dialogue Writing | Teacher and Student — General | Past Paper | 2021, 2022 Morning, 2022 Evening | Q6",Long,dialogue,Write a dialogue of 15-20 lines between a teacher and a student about the student's studies and classroom performance.,Medium,8,ELITE,1
q_9_eng_b_dialogue_important_003,1,"ENGLISH_B | Dialogue Writing | Brother and Sister — Time | Past Paper | 2014, 2016 Evening, 2017 Evening | Q6",Long,dialogue,Write a dialogue of 15-20 lines between a brother and a sister concerning the value and proper use of time.,Medium,8,ELITE,1
q_9_eng_b_dialogue_important_004,1,"ENGLISH_B | Dialogue Writing | Asking One's Way | Past Paper | 2023, 2024 | Q6",Long,dialogue,Write a dialogue of 15-20 lines in which one person asks another the way to a particular place.,Medium,8,ELITE,1
q_9_eng_b_dialogue_important_005,1,ENGLISH_B | Dialogue Writing | Two Friends Asking the Way | Past Paper | 2020 | Q6,Long,dialogue,Write a dialogue of 15-20 lines between two friends regarding asking one's way.,Medium,8,ULTRA,1
q_9_eng_b_dialogue_important_006,1,"ENGLISH_B | Dialogue Writing | Teacher and Student — Coming Late | Past Paper | 2014 Evening, 2015 | Q6",Long,dialogue,Write a dialogue of 15-20 lines between a teacher and a student about the student's habit of coming late.,Medium,8,ULTRA,1
q_9_eng_b_dialogue_important_007,1,ENGLISH_B | Dialogue Writing | Teacher and Student — Punctuality | Past Paper | 2016 | Q6,Long,dialogue,Write a dialogue of 15-20 lines between a teacher and a student regarding punctuality.,Easy,8,PRO,1
q_9_eng_b_dialogue_important_008,1,"ENGLISH_B | Dialogue Writing | Two Students — Prayer | Past Paper | 2018 Evening, 2021 Evening | Q6",Long,dialogue,Write a dialogue of 15-20 lines between two students regarding the importance of prayer (Salat).,Medium,8,ULTRA,1
q_9_eng_b_dialogue_important_009,1,ENGLISH_B | Dialogue Writing | Shopkeeper and Customer | Past Paper | 2018 | Q6,Long,dialogue,Write a dialogue of 15-20 lines between a shopkeeper and a customer about purchasing an item.,Easy,8,PRO,1
q_9_eng_b_dialogue_important_010,1,ENGLISH_B | Dialogue Writing | Brother and Sister — Time Management | Past Paper | 2023 Evening | Q6,Long,dialogue,Write a dialogue of 15-20 lines between a brother and a sister concerning time management.,Easy,8,PRO,1
q_9_eng_b_dialogue_important_011,1,ENGLISH_B | Dialogue Writing | Doctor and Patient — Prevention | Prescribed Textbook Practice | Q6,Long,dialogue,Write a dialogue of 15-20 lines between a doctor and a patient highlighting the idea that prevention is better than cure.,Medium,8,ULTRA,1
q_9_eng_b_dialogue_important_012,1,ENGLISH_B | Dialogue Writing | Family Disagreement | Prescribed Textbook Practice | Q6,Long,dialogue,Write a dialogue of 15-20 lines among family members who disagree over an important family decision.,Easy,8,PRO,1
q_9_eng_b_dialogue_important_013,1,ENGLISH_B | Dialogue Writing | Planning a Surprise Party | Prescribed Textbook Practice | Q6,Long,dialogue,Write a dialogue of 15-20 lines among friends who are planning a surprise party.,Easy,8,PRO,1
q_9_eng_b_dialogue_important_014,1,ENGLISH_B | Dialogue Writing | School Project Debate | Prescribed Textbook Practice | Q6,Long,dialogue,Write a dialogue of 15-20 lines among classmates debating different ideas for a school project.,Easy,8,PRO,1
q_9_eng_b_dialogue_important_015,1,ENGLISH_B | Dialogue Writing | Mrs. Slater and Mrs. Jordan | Prescribed Textbook Practice | The Dear Departed | Q6,Long,dialogue,Write a dialogue of 15-20 lines between Mrs. Slater and Mrs. Jordan about Mr. Merryweather's possessions.,Medium,8,ULTRA,1
q_9_eng_b_dialogue_important_016,1,ENGLISH_B | Dialogue Writing | Victoria Questions the Adults | Prescribed Textbook Practice | The Dear Departed | Q6,Long,dialogue,Write a dialogue of 15-20 lines in which Victoria questions the adults about their selfish behaviour.,Medium,8,ULTRA,1
q_9_eng_b_dialogue_important_017,1,ENGLISH_B | Dialogue Writing | Mr. Merryweather Returns | Prescribed Textbook Practice | The Dear Departed | Q6,Long,dialogue,Write a dialogue of 15-20 lines showing the reactions of the family when Mr. Merryweather unexpectedly returns.,Medium,8,ULTRA,1
q_9_eng_b_dialogue_important_018,1,ENGLISH_B | Dialogue Writing | Teacher and Student — Homework | Prescribed Textbook Practice | Q6,Long,dialogue,"Write a dialogue of 15-20 lines between a teacher and a student about homework, difficulties in study, and the date of project submission.",Easy,8,PRO,1
q_9_eng_b_dialogue_important_019,1,ENGLISH_B | Dialogue Writing | Quality Education | Textbook-linked Board Practice | Q6,Long,dialogue,Write a dialogue of 15-20 lines between a teacher and a student about the importance and main features of quality education.,Easy,8,PRO,1
q_9_eng_b_dialogue_important_020,1,ENGLISH_B | Dialogue Writing | Wildlife Conservation Meeting | Textbook-linked Board Practice | Q6,Long,dialogue,Write a dialogue of 15-20 lines among community members about protecting the snow leopard and the markhor.,Easy,8,PRO,1
