question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b2_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),Remember,فرشتوں کی تخلیق کا اولین مقصد ہے:,اللہ تعالیٰ کی عبادت,روح قبض کرنا,بارش برسانا,رزق پہنچانا,A | اللہ تعالیٰ کی عبادت,Medium,1,ELITE,1
q_10_isl_b2_mcq_002,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),Remember,کراماً کاتبین کی ذمہ داری ہے:,انسانی اعمال لکھنا,وحی لانا,صور پھونکنا,روح قبض کرنا,A | انسانی اعمال لکھنا,Medium,1,ELITE,1
q_10_isl_b2_mcq_003,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),Remember,اللہ تعالیٰ نے فرشتوں کو پیدا کیا ہے:,نور سے,مٹی سے,آگ سے,پانی سے,A | نور سے,Medium,1,ELITE,1
q_10_isl_b2_mcq_004,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),Remember,منکر و نکیر انسان کے پاس آتے ہیں:,قبر میں,پیدائش کے وقت,قیامت کے بعد جنت میں,حج کے موقع پر,A | قبر میں,Medium,1,ELITE,1
q_10_isl_b2_mcq_005,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),Remember,حضرت اسرافیل علیہ السلام کی ذمہ داری ہے:,صور پھونکنا,وحی لانا,روح قبض کرنا,اعمال لکھنا,A | صور پھونکنا,Medium,1,ELITE,1
q_10_isl_b2_mcq_006,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,Remember,حضرت ابراہیم علیہ السلام کا لقب ہے:,خلیل اللہ,کلیم اللہ,روح اللہ,صفی اللہ,A | خلیل اللہ,Medium,1,ELITE,1
q_10_isl_b2_mcq_007,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,Remember,وہ نبی جنہیں نبوت کے ساتھ حکومت بھی عطا ہوئی:,حضرت داؤد علیہ السلام,حضرت اسحاق علیہ السلام,حضرت یعقوب علیہ السلام,حضرت اسماعیل علیہ السلام,A | حضرت داؤد علیہ السلام,Medium,1,ELITE,1
q_10_isl_b2_mcq_008,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,Remember,وہ عبادت جو سابقہ آسمانی کتابوں میں بھی فرض رہی ہے:,روزہ,عمرہ,طواف,اعتکاف,A | روزہ,Medium,1,ELITE,1
q_10_isl_b2_mcq_009,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,Remember,ذبیح اللہ کا لقب ہے:,حضرت اسماعیل علیہ السلام,حضرت ابراہیم علیہ السلام,حضرت موسیٰ علیہ السلام,حضرت عیسیٰ علیہ السلام,A | حضرت اسماعیل علیہ السلام,Medium,1,ELITE,1
q_10_isl_b2_mcq_010,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,Remember,تمام انبیاء علیہم السلام کی تعلیمات کی جامع کتاب ہے:,قرآن مجید,تورات,زبور,انجیل,A | قرآن مجید,Medium,1,ELITE,1
q_10_isl_b2_mcq_011,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,Remember,مرنے کے بعد انسان کی سب سے پہلی منزل ہے:,عالم برزخ,حشر,میزان,جنت,A | عالم برزخ,Medium,1,ELITE,1
q_10_isl_b2_mcq_012,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,Remember,عقیدہ توحید و رسالت کے ساتھ بنیادی اہمیت کا حامل عقیدہ ہے:,آخرت پر ایمان,صرف فرشتوں پر ایمان,صرف تقدیر,صرف کتابوں پر ایمان,A | آخرت پر ایمان,Medium,1,ELITE,1
q_10_isl_b2_mcq_013,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,Remember,نشر کا معنی ہے:,موت کے بعد زندہ کرنا,لوگوں کو جمع کرنا,اعمال تولنا,شفاعت کرنا,A | موت کے بعد زندہ کرنا,Medium,1,ELITE,1
q_10_isl_b2_mcq_014,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,Remember,حشر کے دن بعض کافروں کو چلایا جائے گا:,منہ کے بل,قدموں کے بل,گھٹنوں کے بل,ہاتھوں کے بل,A | منہ کے بل,Medium,1,ELITE,1
q_10_isl_b2_mcq_015,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,Remember,نبی کریم ﷺ قبر انور سے باہر تشریف لائیں گے تو دائیں طرف ہوں گے:,حضرت ابوبکر صدیق رضی اللہ عنہ,حضرت عمر فاروق رضی اللہ عنہ,حضرت عبدالرحمن بن عوف رضی اللہ عنہ,حضرت سعد بن معاذ رضی اللہ عنہ,A | حضرت ابوبکر صدیق رضی اللہ عنہ,Medium,1,ELITE,1
q_10_isl_b2_mcq_016,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,Remember,دین اسلام میں زکوٰۃ کی حیثیت ہے:,فرض,نفلی صدقہ,اختیاری نیکی,مباح,A | فرض,Medium,1,ELITE,1
q_10_isl_b2_mcq_017,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,Remember,حضرت ابوبکر صدیق رضی اللہ عنہ نے اعلان جنگ فرمایا:,زکوٰۃ کے منکرین سے,صرف تاجروں سے,صرف منافقین سے,حج کے منکرین سے,A | زکوٰۃ کے منکرین سے,Medium,1,ELITE,1
q_10_isl_b2_mcq_018,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,Remember,حدیث کے مطابق آسمان سے بارش روکی جاتی ہے:,زکوٰۃ نہ دینے سے,سفر نہ کرنے سے,تجارت نہ کرنے سے,حج نہ کرنے سے,A | زکوٰۃ نہ دینے سے,Medium,1,ELITE,1
q_10_isl_b2_mcq_019,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,Remember,زرعی پیداوار کی زکوٰۃ کہلاتی ہے:,عشر,فدیہ,کفارہ,نذر,A | عشر,Medium,1,ELITE,1
q_10_isl_b2_mcq_020,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,Remember,زکوٰۃ کا نظام عام ہونے سے خاتمہ ہو سکتا ہے:,گداگری کا,تجارت کا,ملازمت کا,زراعت کا,A | گداگری کا,Medium,1,ELITE,1
q_10_isl_b2_mcq_021,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,Remember,عمرہ ادا کرنا ہے:,سنت,فرض,واجب,مکروہ,A | سنت,Medium,1,ELITE,1
q_10_isl_b2_mcq_022,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,Remember,حج کا رکن اعظم ہے:,وقوف عرفہ,احرام,قربانی,طواف وداع,A | وقوف عرفہ,Medium,1,ELITE,1
q_10_isl_b2_mcq_023,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,Remember,نبی کریم ﷺ نے عمرے ادا فرمائے:,چار,دو,چھ,آٹھ,A | چار,Medium,1,ELITE,1
q_10_isl_b2_mcq_024,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,Remember,نبی کریم ﷺ نے اپنی ازواج مطہرات کی طرف سے قربانی کی:,گائے کی,اونٹ کی,بکریوں کی,دنبوں کی,A | گائے کی,Medium,1,ELITE,1
q_10_isl_b2_mcq_025,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,Remember,آٹھ ذوالحجہ کو حجاج احرام باندھتے ہیں:,فجر کی نماز کے بعد,ظہر کی نماز کے بعد,عصر کی نماز کے بعد,مغرب کی نماز کے بعد,A | فجر کی نماز کے بعد,Medium,1,ELITE,1
q_10_isl_b2_mcq_026,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,فرشتے اللہ تعالیٰ کی:,نافرمانی نہیں کرتے,نافرمانی کرتے ہیں,عبادت نہیں کرتے,حکم بدلتے ہیں,A | نافرمانی نہیں کرتے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_027,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,فرشتوں کی ایک بنیادی صفت ہے:,اطاعت,تکبر,حسد,سستی,A | اطاعت,Medium,1,ULTRA,1
q_10_isl_b2_mcq_028,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,حضرت جبرائیل علیہ السلام کی ذمہ داری تھی:,وحی لانا,صور پھونکنا,روح قبض کرنا,اعمال لکھنا,A | وحی لانا,Medium,1,ULTRA,1
q_10_isl_b2_mcq_029,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,حضرت میکائیل علیہ السلام سے متعلق ذمہ داری ہے:,رزق و بارش,وحی,صور,قبر کے سوال,A | رزق و بارش,Medium,1,ULTRA,1
q_10_isl_b2_mcq_030,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,روح قبض کرنے والے فرشتے کو کہا جاتا ہے:,ملک الموت,کراماً کاتبین,منکر,نکیر,A | ملک الموت,Medium,1,ULTRA,1
q_10_isl_b2_mcq_031,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,قبر میں سوال کرنے والے فرشتے ہیں:,منکر و نکیر,جبرائیل و میکائیل,کراماً کاتبین,رضوان و مالک,A | منکر و نکیر,Medium,1,ULTRA,1
q_10_isl_b2_mcq_032,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,اعمال لکھنے والے فرشتے ہیں:,کراماً کاتبین,منکر و نکیر,جبرائیل و میکائیل,رضوان و مالک,A | کراماً کاتبین,Medium,1,ULTRA,1
q_10_isl_b2_mcq_033,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,فرشتے انسانی شکل اختیار کر سکتے ہیں:,اللہ کے حکم سے,اپنی مرضی سے ہمیشہ,کبھی نہیں,صرف قیامت میں,A | اللہ کے حکم سے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_034,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,حدیث جبرئیل میں حضرت جبرائیل علیہ السلام آئے:,انسانی شکل میں,پرندے کی شکل میں,گھوڑے پر,بادل کی شکل میں,A | انسانی شکل میں,Medium,1,ULTRA,1
q_10_isl_b2_mcq_035,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,حدیث جبرئیل میں لباس تھا:,سفید,سرخ,سبز,سیاہ,A | سفید,Medium,1,ULTRA,1
q_10_isl_b2_mcq_036,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,حدیث جبرئیل میں بال تھے:,بہت سیاہ,سفید,سرخ,سنہری,A | بہت سیاہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_037,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,حدیث جبرئیل میں سوالات کا مقصد تھا:,دین سکھانا,تجارت سکھانا,جنگ سکھانا,سفر سکھانا,A | دین سکھانا,Medium,1,ULTRA,1
q_10_isl_b2_mcq_038,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,تعلیم و تعلم کے آداب میں شامل ہے:,واضح سوال کرنا,شور کرنا,استاد سے دور بیٹھنا,غیر متعلق گفتگو,A | واضح سوال کرنا,Medium,1,ULTRA,1
q_10_isl_b2_mcq_039,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,طالب علم کے لیے مناسب ہے:,ادب سے بیٹھنا,استاد کو ٹوکنا,شور کرنا,غیر ضروری سوال,A | ادب سے بیٹھنا,Medium,1,ULTRA,1
q_10_isl_b2_mcq_040,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),Remember,حدیث جبرئیل میں تعلیم دی گئی:,اسلام، ایمان اور احسان کی,صرف تجارت کی,صرف نسب کی,صرف تاریخ کی,A | اسلام، ایمان اور احسان کی,Medium,1,ULTRA,1
q_10_isl_b2_mcq_041,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,آسمانی صحیفوں سے مراد ہے:,اللہ کی نازل کردہ ہدایات,انسانی تاریخ,شعری دیوان,قانونی دستاویز,A | اللہ کی نازل کردہ ہدایات,Medium,1,ULTRA,1
q_10_isl_b2_mcq_042,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,صحفِ ابراہیم منسوب ہیں:,حضرت ابراہیم علیہ السلام کو,حضرت داؤد علیہ السلام کو,حضرت عیسیٰ علیہ السلام کو,حضرت اسماعیل علیہ السلام کو,A | حضرت ابراہیم علیہ السلام کو,Medium,1,ULTRA,1
q_10_isl_b2_mcq_043,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,تورات نازل ہوئی:,حضرت موسیٰ علیہ السلام پر,حضرت داؤد علیہ السلام پر,حضرت عیسیٰ علیہ السلام پر,حضرت محمد ﷺ پر,A | حضرت موسیٰ علیہ السلام پر,Medium,1,ULTRA,1
q_10_isl_b2_mcq_044,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,زبور نازل ہوئی:,حضرت داؤد علیہ السلام پر,حضرت موسیٰ علیہ السلام پر,حضرت عیسیٰ علیہ السلام پر,حضرت ابراہیم علیہ السلام پر,A | حضرت داؤد علیہ السلام پر,Medium,1,ULTRA,1
q_10_isl_b2_mcq_045,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,انجیل نازل ہوئی:,حضرت عیسیٰ علیہ السلام پر,حضرت موسیٰ علیہ السلام پر,حضرت داؤد علیہ السلام پر,حضرت یعقوب علیہ السلام پر,A | حضرت عیسیٰ علیہ السلام پر,Medium,1,ULTRA,1
