question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_cs_ch9_001,1,9.1 Entrepreneurship,Topic,topic_separator,,,,,,1
q_9_cs_ch9_lq_001,1,9.1 Entrepreneurship,Long,cause_effect,Explain why entrepreneurship is important for economic growth and innovation.,وضاحت کریں کہ entrepreneurship economic growth اور innovation کے لیے کیوں important ہے۔,Medium,5,PRO,1
q_9_cs_ch9_lq_002,1,9.1 Entrepreneurship,Long,discuss,"Explain entrepreneurship and discuss the characteristics of successful entrepreneurs, including innovation and calculated risk-taking.",entrepreneurship کی وضاحت کریں اور successful entrepreneurs کی characteristics، جن میں innovation اور calculated risk-taking شامل ہیں، پر بحث کریں۔,Medium,5,ULTRA,1
sep_9_cs_ch9_002,1,9.2 Entrepreneurship in the Digital Landscape,Topic,topic_separator,,,,,,1
q_9_cs_ch9_lq_003,1,9.2 Entrepreneurship in the Digital Landscape,Long,application_case,"Explain how market-research tools, online-marketing tools, and e-commerce platforms can work together to help a business succeed in the digital world.",وضاحت کریں کہ market-research tools، online-marketing tools اور e-commerce platforms digital world میں business کی success کے لیے مل کر کیسے work کر سکتے ہیں۔,Hard,5,PRO,1
q_9_cs_ch9_lq_004,1,9.2 Entrepreneurship in the Digital Landscape,Long,state_and_explain,Explain digital entrepreneurship and state the principles of ethics in business.,digital entrepreneurship کی وضاحت کریں اور business میں ethics کے principles بیان کریں۔,Medium,5,PRO,1
q_9_cs_ch9_lq_005,1,9.2 Entrepreneurship in the Digital Landscape,Long,classification,"Explain digital marketing and discuss SEO, social-media marketing, content marketing, email marketing, and e-commerce.",digital marketing کی وضاحت کریں اور SEO، social-media marketing، content marketing، email marketing اور e-commerce پر بحث کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch9_003,1,9.5 Ethical and Sustainable Entrepreneurship,Topic,topic_separator,,,,,,1
q_9_cs_ch9_lq_006,1,9.5 Ethical and Sustainable Entrepreneurship,Long,application_case,Choose a local business in Pakistan and discuss how it aligns with one or more Sustainable Development Goals (SDGs).,Pakistan کے کسی local business کا انتخاب کریں اور بحث کریں کہ وہ ایک یا زیادہ Sustainable Development Goals (SDGs) کے ساتھ کیسے align کرتا ہے۔,Hard,5,PRO,1
q_9_cs_ch9_lq_007,1,9.5 Ethical and Sustainable Entrepreneurship,Long,discuss,"Discuss ethical entrepreneurship and explain environmental, social, and economic sustainability with reference to the SDGs.",ethical entrepreneurship پر بحث کریں اور SDGs کے reference سے environmental، social اور economic sustainability explain کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch9_004,1,9.4 Developing Business Plans,Topic,topic_separator,,,,,,1
q_9_cs_ch9_lq_008,1,9.4 Developing Business Plans,Long,classification,Describe the major components of a business plan.,business plan کے major components بیان کریں۔,Medium,5,PRO,1
q_9_cs_ch9_lq_009,1,9.4 Developing Business Plans,Long,describe,"Explain market analysis, revenue models, pricing strategies, sales forecasts, revenue streams, prototypes, and iteration in business planning.",business planning میں market analysis، revenue models، pricing strategies، sales forecasts، revenue streams، prototypes اور iteration کی وضاحت کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch9_005,1,9.3 Business Idea Generation,Topic,topic_separator,,,,,,1
q_9_cs_ch9_lq_010,1,9.3 Business Idea Generation,Long,process_procedure,Explain methods of identifying market needs and describe the stages of design thinking from empathizing to testing.,market needs identify کرنے کے methods explain کریں اور design thinking کے stages empathizing سے testing تک بیان کریں۔,Hard,5,ULTRA,1
