question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.1 Why Do Atoms Form Bonds?,topic_separator,,,,,,1
q_9_chem_ch3_sq_001,1,3.1 Why Do Atoms Form Bonds?,explain_reason,Why do atoms form chemical bonds?,ایٹم کیمیائی بند کیوں بناتے ہیں؟,Easy,2,PRO,1
q_9_chem_ch3_sq_002,1,3.1 Why Do Atoms Form Bonds?,definition_function,Define the duplet rule and state one related characteristic or function.,ڈوپلیٹ قاعدہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,ULTRA,1
q_9_chem_ch3_sq_003,1,3.1 Why Do Atoms Form Bonds?,definition_function,Define the octet rule and state one related characteristic or function.,آکٹیٹ قاعدہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch3_sq_004,1,3.1 Why Do Atoms Form Bonds?,list_state,Name the electrons that mainly take part in bond formation Also state one supporting reason or feature.,بند بنانے میں بنیادی طور پر کون سے الیکٹران حصہ لیتے ہیں۔ شناخت کی بنیاد بھی بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch3_sq_005,1,3.1 Why Do Atoms Form Bonds?,definition_function,Define a chemical bond and state one related characteristic or function.,کیمیائی بند کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,3.2 Ionic Bond,topic_separator,,,,,,1
q_9_chem_ch3_sq_006,1,3.2 Ionic Bond,process_steps,How is an ionic bond formed?,آئونی بند کیسے بنتا ہے؟,Easy,2,PRO,1
q_9_chem_ch3_sq_007,1,3.2 Ionic Bond,cause_effect,Explain what happens to a sodium atom during formation of sodium chloride.,سوڈیم کلورائیڈ بننے کے دوران سوڈیم ایٹم کے ساتھ کیا ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch3_sq_008,1,3.2 Ionic Bond,cause_effect,Explain what happens to a chlorine atom during formation of sodium chloride.,سوڈیم کلورائیڈ بننے کے دوران کلورین ایٹم کے ساتھ کیا ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch3_sq_009,1,3.2 Ionic Bond,list_state,(a) What holds oppositely charged ions together in an ionic compound? (b) Name the compound that is mainly ionic.,(الف) آئونی مرکب میں مخالف بار والے آئنوں کو کیا اکٹھا رکھتا ہے۔ (ب) درج ذیل میں سے کون سا مرکب بنیادی طور پر آئونی ہے۔,Easy,2,PRO,1
q_9_chem_ch3_sq_010,1,3.2 Ionic Bond,explain_reason,Why do ionic compounds have high melting and boiling points?,آئونی مرکبات کے نقطۂ پگھلاؤ اور ابال بلند کیوں ہوتے ہیں؟,Medium,2,PRO,1
q_9_chem_ch3_sq_011,1,3.2 Ionic Bond,explain_reason,Why do solid ionic compounds not conduct electricity?,ٹھوس آئونی مرکبات بجلی کیوں نہیں چلاتے؟,Medium,2,PRO,1
q_9_chem_ch3_sq_012,1,3.2 Ionic Bond,explain_reason,Why do molten ionic compounds conduct electricity?,پگھلے ہوئے آئونی مرکبات بجلی کیوں چلاتے ہیں؟,Medium,2,PRO,1
q_9_chem_ch3_sq_013,1,3.2 Ionic Bond,definition_function,Define produced by electrolysis of molten sodium chloride and state one related characteristic or function.,پگھلے ہوئے سوڈیم کلورائیڈ کے برقی تجزیے سے کیا بنتا ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,3.2 Covalent and Coordinate Covalent Bonds,topic_separator,,,,,,1
q_9_chem_ch3_sq_014,1,3.2 Covalent and Coordinate Covalent Bonds,process_steps,How is a covalent bond formed?,اشتراکی بند کیسے بنتا ہے؟,Easy,2,PRO,1
q_9_chem_ch3_sq_015,1,3.2 Covalent and Coordinate Covalent Bonds,process_steps,State how many electron pairs are shared in a single covalent bond.,تعداد یا مقدار بیان کریں: ایک سنگل اشتراکی بند میں کتنے الیکٹران جوڑے مشترک ہوتے ہیں۔,Easy,2,ULTRA,1
q_9_chem_ch3_sq_016,1,3.2 Covalent and Coordinate Covalent Bonds,process_steps,State how many electron pairs are shared in a double covalent bond.,تعداد یا مقدار بیان کریں: ڈبل اشتراکی بند میں کتنے الیکٹران جوڑے مشترک ہوتے ہیں۔,Easy,2,ULTRA,1
q_9_chem_ch3_sq_017,1,3.2 Covalent and Coordinate Covalent Bonds,process_steps,State how many electron pairs are shared in a triple covalent bond.,تعداد یا مقدار بیان کریں: ٹرپل اشتراکی بند میں کتنے الیکٹران جوڑے مشترک ہوتے ہیں۔,Easy,2,ULTRA,1
q_9_chem_ch3_sq_018,1,3.2 Covalent and Coordinate Covalent Bonds,features_characteristics,(a) Name the molecule that contains a double covalent bond (b) Name the molecule that contains a triple covalent bond.,(الف) نام یا شناخت لکھیں: کون سا سالمہ ڈبل اشتراکی بند رکھتا ہے۔ (ب) نام یا شناخت لکھیں: کون سا سالمہ ٹرپل اشتراکی بند رکھتا ہے۔,Medium,2,PRO,1
q_9_chem_ch3_sq_019,1,3.2 Covalent and Coordinate Covalent Bonds,application_scenario,A covalent bond between identical atoms is usually called what?,یکساں ایٹموں کے درمیان اشتراکی بند کو عموماً کیا کہتے ہیں؟,Easy,2,PRO,1
