question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b6_long_001,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | اہل بیت اطہار,Special,personality_detailed_note,حضرت امام زید بن علی رحمۃ اللہ علیہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_002,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صحابہ کرام رضی اللہ عنہم,Special,personality_detailed_note,حضرت عقبہ بن عامر رضی اللہ عنہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_003,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صحابہ کرام رضی اللہ عنہم,Special,personality_detailed_note,حضرت جابر بن عبداللہ رضی اللہ عنہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_004,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صحابہ کرام رضی اللہ عنہم,Special,personality_detailed_note,حضرت انس بن مالک رضی اللہ عنہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_005,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صحابیات رضی اللہ عنہن,Special,personality_detailed_note,حضرت ام ایمن رضی اللہ عنہا کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_006,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صحابیات رضی اللہ عنہن,Special,personality_detailed_note,حضرت ام عمارہ رضی اللہ عنہا کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_007,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صحابیات رضی اللہ عنہن,Special,personality_detailed_note,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_008,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صوفیائے کرام رحمۃ اللہ علیہم,Special,personality_detailed_note,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_009,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صوفیائے کرام رحمۃ اللہ علیہم,Special,personality_detailed_note,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_010,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | صوفیائے کرام رحمۃ اللہ علیہم,Special,personality_detailed_note,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_011,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | علماء و مفکرین,Special,personality_detailed_note,شیخ ابن عربی رحمۃ اللہ علیہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_012,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | علماء و مفکرین,Special,personality_detailed_note,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b6_long_013,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | PERSONALITY NOTE | علماء و مفکرین,Special,personality_detailed_note,ابن رشد رحمۃ اللہ علیہ کی حیات، علمی و دینی خدمات اور نمایاں اوصاف پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
