question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b4_mcq_001,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | شکر و قناعت,Remember,کھانا کھا کر شکر ادا کرنے والے کا اجر برابر ہے:,روزے دار کے,مجاہد کے,مسافر کے,سخی کے,A | روزے دار کے,Medium,1,ELITE,1
q_9_isl_b4_mcq_002,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | امانت و دیانت,Remember,نبی کریم ﷺ نے مکہ سے مدینہ ہجرت کے وقت امانتیں واپس لوٹانے کی ذمہ داری دی:,حضرت علیؓ کو,حضرت ابو موسیٰ اشعریؓ کو,حضرت عبداللہ بن مسعودؓ کو,حضرت عثمانؓ کو,A | حضرت علیؓ کو,Medium,1,ELITE,1
q_9_isl_b4_mcq_003,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اخلاص و تقویٰ,Remember,نبی کریم ﷺ نے تقویٰ کی اصل جگہ قرار دیا:,دل کو,دماغ کو,زبان کو,سوچ کو,A | دل کو,Medium,1,ELITE,1
q_9_isl_b4_mcq_004,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | پردہ پوشی,Remember,پردہ پوشی جائز نہیں:,اجتماعی جرم کی,بے نمازی کی,گناہ گار کی,منافق کی,A | اجتماعی جرم کی,Medium,1,ELITE,1
q_9_isl_b4_mcq_005,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | تکبر,Remember,ابلیس نے حضرت آدمؑ کو سجدہ کرنے سے انکار کیا:,تکبر کی وجہ سے,مال و دولت کی وجہ سے,غربت کی وجہ سے,لاعلمی کی وجہ سے,A | تکبر کی وجہ سے,Medium,1,ELITE,1
q_9_isl_b4_mcq_006,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جھوٹ,Remember,حدیث نبوی ﷺ کے مطابق منافق کی ایک نشانی ہے:,جھوٹ بولنا,سچ بولنا,کنجوسی کرنا,بغاوت کرنا,A | جھوٹ بولنا,Medium,1,ELITE,1
q_9_isl_b4_mcq_007,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | غیبت,Remember,قرآن مجید میں مردہ بھائی کا گوشت کھانے سے تشبیہ دی گئی ہے:,غیبت کو,جھوٹ کو,سود کو,تکبر کو,A | غیبت کو,Medium,1,ELITE,1
q_9_isl_b4_mcq_008,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جادو,Remember,کسی چیز، بدن یا انسان کو غیر معمولی طریقے سے متاثر کرنا کہلاتا ہے:,جادو,فال,علم نجوم,بدشگونی,A | جادو,Medium,1,ELITE,1
q_9_isl_b4_mcq_009,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | توہم پرستی,Remember,کسی کام سے پہلے بے بنیاد نحوست کا خیال پیدا ہونا سبب بنتا ہے:,بدفالی کا,جادو کا,ستارہ شناسی کا,علم طب کا,A | بدفالی کا,Medium,1,ELITE,1
q_9_isl_b4_mcq_010,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | توہم پرستی,Remember,عرب زمانہ جاہلیت میں منحوس سمجھا جانے والا مہینہ تھا:,صفر المظفر,محرم الحرام,ذوالحجہ,ذوالقعدہ,A | صفر المظفر,Medium,1,ELITE,1
q_9_isl_b4_mcq_011,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | فال,Remember,حدیث مبارک کے مطابق چالیس دن تک نماز قبول نہیں ہوتی:,قسمت کا حال پوچھنے والے کی,فضول خرچی کرنے والے کی,حوصلہ شکنی کرنے والے کی,سود کھانے والے کی,A | قسمت کا حال پوچھنے والے کی,Medium,1,ELITE,1
q_9_isl_b4_mcq_012,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جادو,Remember,حدیث نبوی ﷺ میں جادو سے حفاظت کے لیے مشہور چیز ہے:,عجوہ,عنبر,بیرم,قلمی,A | عجوہ,Medium,1,ELITE,1
q_9_isl_b4_mcq_013,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,شکر کا مفہوم ہے:,نعمت پر اللہ کا احسان ماننا,نعمت چھپانا,مال جمع کرنا,لوگوں کی تعریف,A | نعمت پر اللہ کا احسان ماننا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_014,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,قناعت کا مطلب ہے:,اللہ کی تقسیم پر راضی ہونا,زیادہ مال مانگنا,محنت چھوڑ دینا,دنیا ترک کرنا,A | اللہ کی تقسیم پر راضی ہونا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_015,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,شکر سے نعمت میں ہوتی ہے:,زیادتی,کمی,زوال,حرمت,A | زیادتی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_016,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,ناشکری کا نتیجہ ہو سکتا ہے:,نعمت کا زوال,رزق کی ضمانت,علم کی زیادتی,صحت کی پختگی,A | نعمت کا زوال,Medium,1,ULTRA,1
q_9_isl_b4_mcq_017,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,قناعت انسان کو بچاتی ہے:,لالچ سے,نماز سے,علم سے,محنت سے,A | لالچ سے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_018,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,نبی کریم ﷺ کی عبادت کا ایک سبب تھا:,شکر گزاری,مال داری,شہرت,آرام,A | شکر گزاری,Medium,1,ULTRA,1
q_9_isl_b4_mcq_019,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,اللہ کی نعمت کا اعتراف ہے:,شکر,حسد,تکبر,غیبت,A | شکر,Medium,1,ULTRA,1
q_9_isl_b4_mcq_020,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,قناعت سے پیدا ہوتی ہے:,دل کی بے نیازی,حرص,کینہ,ریا,A | دل کی بے نیازی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_021,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,شکر صرف زبان سے نہیں بلکہ ضروری ہے:,عمل سے بھی,مال سے فقط,سفر سے,خاموشی سے,A | عمل سے بھی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_022,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | شکر و قناعت,Remember,شکر گزار بندہ نعمت کو استعمال کرتا ہے:,اللہ کی رضا میں,نافرمانی میں,نمائش میں,صرف اپنے لیے,A | اللہ کی رضا میں,Medium,1,ULTRA,1
q_9_isl_b4_mcq_023,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,امانت کا تعلق ہے:,حقوق کی ادائیگی سے,غیبت سے,حسد سے,جادو سے,A | حقوق کی ادائیگی سے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_024,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,دیانت داری کا مخالف ہے:,خیانت,قناعت,تقویٰ,سخاوت,A | خیانت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_025,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,امانت صرف مال تک محدود:,نہیں,ہے,صرف تجارت میں,صرف سفر میں,A | نہیں,Medium,1,ULTRA,1
q_9_isl_b4_mcq_026,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,وعدہ پورا کرنا ہے:,امانت داری,بددیانتی,حسد,تکبر,A | امانت داری,Medium,1,ULTRA,1
