question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch1_sq_001,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Reading and Critical Thinking | Exercise",topic_separator,,,,,1
q_10_eng_ch1_sq_001,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Reading and Critical Thinking | Exercise",exercise_direct,"What was the social condition of women, orphans, and slaves in pre-Islamic Arabia?",Medium,2,ELITE,1
q_10_eng_ch1_sq_002,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Reading and Critical Thinking | Exercise",exercise_direct,What are three specific rights that Hazrat Muhammad (PBUH) introduced for women?,Medium,2,ELITE,1
q_10_eng_ch1_sq_003,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Reading and Critical Thinking | Exercise",exercise_direct,What role did the Qur'an play in guiding Hazrat Muhammad's (PBUH) social reforms? Give two examples.,Medium,2,ELITE,1
q_10_eng_ch1_sq_004,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Reading and Critical Thinking | Exercise",exercise_direct,How did Hazrat Muhammad (PBUH) promote the emancipation of slaves?,Medium,2,ELITE,1
q_10_eng_ch1_sq_005,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Reading and Critical Thinking | Exercise",exercise_direct,What steps did Hazrat Muhammad (PBUH) take to ensure the humane treatment of slaves?,Medium,2,ELITE,1
q_10_eng_ch1_sq_006,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Reading and Critical Thinking | Exercise",exercise_direct,Which values in Hazrat Muhammad's (PBUH) reforms remain relevant to modern societies addressing social justice issues?,Medium,2,ELITE,1
sep_10_eng_ch1_sq_002,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",topic_separator,,,,,1
q_10_eng_ch1_sq_007,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,What major social injustices existed in pre-Islamic Arabian society?,Easy,2,ELITE,1
q_10_eng_ch1_sq_008,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,Which three marginalized groups are the main focus of the lesson?,Easy,2,ELITE,1
q_10_eng_ch1_sq_009,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,On which principles were Hazrat Muhammad's (PBUH) social reforms based?,Medium,2,ELITE,1
q_10_eng_ch1_sq_010,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,How did Hazrat Muhammad (PBUH) establish the spiritual and moral equality of men and women?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_011,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,What right of inheritance did Islam grant to women?,Easy,2,ELITE,1
q_10_eng_ch1_sq_012,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,Why was a woman's consent made necessary for a valid marriage?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_013,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,How did Islamic teachings ensure fair treatment of women in divorce?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_014,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,What importance did Hazrat Muhammad (PBUH) give to the education of women?,Medium,2,ELITE,1
q_10_eng_ch1_sq_015,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",evidence_based,How did Hazrat Muhammad's (PBUH) family life demonstrate mutual respect and partnership?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_016,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,How were women involved in public matters during the time of Hazrat Muhammad (PBUH)?,Medium,2,PRO,1
q_10_eng_ch1_sq_017,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,Why were orphans especially vulnerable before Islam?,Easy,2,ULTRA,1
q_10_eng_ch1_sq_018,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,How did Islamic teachings encourage Muslims to care for orphans?,Medium,2,ELITE,1
q_10_eng_ch1_sq_019,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,What was meant by guardianship with accountability in the protection of orphans?,Hard,2,ELITE,1
q_10_eng_ch1_sq_020,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",event_cause_effect,Why was exploitation of an orphan's property strictly prohibited?,Medium,2,ELITE,1
q_10_eng_ch1_sq_021,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,How did the reforms elevate the social status of orphans?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_022,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",event_cause_effect,Why did Islam adopt gradual measures regarding the institution of slavery?,Hard,2,ELITE,1
q_10_eng_ch1_sq_023,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,How did freeing slaves become a means of social reform?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_024,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,What principle governed the treatment of slaves as brothers?,Medium,2,ELITE,1
q_10_eng_ch1_sq_025,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,What legal protections were granted to slaves?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_026,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,How could a slave earn freedom through a contract known as mukataba?,Hard,2,ULTRA,1
q_10_eng_ch1_sq_027,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",evidence_based,Why is Hazrat Bilal ibn Rabah (RA) presented as an important example in the lesson?,Medium,2,ELITE,1
q_10_eng_ch1_sq_028,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,How did the life of Hazrat Bilal (RA) symbolize Islam's commitment to social equality?,Hard,2,ELITE,1
q_10_eng_ch1_sq_029,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,How is Tauheed connected with human brotherhood in the lesson?,Hard,2,ELITE,1
q_10_eng_ch1_sq_030,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",prose_short,What principle of equality was declared in the Last Sermon?,Medium,2,ELITE,1
q_10_eng_ch1_sq_031,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,How did Hazrat Muhammad's (PBUH) reforms lay the foundation of a just and compassionate society?,Hard,2,ELITE,1
q_10_eng_ch1_sq_032,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,Why are the reforms discussed in this lesson described as relevant even today?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_033,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",comparison,"How did Hazrat Muhammad's (PBUH) teachings improve the lives of women, orphans, and slaves?",Hard,2,ELITE,1
q_10_eng_ch1_sq_034,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,"What message does the lesson give about justice, mercy, and equality?",Medium,2,ELITE,1
q_10_eng_ch1_sq_035,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,How did Islamic reforms replace social rank with moral responsibility?,Hard,2,ULTRA,1
q_10_eng_ch1_sq_036,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",evidence_based,State two ways in which the Qur'an protected the rights of orphans.,Medium,2,ELITE,1
q_10_eng_ch1_sq_037,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",evidence_based,State two measures that promoted human dignity among slaves.,Medium,2,ELITE,1
q_10_eng_ch1_sq_038,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,How did the lesson connect social reform with moral and religious responsibility?,Hard,2,ULTRA,1
q_10_eng_ch1_sq_039,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",theme_message,What does the lesson suggest about the relationship between faith and social justice?,Hard,2,ULTRA,1
q_10_eng_ch1_sq_040,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | In-Text and Core Lesson",event_cause_effect,How did the reforms challenge deeply rooted customs of Arabian society?,Hard,2,ULTRA,1
sep_10_eng_ch1_sq_003,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Theme and Message",topic_separator,,,,,1
q_10_eng_ch1_sq_041,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Theme and Message",theme_message,Explain the central theme of the lesson in two or three sentences.,Medium,2,ELITE,1
q_10_eng_ch1_sq_042,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Theme and Message",theme_message,How does the lesson present equality as a universal human value?,Hard,2,ULTRA,1
q_10_eng_ch1_sq_043,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Theme and Message",theme_message,Why is protection of vulnerable people essential for a just society?,Medium,2,ULTRA,1
q_10_eng_ch1_sq_044,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Theme and Message",theme_message,How do the reforms described in the lesson combine legal rights with moral responsibility?,Hard,2,ELITE,1
q_10_eng_ch1_sq_045,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q2 Short Questions | Theme and Message",theme_message,"What lesson can modern communities learn from the protection of women, orphans, and slaves described in the text?",Hard,2,ULTRA,1
