question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 6 - The Value of Time | While-reading Questions,topic_separator,,,,,1
q_9_eng_ch6_sq_001,1,ENGLISH_A | Unit 6 - The Value of Time | While-reading Questions,while_reading,What are Taseer's positive qualities?,Easy,2,PRO,1
q_9_eng_ch6_sq_002,1,ENGLISH_A | Unit 6 - The Value of Time | While-reading Questions,while_reading,How did Taseer's teachers and parents feel about his time-management issues?,Easy,2,PRO,1
q_9_eng_ch6_sq_003,1,ENGLISH_A | Unit 6 - The Value of Time | While-reading Questions,while_reading,"What lesson did Taseer's grandfather teach through the jar, rocks, pebbles, and sand?",Medium,2,PRO,1
q_9_eng_ch6_sq_004,1,ENGLISH_A | Unit 6 - The Value of Time | While-reading Questions,while_reading,How did Taseer's habits change after the lesson?,Easy,2,PRO,1
q_9_eng_ch6_sq_005,1,ENGLISH_A | Unit 6 - The Value of Time | While-reading Questions,while_reading,What did Taseer learn about balancing important and less important activities?,Easy,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,topic_separator,,,,,1
q_9_eng_ch6_sq_006,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,How had Taseer wasted his time before visiting his grandfather?,Medium,2,PRO,1
q_9_eng_ch6_sq_007,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,In what way did poor time management affect Taseer's performance?,Medium,2,PRO,1
q_9_eng_ch6_sq_008,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,How did Taseer fill the jar?,Medium,2,PRO,1
q_9_eng_ch6_sq_009,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,Why did his grandfather decide to help him?,Medium,2,PRO,1
q_9_eng_ch6_sq_010,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,What was the impact of accurate time management on Taseer's performance?,Medium,2,PRO,1
q_9_eng_ch6_sq_011,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,What is the exposition of the story?,Medium,2,PRO,1
q_9_eng_ch6_sq_012,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,How does the grandfather's lesson form the rising action?,Medium,2,PRO,1
q_9_eng_ch6_sq_013,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,What is the climax or turning point of Taseer's journey?,Medium,2,PRO,1
q_9_eng_ch6_sq_014,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,What falling actions follow the lesson?,Medium,2,PRO,1
q_9_eng_ch6_sq_015,1,ENGLISH_A | Unit 6 - The Value of Time | Reading and Critical Thinking,exercise_direct,How does the resolution show Taseer's growth?,Medium,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,topic_separator,,,,,1
q_9_eng_ch6_sq_016,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,prose_short,Why did Taseer perpetually run out of time?,Medium,2,ULTRA,1
q_9_eng_ch6_sq_017,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,prose_short,What did the empty jar symbolise?,Medium,2,ULTRA,1
q_9_eng_ch6_sq_018,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,prose_short,Why did everything fit when the rocks were placed first?,Medium,2,ULTRA,1
q_9_eng_ch6_sq_019,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,prose_short,How did making a schedule help Taseer?,Medium,2,ULTRA,1
q_9_eng_ch6_sq_020,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,prose_short,What role did hobbies and relaxation play in the new plan?,Medium,2,ULTRA,1
q_9_eng_ch6_sq_021,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,prose_short,How did Taseer's improved time management affect his family and friends?,Medium,2,ULTRA,1
q_9_eng_ch6_sq_022,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,prose_short,Why is the story called “The Value of Time”?,Medium,2,ULTRA,1
q_9_eng_ch6_sq_023,1,ENGLISH_A | Unit 6 - The Value of Time | Text-derived Board Questions,theme_message,State the central theme of the story.,Medium,2,ULTRA,1
