question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch7_sq_001,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch7_sq_001,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What does the “unfathomable sea” symbolize in the poem?,Medium,2,ELITE,1
q_10_eng_ch7_sq_002,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What words or phrases show time's power over human lives?,Medium,2,ELITE,1
q_10_eng_ch7_sq_003,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How does the image “shoreless” contribute to the overall meaning of the poem?,Medium,2,ELITE,1
q_10_eng_ch7_sq_004,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How is mortality connected to the “ebb and flow” of time?,Medium,2,ELITE,1
q_10_eng_ch7_sq_005,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What is the tone of the poem? How does Shelley use language to create this tone?,Medium,2,ELITE,1
q_10_eng_ch7_sq_006,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How does Shelley personify time in the poem?,Medium,2,ELITE,1
q_10_eng_ch7_sq_007,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Why does Shelley use the word “brackish” to describe the waters of time?,Medium,2,ELITE,1
q_10_eng_ch7_sq_008,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What role does the “howling” of time play in the poem?,Medium,2,ELITE,1
q_10_eng_ch7_sq_009,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What does the final line suggest about humanity's relationship with time?,Medium,2,ELITE,1
q_10_eng_ch7_sq_010,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What might Shelley be trying to convey through the final question?,Medium,2,ELITE,1
sep_10_eng_ch7_sq_002,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,topic_separator,,,,,1
q_10_eng_ch7_sq_011,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,theme_message,What is the central idea of the poem “Time”?,Medium,2,ELITE,1
q_10_eng_ch7_sq_012,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,theme_message,How does Shelley present time as an uncontrollable force?,Hard,2,ELITE,1
q_10_eng_ch7_sq_013,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,figurative_language,How does the sea metaphor develop the central idea?,Hard,2,ELITE,1
q_10_eng_ch7_sq_014,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,theme_message,Why is time described as dangerous even in calm conditions?,Hard,2,ELITE,1
q_10_eng_ch7_sq_015,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,theme_message,How does the poem connect time with suffering?,Medium,2,ELITE,1
q_10_eng_ch7_sq_016,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,theme_message,How does the poem connect time with death and mortality?,Hard,2,ELITE,1
q_10_eng_ch7_sq_017,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,figurative_language,What does the phrase “salt of human tears” suggest?,Medium,2,ELITE,1
q_10_eng_ch7_sq_018,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,symbolism,What do the “wrecks” symbolize in the poem?,Medium,2,ELITE,1
q_10_eng_ch7_sq_019,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,symbolism,Why is the sea called “unfathomable”?,Medium,2,ELITE,1
q_10_eng_ch7_sq_020,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,symbolism,What does “shoreless flood” reveal about time?,Medium,2,ELITE,1
q_10_eng_ch7_sq_021,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,figurative_language,How does “ebb and flow” represent the passage of time?,Medium,2,ELITE,1
q_10_eng_ch7_sq_022,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,personification,Why does Shelley describe time as “sick of prey”?,Hard,2,ULTRA,1
q_10_eng_ch7_sq_023,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,personification,How does “howling on for more” make time seem frightening?,Medium,2,ELITE,1
q_10_eng_ch7_sq_024,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,figurative_language,How does the phrase “treacherous in calm” strengthen the poem's message?,Hard,2,ELITE,1
q_10_eng_ch7_sq_025,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,comparison,What contrast is created by “calm” and “storm”?,Medium,2,ULTRA,1
q_10_eng_ch7_sq_026,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,tone,Why is the tone of the poem dark and awe-filled?,Hard,2,ELITE,1
q_10_eng_ch7_sq_027,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,theme_message,How does the poem show human helplessness before time?,Hard,2,ELITE,1
q_10_eng_ch7_sq_028,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,literary_device,Why is the final question rhetorical?,Medium,2,ELITE,1
q_10_eng_ch7_sq_029,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,literary_device,How does personification make the concept of time more vivid?,Hard,2,ELITE,1
q_10_eng_ch7_sq_030,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Central Idea and Theme,theme_message,What lesson about human life can be drawn from the poem?,Hard,2,ELITE,1
sep_10_eng_ch7_sq_003,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",topic_separator,,,,,1
q_10_eng_ch7_sq_031,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",poet_background,Who was Percy Bysshe Shelley?,Easy,2,ULTRA,1
q_10_eng_ch7_sq_032,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",poet_background,Name two famous poems by Shelley mentioned in the textbook.,Easy,2,ULTRA,1
q_10_eng_ch7_sq_033,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",grammar_concept,What is a metaphor? Give one example related to time.,Medium,2,ELITE,1
q_10_eng_ch7_sq_034,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",grammar_concept,What is a simile? Give one example related to time.,Medium,2,ELITE,1
q_10_eng_ch7_sq_035,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",grammar_concept,What is an analogy?,Medium,2,ULTRA,1
q_10_eng_ch7_sq_036,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",writing_concept,What is precis writing?,Easy,2,ULTRA,1
q_10_eng_ch7_sq_037,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",writing_concept,What should a good precis retain?,Medium,2,ULTRA,1
q_10_eng_ch7_sq_038,1,"ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q2 Short Questions | Poet, Devices and Writing Skills",writing_concept,Why are transitions useful in writing?,Medium,2,ULTRA,1
