question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b4_short_001,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | شکر و قناعت,textbook_exercise_direct,نبی کریم ﷺ کی شکر گزاری کی ایک مثال تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_002,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | امانت و دیانت / پردہ پوشی,textbook_exercise_direct,بددیانتی اور پردہ پوشی کے کوئی سے دو نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_003,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | اخلاص و تقویٰ,textbook_exercise_direct,رسول اللہ ﷺ کے اخلاص و تقویٰ کی ایک مثال بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_004,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | پردہ پوشی,textbook_exercise_direct,پردہ پوشی کے حوالے سے دور حاضر میں میڈیا کی کیا ذمہ داری ہے؟,Medium,2,ELITE,1
q_9_isl_b4_short_005,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | تکبر,textbook_exercise_direct,تکبر کے کوئی سے دو نقصانات بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_006,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | حسد,textbook_exercise_direct,رشک اور حسد میں فرق واضح کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_007,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | جھوٹ,textbook_exercise_direct,جھوٹ کی چار مختلف صورتیں تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_008,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | غیبت و بہتان,textbook_exercise_direct,غیبت اور بہتان باہمی تعلقات کی خرابی اور معاشرتی بگاڑ کی جڑ ہیں۔ وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_009,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | توہم پرستی,textbook_exercise_direct,توہم پرستی کی تین مختلف صورتیں بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_010,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | جادو,textbook_exercise_direct,نبی کریم ﷺ حضرت حسنین کریمینؓ پر دم کرنے کے لیے کون سی دعا پڑھا کرتے تھے؟,Medium,2,ELITE,1
q_9_isl_b4_short_011,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | جادو,textbook_exercise_direct,حدیث نبوی ﷺ میں جادو کا کیا علاج بیان کیا گیا ہے؟,Medium,2,ELITE,1
q_9_isl_b4_short_012,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | توہم پرستی,textbook_exercise_direct,توہم پرستی کے کوئی سے چار معاشرتی نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_013,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,extra_important_practice,شکر کا مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_014,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,extra_important_practice,قناعت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_015,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,extra_important_practice,شکر نعمتوں میں اضافے کا سبب کیسے بنتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_016,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,extra_important_practice,ناشکری کے دو نقصانات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_017,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,extra_important_practice,قناعت انسان کو حرص و لالچ سے کیسے بچاتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_018,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,extra_important_practice,عملی شکر کی ایک مثال بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_019,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,extra_important_practice,نبی کریم ﷺ کی شکر گزاری سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_020,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | امانت و دیانت,extra_important_practice,امانت کا وسیع مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_021,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | امانت و دیانت,extra_important_practice,دیانت داری سے کیا مراد ہے؟,Medium,2,ULTRA,1
