question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,10.1 Composition and Layers of Atmosphere,Topic,,,,,,,,,,,1
q_9_chem_ch10_001,1,10.1 Composition and Layers of Atmosphere,Remember,What is the blanket of air around Earth called?,زمین کے گرد ہوا کی چادر کو کیا کہتے ہیں؟,Hydrosphere / آبی کرہ,Atmosphere / فضا,Lithosphere / سنگی کرہ,Biosphere only / صرف حیاتی کرہ,B | Atmosphere / فضا,Easy,1,PRO,1
q_9_chem_ch10_002,1,10.1 Composition and Layers of Atmosphere,Remember,Which gas is the major component of dry air?,خشک ہوا کا سب سے بڑا جزو کون سی گیس ہے؟,Oxygen / آکسیجن,Carbon dioxide / کاربن ڈائی آکسائیڈ,Methane / میتھین,Nitrogen / نائٹروجن,D | Nitrogen / نائٹروجن,Easy,1,ULTRA,1
q_9_chem_ch10_003,1,10.1 Composition and Layers of Atmosphere,Remember,Which gas is the second major component of air?,ہوا کا دوسرا بڑا جزو کون سی گیس ہے؟,Oxygen / آکسیجن,Nitrogen / نائٹروجن,Carbon monoxide / کاربن مونو آکسائیڈ,Sulphur dioxide / سلفر ڈائی آکسائیڈ,A | Oxygen / آکسیجن,Easy,1,ULTRA,1
q_9_chem_ch10_004,1,10.1 Composition and Layers of Atmosphere,Remember,What is the approximate percentage of carbon dioxide in air given in the chapter?,باب میں ہوا میں کاربن ڈائی آکسائیڈ کی تقریباً کتنی فیصد مقدار دی گئی ہے؟,4%,0.4%,0.04%,40%,C | 0.04%,Medium,1,ULTRA,1
q_9_chem_ch10_005,1,10.1 Composition and Layers of Atmosphere,Understand,Why is the atmosphere described as several layers of gases?,فضا کو گیسوں کی کئی تہوں پر مشتمل کیوں کہا جاتا ہے؟,Every layer contains only one gas / ہر تہہ میں صرف ایک گیس ہوتی ہے,"Its composition, temperature and properties change with altitude / بلندی کے ساتھ اس کی ترکیب، درجہ حرارت اور خصوصیات بدلتی ہیں",All layers have identical conditions / تمام تہوں کے حالات یکساں ہوتے ہیں,The atmosphere is a solid shell / فضا ٹھوس خول ہے,"B | Its composition, temperature and properties change with altitude / بلندی کے ساتھ اس کی ترکیب، درجہ حرارت اور خصوصیات بدلتی ہیں",Medium,1,ELITE,1
TOPIC_SEP,1,10.2 Air Pollution and Pollutants,Topic,,,,,,,,,,,1
q_9_chem_ch10_006,1,10.2 Air Pollution and Pollutants,Remember,What is an air pollutant?,فضائی آلودہ مادّہ کیا ہے؟,"A substance in air that adversely affects health, quality of life or ecosystems / ہوا میں ایسا مادّہ جو صحت، معیارِ زندگی یا ماحولیاتی نظام کو نقصان دے",Any normal gas in clean air / صاف ہوا کی کوئی بھی عام گیس,Only water vapour / صرف آبی بخارات,A harmless substance with no effect / بے ضرر مادّہ جس کا کوئی اثر نہ ہو,"A | A substance in air that adversely affects health, quality of life or ecosystems / ہوا میں ایسا مادّہ جو صحت، معیارِ زندگی یا ماحولیاتی نظام کو نقصان دے",Easy,1,PRO,1
q_9_chem_ch10_007,1,10.2 Air Pollution and Pollutants,Remember,Which are major air pollutants listed in the chapter?,باب میں کون سے اہم فضائی آلودہ مادّے درج ہیں؟,Only oxygen and nitrogen / صرف آکسیجن اور نائٹروجن,"Helium, neon and argon only / صرف ہیلیم، نیون اور آرگن",Water and sodium chloride only / صرف پانی اور سوڈیم کلورائیڈ,"Oxides of carbon, nitrogen and sulphur, methane and particulate matter / کاربن، نائٹروجن اور سلفر کے آکسائیڈز، میتھین اور ذراتی مادّہ","D | Oxides of carbon, nitrogen and sulphur, methane and particulate matter / کاربن، نائٹروجن اور سلفر کے آکسائیڈز، میتھین اور ذراتی مادّہ",Medium,1,PRO,1
q_9_chem_ch10_008,1,10.2 Air Pollution and Pollutants,Remember,What is the major human source of many air pollutants?,بہت سے فضائی آلودہ مادّوں کا بڑا انسانی ذریعہ کیا ہے؟,Photosynthesis / ضیائی تالیف,Condensation of water / پانی کا تکاثف,Burning of fossil fuels / فوسل ایندھن کا جلانا,Formation of clouds only / صرف بادل بننا,C | Burning of fossil fuels / فوسل ایندھن کا جلانا,Easy,1,PRO,1
q_9_chem_ch10_009,1,10.2 Air Pollution and Pollutants,Understand,How is particulate matter commonly released into the atmosphere?,ذراتی مادّہ عموماً فضا میں کیسے خارج ہوتا ہے؟,"Through combustion, industrial processes and dust-producing activities / احتراق، صنعتی عمل اور گرد پیدا کرنے والی سرگرمیوں سے",Only by photosynthesis / صرف ضیائی تالیف سے,Only by freezing water / صرف پانی جمنے سے,By noble gases reacting / خامل گیسوں کے تعامل سے,"A | Through combustion, industrial processes and dust-producing activities / احتراق، صنعتی عمل اور گرد پیدا کرنے والی سرگرمیوں سے",Medium,1,ULTRA,1
q_9_chem_ch10_010,1,10.2 Air Pollution and Pollutants,Remember,"Which gas is more poisonous, CO or CO₂?",CO اور CO₂ میں کون سی گیس زیادہ زہریلی ہے؟,CO₂,Both are equally harmless / دونوں یکساں بے ضرر ہیں,O₂,CO,D | CO,Easy,1,PRO,1
