question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_b_q8_alt_001,1,ENGLISH_B | Q8 ALTERNATIVE | FOREIGN / ENGLISH MEDIUM CANDIDATES | TEN-SENTENCE PARAGRAPH,Topic,topic_separator,,,,,1
q_10_eng_b_q8_alt_001,1,ENGLISH_B | Q8 ALTERNATIVE | MODEL PAPER DIRECT | Computers,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “Computers”.,Medium,8,ELITE,1
q_10_eng_b_q8_alt_002,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | My School,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “My School”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_003,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | Girl Guides,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “Girl Guides”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_004,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | A Visit to Museum,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A Visit to Museum”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_005,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | A River in Flood,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A River in Flood”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_006,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | A Pleasant Dream,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A Pleasant Dream”.,Medium,8,ELITE,1
q_10_eng_b_q8_alt_007,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | How to Keep Our Town Clean?,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “How to Keep Our Town Clean?”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_008,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | An Industrial Exhibition,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “An Industrial Exhibition”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_009,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | My Neighbour,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “My Neighbour”.,Medium,8,ELITE,1
q_10_eng_b_q8_alt_010,1,"ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | Kitchen Gardening, A Hobby",Long,english_medium_ten_sentence_paragraph,"Write a paragraph of TEN sentences about “Kitchen Gardening, A Hobby”.",Medium,8,PRO,1
q_10_eng_b_q8_alt_011,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | PARAGRAPH WRITING | Pakistani Women,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “Pakistani Women”.,Medium,8,ELITE,1
q_10_eng_b_q8_alt_012,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | EXERCISES WITH HINTS | A Fortune-teller,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A Fortune-teller”.,Medium,8,PRO,1
q_10_eng_b_q8_alt_013,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | EXERCISES WITH HINTS | A Picnic,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A Picnic”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_014,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | EXERCISES WITH HINTS | A Street Quarrel,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A Street Quarrel”.,Medium,8,PRO,1
q_10_eng_b_q8_alt_015,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | EXERCISES WITH HINTS | A Visit to a Historical Place,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A Visit to a Historical Place”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_016,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | EXERCISES WITH HINTS | A Visit to a Zoo,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A Visit to a Zoo”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_017,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | EXERCISES WITH HINTS | Allama Iqbal,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “Allama Iqbal”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_018,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | EXERCISES WITH HINTS | The Teacher I Like the Best,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “The Teacher I Like the Best”.,Medium,8,ULTRA,1
q_10_eng_b_q8_alt_019,1,ENGLISH_B | Q8 ALTERNATIVE | BOOK | EXERCISES WITH HINTS | A House on Fire,Long,english_medium_ten_sentence_paragraph,Write a paragraph of TEN sentences about “A House on Fire”.,Medium,8,ULTRA,1
