question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b2_short_001,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ توحید,textbook_exercise_direct,شرک کا مفہوم بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_002,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ توحید,textbook_exercise_direct,شرک کی کوئی سی دو اقسام بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_003,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ توحید,textbook_exercise_direct,عقیدہ توحید کے کوئی سے دو فوائد تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_004,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ رسالت,textbook_exercise_direct,ختم نبوت کے بارے میں قرآن مجید کی ایک آیت کا ترجمہ تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_005,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ رسالت,textbook_exercise_direct,نبی کریم ﷺ کی رسالت کی کوئی سی دو خصوصیات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_006,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ رسالت,textbook_exercise_direct,انبیاء کرام علیہم السلام کی کوئی سی دو خصوصیات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_007,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | ملائکہ,textbook_exercise_direct,ملائکہ کا تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_008,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | ملائکہ,textbook_exercise_direct,حدیث جبریل کی روشنی میں تعلیم و تعلم کے کوئی سے دو آداب لکھیں۔,Medium,2,ELITE,1
q_9_isl_b2_short_009,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | ملائکہ,textbook_exercise_direct,فرشتوں کی دو ذمہ داریاں لکھیں۔,Medium,2,ELITE,1
q_9_isl_b2_short_010,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | کتب سماویہ,textbook_exercise_direct,آسمانی صحیفوں سے کیا مراد ہے؟,Medium,2,ELITE,1
q_9_isl_b2_short_011,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | کتب سماویہ,textbook_exercise_direct,کون سے بنیادی عقائد تمام آسمانی کتابوں میں موجود رہے؟,Medium,2,ELITE,1
