question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Computational Thinking,Topic,,,,,,,,,,,1
q_9_cs_ch4_001,1,4.1 Computational Thinking,Remember,Which statement best defines computational thinking?,کون سا بیان computational thinking کی بہترین تعریف کرتا ہے؟,A method based only on memorization / صرف memorization پر مبنی method,A systematic problem-solving approach using algorithmic and logical thinking / algorithmic اور logical thinking استعمال کرنے والا systematic problem-solving approach,A technique used only for drawing / صرف drawing کے لیے استعمال ہونے والی technique,An approach that ignores real-world problems / ایسا approach جو real-world problems کو ignore کرے,B | A systematic problem-solving approach using algorithmic and logical thinking / algorithmic اور logical thinking استعمال کرنے والا systematic problem-solving approach,Easy,1,PRO,1
q_9_cs_ch4_002,1,4.1 Computational Thinking,Remember,What is decomposition?,decomposition کیا ہے؟,Combining unrelated problems into one / غیر متعلقہ problems کو ایک میں combine کرنا,Removing all problem details / problem کی تمام details remove کرنا,Writing code before understanding the problem / problem سمجھنے سے پہلے code لکھنا,Breaking a complex problem into smaller manageable parts / complex problem کو smaller manageable parts میں توڑنا,D | Breaking a complex problem into smaller manageable parts / complex problem کو smaller manageable parts میں توڑنا,Easy,1,PRO,1
q_9_cs_ch4_003,1,4.1 Computational Thinking,Understand,Why is decomposition useful?,decomposition useful کیوں ہے؟,It makes a complex problem easier to understand and solve / یہ complex problem کو سمجھنا اور solve کرنا آسان بناتا ہے,It increases unnecessary complexity / یہ unnecessary complexity بڑھاتا ہے,It eliminates the need for solutions / یہ solutions کی ضرورت ختم کرتا ہے,It works only for simple problems / یہ صرف simple problems کے لیے کام کرتا ہے,A | It makes a complex problem easier to understand and solve / یہ complex problem کو سمجھنا اور solve کرنا آسان بناتا ہے,Medium,1,ULTRA,1
q_9_cs_ch4_004,1,4.1 Computational Thinking,Remember,What is pattern recognition?,pattern recognition کیا ہے؟,Ignoring all repeated elements / تمام repeated elements ignore کرنا,Dividing every number by two / ہر number کو دو سے divide کرنا,Finding similarities and repeated structures in problems / problems میں similarities اور repeated structures تلاش کرنا,Drawing only terminal symbols / صرف terminal symbols draw کرنا,C | Finding similarities and repeated structures in problems / problems میں similarities اور repeated structures تلاش کرنا,Easy,1,PRO,1
q_9_cs_ch4_005,1,4.1 Computational Thinking,Understand,How does pattern recognition help problem-solving?,pattern recognition problem-solving میں کیسے مدد کرتی ہے؟,It prevents reuse of previous knowledge / یہ previous knowledge کے reuse کو روکتی ہے,It makes every case completely unrelated / یہ ہر case کو completely unrelated بنا دیتی ہے,It allows known solutions or rules to be applied to similar situations / یہ known solutions یا rules کو similar situations پر apply کرنے دیتی ہے,It replaces algorithms with guesses / یہ algorithms کو guesses سے replace کرتی ہے,C | It allows known solutions or rules to be applied to similar situations / یہ known solutions یا rules کو similar situations پر apply کرنے دیتی ہے,Medium,1,PRO,1
q_9_cs_ch4_006,1,4.1 Computational Thinking,Remember,What is abstraction?,abstraction کیا ہے؟,Focusing on essential information while ignoring unnecessary detail / essential information پر focus کرنا اور unnecessary detail ignore کرنا,Adding every possible detail / ہر possible detail add کرنا,Testing only hardware devices / صرف hardware devices test کرنا,Repeating the same instruction forever / ایک ہی instruction ہمیشہ repeat کرنا,A | Focusing on essential information while ignoring unnecessary detail / essential information پر focus کرنا اور unnecessary detail ignore کرنا,Easy,1,PRO,1
q_9_cs_ch4_007,1,4.1 Computational Thinking,Understand,Which computational-thinking technique is used when irrelevant details are removed?,irrelevant details remove کرنے پر کون سی computational-thinking technique استعمال ہوتی ہے؟,Decomposition / decomposition,Pattern recognition / pattern recognition,Simulation / simulation,Abstraction / abstraction,D | Abstraction / abstraction,Medium,1,ULTRA,1
TOPIC_SEP,1,4.2 Principles of Computational Thinking,Topic,,,,,,,,,,,1
q_9_cs_ch4_008,1,4.2 Principles of Computational Thinking,Remember,What is the first principle in solving a problem?,problem solve کرنے میں پہلا principle کیا ہے؟,Writing the final code / final code لکھنا,Understanding the problem / problem کو سمجھنا,Selecting a random answer / random answer select کرنا,Skipping requirements / requirements skip کرنا,B | Understanding the problem / problem کو سمجھنا,Easy,1,PRO,1
q_9_cs_ch4_009,1,4.2 Principles of Computational Thinking,Understand,Why is problem understanding important?,problem understanding کیوں important ہے؟,It removes the need to design a solution / یہ solution design کی ضرورت ختم کرتی ہے,"It clarifies requirements, inputs, outputs, and constraints / یہ requirements، inputs، outputs اور constraints واضح کرتی ہے",It guarantees every answer is correct without testing / یہ testing کے بغیر ہر answer correct guarantee کرتی ہے,It converts pseudocode into hardware / یہ pseudocode کو hardware میں convert کرتی ہے,"B | It clarifies requirements, inputs, outputs, and constraints / یہ requirements، inputs، outputs اور constraints واضح کرتی ہے",Medium,1,PRO,1
q_9_cs_ch4_010,1,4.2 Principles of Computational Thinking,Remember,What is problem simplification?,problem simplification کیا ہے؟,Adding unrelated requirements / غیر متعلقہ requirements add کرنا,Avoiding all analysis / تمام analysis avoid کرنا,Choosing the longest solution automatically / automatically longest solution choose کرنا,Reducing complexity so the problem becomes easier to handle / complexity reduce کرنا تاکہ problem handle کرنا آسان ہو,D | Reducing complexity so the problem becomes easier to handle / complexity reduce کرنا تاکہ problem handle کرنا آسان ہو,Easy,1,ULTRA,1
q_9_cs_ch4_011,1,4.2 Principles of Computational Thinking,Understand,What should be considered during solution selection and design?,solution selection اور design کے دوران کیا consider کرنا چاہیے؟,"Correctness, efficiency, and suitability for the problem / correctness، efficiency اور problem کے لیے suitability",Only the colour of the flowchart / صرف flowchart کا colour,Only the number of pages used / صرف استعمال شدہ pages کی تعداد,Randomness instead of requirements / requirements کے بجائے randomness,"A | Correctness, efficiency, and suitability for the problem / correctness، efficiency اور problem کے لیے suitability",Hard,1,ELITE,1
TOPIC_SEP,1,4.3 Algorithm Design Methods,Topic,,,,,,,,,,,1
q_9_cs_ch4_012,1,4.3 Algorithm Design Methods,Remember,What is an algorithm?,algorithm کیا ہے؟,A random collection of outputs / outputs کا random collection,A physical computer component / physical computer component,A finite sequence of step-by-step instructions for solving a problem / problem solve کرنے کے لیے step-by-step instructions کی finite sequence,A network security device / network security device,C | A finite sequence of step-by-step instructions for solving a problem / problem solve کرنے کے لیے step-by-step instructions کی finite sequence,Easy,1,PRO,1
q_9_cs_ch4_013,1,4.3 Algorithm Design Methods,Understand,Which characteristic requires an algorithm to eventually stop?,کون سی characteristic algorithm سے eventually stop ہونے کا تقاضا کرتی ہے؟,Ambiguity / ambiguity,Decoration / decoration,Finiteness / finiteness,Hardware dependence / hardware dependence,C | Finiteness / finiteness,Medium,1,ULTRA,1
q_9_cs_ch4_014,1,4.3 Algorithm Design Methods,Remember,What is a flowchart?,flowchart کیا ہے؟,A graphical representation of an algorithm / algorithm کی graphical representation,A programming language / programming language,A database table only / صرف database table,A hardware troubleshooting tool / hardware troubleshooting tool,A | A graphical representation of an algorithm / algorithm کی graphical representation,Easy,1,PRO,1
q_9_cs_ch4_015,1,4.3 Algorithm Design Methods,Remember,Which flowchart symbol represents the start or end?,کون سا flowchart symbol start یا end کو represent کرتا ہے؟,Rectangle / rectangle,Diamond / diamond,Arrow / arrow,Oval (terminal) / oval (terminal),D | Oval (terminal) / oval (terminal),Easy,1,PRO,1
q_9_cs_ch4_016,1,4.3 Algorithm Design Methods,Remember,Which flowchart symbol represents a process or task?,کون سا flowchart symbol process یا task کو represent کرتا ہے؟,Oval / oval,Rectangle / rectangle,Diamond / diamond,Arrow / arrow,B | Rectangle / rectangle,Easy,1,PRO,1
q_9_cs_ch4_017,1,4.3 Algorithm Design Methods,Remember,Which flowchart symbol represents a decision point?,کون سا flowchart symbol decision point کو represent کرتا ہے؟,Rectangle / rectangle,Diamond / diamond,Oval / oval,Arrow / arrow,B | Diamond / diamond,Easy,1,PRO,1
