question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_q5_past_001,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Past Paper Important | Verified Archive 2013-2023,Topic,topic_separator,,,,,1
q_9_eng_q5_past_001,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013,Long,word_phrase_usage_item,Use “Promised” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_002,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013,Long,word_phrase_usage_item,Use “Asked” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_003,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013,Long,word_phrase_usage_item,Use “Decided” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_004,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013, 2020, 2023",Long,word_phrase_usage_item,Use “Spacious” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_005,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013, 2021 Evening",Long,word_phrase_usage_item,Use “Humility” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_006,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013, 2015, 2018, 2021 Evening, 2023",Long,word_phrase_usage_item,Use “Impressive” in a meaningful sentence.,Medium,1,ELITE,0
q_9_eng_q5_past_007,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013,Long,word_phrase_usage_item,Use “Behind” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_008,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013, 2015",Long,word_phrase_usage_item,Use “Next to” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_009,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013 Evening,Long,word_phrase_usage_item,Use “Gave away” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_010,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013 Evening,Long,word_phrase_usage_item,Use “Supervise” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_011,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013 Evening,Long,word_phrase_usage_item,Use “Raise awareness” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_012,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013 Evening,Long,word_phrase_usage_item,Use “Herald” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_013,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013 Evening,Long,word_phrase_usage_item,Use “Confidence” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_014,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013 Evening,Long,word_phrase_usage_item,Use “Adorned” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_015,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013 Evening,Long,word_phrase_usage_item,Use “Make up one's mind” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_016,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2013 Evening,Long,word_phrase_usage_item,Use “Anguish” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_017,1,ENGLISH_A | Q5 Word/Phrase/Idiom Usage | Q5 Group 1 | Unit 1 - The Saviour of Mankind | Past Paper | 2014,Long,word_phrase_usage_item,Use “Tropical” in a meaningful sentence.,Easy,1,PRO,1
q_9_eng_q5_past_018,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014,Long,word_phrase_usage_item,Use “Conscious” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_019,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014, 2020",Long,word_phrase_usage_item,Use “Keep an eye” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_020,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014, 2018 Evening, 2020 Evening, 2023 Evening",Long,word_phrase_usage_item,Use “Refuge” in a meaningful sentence.,Medium,1,ELITE,0
q_9_eng_q5_past_021,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014, 2016 Evening, 2018, 2023 Evening",Long,word_phrase_usage_item,Use “Fit of fury” in a meaningful sentence.,Medium,1,ELITE,0
q_9_eng_q5_past_022,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014,Long,word_phrase_usage_item,Use “Recovery” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_023,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014,Long,word_phrase_usage_item,Use “Dangerous” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_024,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014, 2015",Long,word_phrase_usage_item,Use “Raising spirits” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_025,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014 Evening,Long,word_phrase_usage_item,Use “Century” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_026,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014 Evening, 2015, 2016 Evening, 2018",Long,word_phrase_usage_item,Use “Conquest” in a meaningful sentence.,Medium,1,ELITE,0
q_9_eng_q5_past_027,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014 Evening, 2016, 2016 Evening",Long,word_phrase_usage_item,Use “Responsible” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_028,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014 Evening,Long,word_phrase_usage_item,Use “Global village” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_029,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014 Evening,Long,word_phrase_usage_item,Use “Constructive role” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_030,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014 Evening, 2020 Evening, 2022 Evening, 2023, 2023 Evening",Long,word_phrase_usage_item,Use “Pass through” in a meaningful sentence.,Medium,1,ELITE,0
q_9_eng_q5_past_031,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014 Evening,Long,word_phrase_usage_item,Use “Unfortunately” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_032,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2014 Evening,Long,word_phrase_usage_item,Use “Harmful” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_033,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015, 2020, 2020 Evening, 2023 Evening",Long,word_phrase_usage_item,Use “Nationalism” in a meaningful sentence.,Medium,1,ELITE,0
q_9_eng_q5_past_034,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015, 2015 Evening, 2018, 2018 Evening, 2021 Evening",Long,word_phrase_usage_item,Use “Ignorance” in a meaningful sentence.,Medium,1,ELITE,0
q_9_eng_q5_past_035,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015, 2018, 2023",Long,word_phrase_usage_item,Use “Fall a prey” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_036,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015, 2020, 2023",Long,word_phrase_usage_item,Use “Delegation” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_037,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015 Evening,Long,word_phrase_usage_item,Use “Urge” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_038,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015 Evening,Long,word_phrase_usage_item,Use “Value” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_039,1,ENGLISH_A | Q5 Word/Phrase/Idiom Usage | Q5 Group 1 | Unit 2 - Patriotism | Past Paper | 2015 Evening,Long,word_phrase_usage_item,Use “Native” in a meaningful sentence.,Easy,1,PRO,1
q_9_eng_q5_past_040,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015 Evening, 2023",Long,word_phrase_usage_item,Use “Mad with anger” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_041,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015 Evening, 2018 Evening, 2021 Evening",Long,word_phrase_usage_item,Use “Reveal the secret” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_042,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015 Evening,Long,word_phrase_usage_item,Use “Pollution” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_043,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2015 Evening,Long,word_phrase_usage_item,Use “Acquire” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_044,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016, 2021 Evening, 2023 Evening",Long,word_phrase_usage_item,Use “Bits and pieces” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_045,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016,Long,word_phrase_usage_item,Use “Care” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_046,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016,Long,word_phrase_usage_item,Use “Request” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_047,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016,Long,word_phrase_usage_item,Use “Impact” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_048,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016,Long,word_phrase_usage_item,Use “Strength” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_049,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016, 2018, 2021 Evening",Long,word_phrase_usage_item,Use “Sacrifice” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_050,1,"ENGLISH_A | Q5 Word/Phrase/Idiom Usage | Q5 Group 2 | Unit 9 - Quality Education: A Key to Success | Past Paper | 2016, 2021 Evening, 2023",Long,word_phrase_usage_item,Use “Prosperity” in a meaningful sentence.,Medium,1,ULTRA,1
q_9_eng_q5_past_051,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016 Evening, 2018 Evening, 2020",Long,word_phrase_usage_item,Use “Influential” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_052,1,"ENGLISH_A | Q5 Word/Phrase/Idiom Usage | Q5 Group 1 | Unit 4 - Hazrat Asma | Past Paper | 2016 Evening, 2020, 2020 Evening",Long,word_phrase_usage_item,Use “Alleviate” in a meaningful sentence.,Medium,1,ULTRA,1
q_9_eng_q5_past_053,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016 Evening,Long,word_phrase_usage_item,Use “Across” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_054,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016 Evening,Long,word_phrase_usage_item,Use “Whose” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_055,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2016 Evening,Long,word_phrase_usage_item,Use “Construct” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_056,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2017 Evening,Long,word_phrase_usage_item,Use “Dignity” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_057,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2017 Evening,Long,word_phrase_usage_item,Use “Entertain” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_058,1,"ENGLISH_A | Q5 Word/Phrase/Idiom Usage | Q5 Group 1 | Unit 3 - Daffodils | Past Paper | 2017 Evening, 2022 Evening",Long,word_phrase_usage_item,Use “Solitude” in a meaningful sentence.,Medium,1,ULTRA,1
q_9_eng_q5_past_059,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2017 Evening,Long,word_phrase_usage_item,Use “Accustomed to” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_060,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2017 Evening,Long,word_phrase_usage_item,Use “Along with” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_061,1,ENGLISH_A | Q5 Word/Phrase/Idiom Usage | Q5 Group 1 | Unit 1 - The Saviour of Mankind | Past Paper | 2017 Evening,Long,word_phrase_usage_item,Use “Meditation” in a meaningful sentence.,Easy,1,PRO,1
q_9_eng_q5_past_062,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2017 Evening,Long,word_phrase_usage_item,Use “Demolish” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_063,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2017 Evening,Long,word_phrase_usage_item,Use “Generosity” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_064,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2018, 2020",Long,word_phrase_usage_item,Use “Surprise” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_065,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2018 Evening, 2020 Evening, 2023 Evening",Long,word_phrase_usage_item,Use “Motherland” in a meaningful sentence.,Medium,1,ULTRA,0
q_9_eng_q5_past_066,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2018 Evening,Long,word_phrase_usage_item,Use “Man in the street” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_067,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2018 Evening,Long,word_phrase_usage_item,Use “Click away” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_068,1,ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2018 Evening,Long,word_phrase_usage_item,Use “State” in a meaningful sentence.,Easy,1,PRO,0
q_9_eng_q5_past_069,1,ENGLISH_A | Q5 Word/Phrase/Idiom Usage | Q5 Group 1 | Unit 4 - Hazrat Asma | Past Paper | 2020,Long,word_phrase_usage_item,Use “Resolute” in a meaningful sentence.,Easy,1,PRO,1
q_9_eng_q5_past_070,1,"ENGLISH_B | Q5 Word/Phrase/Idiom Usage | Previous-Syllabus Past Paper Practice | Past Paper | 2020 Evening, 2023 Evening",Long,word_phrase_usage_item,Use “Determination” in a meaningful sentence.,Medium,1,ULTRA,0
