question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,7.1 Introduction to Artificial Intelligence (AI),topic_separator,,,,,,1
q_9_cs_ch7_sq_001,1,7.1 Introduction to Artificial Intelligence (AI),definition_function,Define Artificial Intelligence and state its main purpose.,Artificial Intelligence کی تعریف کریں اور اس کا بنیادی purpose بیان کریں۔,Easy,2,PRO,1
q_9_cs_ch7_sq_002,1,7.1 Introduction to Artificial Intelligence (AI),application_scenario,Give two applications of AI in healthcare and state one benefit.,healthcare میں AI کی دو applications دیں اور ایک فائدہ بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch7_sq_003,1,7.1 Introduction to Artificial Intelligence (AI),concept_explanation,Explain the role of AI techniques in advancing machine-learning models.,machine-learning models کو advance کرنے میں AI techniques کا کردار واضح کریں۔,Medium,2,PRO,1
q_9_cs_ch7_sq_004,1,7.1 Introduction to Artificial Intelligence (AI),definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What was the name of the first AI program mentioned in the chapter?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: chapter میں mentioned first AI program کا name کیا تھا؟,Easy,2,ELITE,1
q_9_cs_ch7_sq_005,1,7.1 Introduction to Artificial Intelligence (AI),definition_function,"Define or identify the required concept and state one key feature, purpose, or example: Who created the Logic Theorist in 1955?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: 1955 میں Logic Theorist کس نے create کیا؟,Easy,2,ELITE,1
q_9_cs_ch7_sq_006,1,7.1 Introduction to Artificial Intelligence (AI),definition_example,"Define or identify the required concept and state one key feature, purpose, or example: Which AI application helps diagnose diseases and personalize treatment plans?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: کون سی AI application diseases diagnose اور treatment plans personalize کرنے میں مدد دیتی ہے؟,Easy,2,PRO,1
q_9_cs_ch7_sq_007,1,7.1 Introduction to Artificial Intelligence (AI),concept_explanation,"Explain the following and state one resulting effect, benefit, or application: How is AI used in education?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: education میں AI کیسے use ہوتی ہے؟,Medium,2,PRO,1
q_9_cs_ch7_sq_008,1,7.1 Introduction to Artificial Intelligence (AI),list_state,Identify the required item or fact and state one related feature or function: Which domain uses AI to create realistic characters and improve player experience?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا domain realistic characters create اور player experience improve کرنے کے لیے AI use کرتا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch7_sq_009,1,7.1 Introduction to Artificial Intelligence (AI),list_state,Identify the required item or fact and state one related feature or function: Which transportation technology relies on AI?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سی transportation technology AI پر rely کرتی ہے؟,Easy,2,PRO,1
q_9_cs_ch7_sq_010,1,7.1 Introduction to Artificial Intelligence (AI),list_state,Identify the required item or fact and state one related feature or function: Which finance task can be supported by AI?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: finance کا کون سا task AI support کر سکتی ہے؟,Easy,2,ULTRA,1
q_9_cs_ch7_sq_011,1,7.1 Introduction to Artificial Intelligence (AI),function_purpose,State the required function or purpose and explain its importance: Which social-media function is powered by AI?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: social media کا کون سا function AI سے powered ہوتا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch7_sq_012,1,7.1 Introduction to Artificial Intelligence (AI),concept_explanation,"Explain the following and state one resulting effect, benefit, or application: How can AI support agriculture?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: AI agriculture کو کیسے support کر سکتی ہے؟,Medium,2,ULTRA,1
q_9_cs_ch7_sq_013,1,7.1 Introduction to Artificial Intelligence (AI),definition_example,"Define or identify the required concept and state one key feature, purpose, or example: Which AI application is common in e-commerce?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: e-commerce میں کون سی AI application common ہے؟,Easy,2,ULTRA,1
q_9_cs_ch7_sq_014,1,7.1 Introduction to Artificial Intelligence (AI),definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is machine learning?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: machine learning کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch7_sq_015,1,7.1 Introduction to Artificial Intelligence (AI),function_purpose,State the required function or purpose and explain its importance: What does deep learning use?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: deep learning کیا use کرتی ہے؟,Medium,2,PRO,1
q_9_cs_ch7_sq_016,1,7.1 Introduction to Artificial Intelligence (AI),concept_explanation,"Explain the following and state one resulting effect, benefit, or application: How is deep learning related to machine learning?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: deep learning کا machine learning سے کیا relation ہے؟,Medium,2,ULTRA,1
q_9_cs_ch7_sq_017,1,7.1 Introduction to Artificial Intelligence (AI),function_purpose,State the required function or purpose and explain its importance: What does NLP help computers do?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: NLP computers کو کیا کرنے میں help کرتی ہے؟,Medium,2,PRO,1
q_9_cs_ch7_sq_018,1,7.1 Introduction to Artificial Intelligence (AI),list_state,Identify the required item or fact and state one related feature or function: Which technology is used when Siri or Alexa understands a spoken question?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: Siri یا Alexa spoken question understand کرے تو کون سی technology use ہوتی ہے؟,Easy,2,PRO,1
q_9_cs_ch7_sq_019,1,7.1 Introduction to Artificial Intelligence (AI),definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is computer vision?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: computer vision کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch7_sq_020,1,7.1 Introduction to Artificial Intelligence (AI),definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is robotics?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: robotics کیا ہے؟,Easy,2,PRO,1
TOPIC_SEP,1,7.3 Introduction to Internet of Things (IoT),topic_separator,,,,,,1
q_9_cs_ch7_sq_021,1,7.3 Introduction to Internet of Things (IoT),definition_function,Define the Internet of Things and state its main purpose.,Internet of Things کی تعریف کریں اور اس کا بنیادی purpose بیان کریں۔,Easy,2,PRO,1
q_9_cs_ch7_sq_022,1,7.3 Introduction to Internet of Things (IoT),explain_reason,Explain the significance of IoT in connecting devices and systems.,devices اور systems connect کرنے میں IoT کی significance واضح کریں۔,Medium,2,PRO,1
q_9_cs_ch7_sq_023,1,7.3 Introduction to Internet of Things (IoT),application_scenario,Describe two applications of IoT in the transportation domain.,transportation domain میں IoT کی دو applications بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch7_sq_024,1,7.3 Introduction to Internet of Things (IoT),function_purpose,State the required function or purpose and explain its importance: What does IoT refer to?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: IoT کس چیز کو refer کرتا ہے؟,Medium,2,PRO,1
q_9_cs_ch7_sq_025,1,7.3 Introduction to Internet of Things (IoT),explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why is IoT significant?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: IoT significant کیوں ہے؟,Medium,2,PRO,1
q_9_cs_ch7_sq_026,1,7.3 Introduction to Internet of Things (IoT),list_state,"Identify the required item or fact and state one related feature or function: Which IoT component detects temperature, humidity, light, or motion?",درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا IoT component temperature، humidity، light یا motion detect کرتا ہے؟,Easy,2,PRO,1
q_9_cs_ch7_sq_027,1,7.3 Introduction to Internet of Things (IoT),function_purpose,State the required function or purpose and explain its importance: What does an actuator do in an IoT system?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: IoT system میں actuator کیا کرتا ہے؟,Medium,2,PRO,1
q_9_cs_ch7_sq_028,1,7.3 Introduction to Internet of Things (IoT),definition_example,"Define or identify the required concept and state one key feature, purpose, or example: Which is an example of an IoT device?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: کون IoT device کی example ہے؟,Easy,2,ULTRA,1
q_9_cs_ch7_sq_029,1,7.3 Introduction to Internet of Things (IoT),function_purpose,State the required function or purpose and explain its importance: What is the role of networks in IoT?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: IoT میں networks کا role کیا ہے؟,Medium,2,PRO,1
q_9_cs_ch7_sq_030,1,7.3 Introduction to Internet of Things (IoT),list_state,Identify the required item or fact and state one related feature or function: Where can IoT data analysis be performed?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: IoT data analysis کہاں perform ہو سکتی ہے؟,Easy,2,ULTRA,1
q_9_cs_ch7_sq_031,1,7.3 Introduction to Internet of Things (IoT),list_state,Identify the required item or fact and state one related feature or function: Who coined the term Internet of Things in 1999?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: 1999 میں Internet of Things term کس نے coin کی؟,Easy,2,ELITE,1
