question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch10_mcq_001,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Topic,,,,,,,,,,1
q_10_eng_ch10_001,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Who wanted three answers?,farmer,hermit,soldier,king,D | king,Easy,1,ELITE,1
q_10_eng_ch10_002,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Whom did king ask first?,hermit,soldiers,learned men,magicians,C | learned men,Easy,1,ELITE,1
q_10_eng_ch10_003,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Who did king finally visit?,farmer,hermit,doctor,priest,B | hermit,Easy,1,ELITE,1
q_10_eng_ch10_004,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,What was hermit doing?,digging,reading,sleeping,praying,A | digging,Easy,1,ELITE,1
q_10_eng_ch10_005,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Whom did the king save?,lawyer,philosopher,hermit,enemy,D | enemy,Easy,1,ELITE,1
sep_10_eng_ch10_mcq_002,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch10_006,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“alone” means:,by yourself,very slowly,fully hidden,great joy,A | by yourself,Medium,1,ELITE,1
q_10_eng_ch10_007,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“attentive” means:,very slowly,fully hidden,great joy,paying attention,D | paying attention,Medium,1,ELITE,1
q_10_eng_ch10_008,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“certain” means:,fully hidden,great joy,sure,very slowly,C | sure,Medium,1,ELITE,1
q_10_eng_ch10_009,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“crouching” means:,great joy,bending low,very slowly,fully hidden,B | bending low,Medium,1,ELITE,1
q_10_eng_ch10_010,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“digging” means:,making a hole,very slowly,fully hidden,great joy,A | making a hole,Medium,1,ELITE,1
q_10_eng_ch10_011,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“escaped” means:,very slowly,fully hidden,great joy,got away,D | got away,Medium,1,ELITE,1
