question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Topic,,,,,,,,,,1
q_9_eng_ch4_001,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[alleviate]].,happening repeatedly or incessantly,to make less severe,to move from one town or country to another area,strong and determined,B | to make less severe,Easy,1,PRO,1
q_9_eng_ch4_002,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[beacon]].,to discover or notice,dangerous,to make something known to somebody,a light,D | a light,Easy,1,PRO,1
q_9_eng_ch4_003,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[bounties]].,generous actions,in extreme anger,"to present, provide a service, or help",to cross an area of land or water,A | generous actions,Easy,1,PRO,1
q_9_eng_ch4_004,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[constant]].,extremely angry,strong and determined,happening repeatedly or incessantly,a project that involves taking risks,C | happening repeatedly or incessantly,Easy,1,PRO,1
q_9_eng_ch4_005,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[detect]].,to move from one town or country to another area,to make something known to somebody,to discover or notice,to make less severe,C | to discover or notice,Easy,1,PRO,1
q_9_eng_ch4_006,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[furious]].,in extreme anger,dangerous,to cross an area of land or water,a light,A | in extreme anger,Easy,1,PRO,1
q_9_eng_ch4_007,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[infuriated]].,"to present, provide a service, or help",a project that involves taking risks,generous actions,extremely angry,D | extremely angry,Easy,1,PRO,1
q_9_eng_ch4_008,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[migrate]].,strong and determined,to move from one town or country to another area,to make less severe,happening repeatedly or incessantly,B | to move from one town or country to another area,Easy,1,PRO,1
q_9_eng_ch4_009,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[perilous]].,dangerous,to make something known to somebody,a light,to discover or notice,A | dangerous,Medium,1,PRO,1
q_9_eng_ch4_010,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[render]].,to cross an area of land or water,generous actions,"to present, provide a service, or help",in extreme anger,"C | to present, provide a service, or help",Medium,1,PRO,1
q_9_eng_ch4_011,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[resolute]].,a project that involves taking risks,strong and determined,happening repeatedly or incessantly,extremely angry,B | strong and determined,Medium,1,PRO,1
q_9_eng_ch4_012,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[reveal]].,to make less severe,to discover or notice,to move from one town or country to another area,to make something known to somebody,D | to make something known to somebody,Medium,1,PRO,1
q_9_eng_ch4_013,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[traverse]].,a light,in extreme anger,dangerous,to cross an area of land or water,D | to cross an area of land or water,Medium,1,PRO,1
q_9_eng_ch4_014,1,ENGLISH_A | Unit 4 - Hazrat Asma | Complete Glossary,Remember,Choose the correct meaning of [[venture]].,generous actions,a project that involves taking risks,extremely angry,"to present, provide a service, or help",B | a project that involves taking risks,Medium,1,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 4 - Hazrat Asma | Correct Spellings,Topic,,,,,,,,,,1
q_9_eng_ch4_015,1,ENGLISH_A | Unit 4 - Hazrat Asma | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 4 word: [[alleviate]].,aleviate,alliviate,alleviate,alleviete,C | alleviate,Easy,1,ULTRA,1
