question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,9.0 Science and Physical Sciences,,,,,,,1
q_9_phy_ch9_sq_001,,9.0 Science and Physical Sciences,state,State what science is and write its two main groups.,سائنس کیا ہے؟ اس کے دو بڑے گروہ لکھیں۔,Easy,2,high,
q_9_phy_ch9_sq_002,,9.0 Science and Physical Sciences,explain,Explain why the study of nature was divided into biological sciences and physical sciences.,وضاحت کریں کہ فطرت کے مطالعے کو حیاتیاتی علوم اور طبیعی علوم میں کیوں تقسیم کیا گیا۔,Medium,2,high,
q_9_phy_ch9_sq_003,,9.0 Science and Physical Sciences,differentiate,Differentiate between biological sciences and physical sciences with one example of each.,حیاتیاتی علوم اور طبیعی علوم میں فرق بیان کریں اور ہر ایک کی ایک مثال دیں۔,Medium,2,high,
q_9_phy_ch9_sq_004,,9.0 Science and Physical Sciences,state,State the role of physics among physical sciences and name two related disciplines.,طبیعی علوم میں طبیعیات کا کردار بیان کریں اور دو متعلقہ شعبوں کے نام لکھیں۔,Easy,2,high,
q_9_phy_ch9_sq_005,,9.0 Science and Physical Sciences,explain,Explain how asking how and why questions begins the scientific study of natural events.,وضاحت کریں کہ کیسے اور کیوں کے سوالات قدرتی واقعات کے سائنسی مطالعے کا آغاز کیسے کرتے ہیں۔,Medium,2,high,
,1,9.1 Scope of Physics,,,,,,,1
q_9_phy_ch9_sq_006,,9.1 Scope of Physics,state,State what physics is all about and mention its main constituents.,طبیعیات کس چیز کے بارے میں ہے؟ اس کے بنیادی اجزا لکھیں۔,Easy,2,high,
q_9_phy_ch9_sq_007,,9.1 Scope of Physics,explain,"Explain how physics deals with matter, energy, space and time.",وضاحت کریں کہ طبیعیات مادہ، توانائی، فضا اور وقت سے کیسے متعلق ہے۔,Medium,2,high,
q_9_phy_ch9_sq_008,,9.1 Scope of Physics,describe,Describe space as a three-dimensional extent and give one related example of objects or events.,فضا کو تین جہتی وسعت کے طور پر بیان کریں اور اشیا یا واقعات سے متعلق ایک مثال دیں۔,Medium,2,high,
q_9_phy_ch9_sq_009,,9.1 Scope of Physics,describe,Describe time as a fourth dimension and give the example of a swinging pendulum.,وقت کو چوتھی جہت کے طور پر بیان کریں اور جھولتے ہوئے پینڈولم کی مثال دیں۔,Medium,2,high,
q_9_phy_ch9_sq_010,,9.1 Scope of Physics,explain,"Explain how the theory of relativity connects space, time, gravity and speed.",وضاحت کریں کہ نظریۂ اضافیت فضا، وقت، کششِ ثقل اور رفتار کو کیسے ملاتا ہے۔,Hard,2,high,
q_9_phy_ch9_sq_011,,9.1 Scope of Physics,state,State the role of quantum mechanics in explaining atomic and subatomic particles.,ایٹمی اور زیرِ ایٹمی ذرات کی وضاحت میں کوانٹم میکانیات کا کردار بیان کریں۔,Medium,2,high,
,1,9.2 Branches of Physics,,,,,,,1
q_9_phy_ch9_sq_012,,9.2 Branches of Physics,list,List the main branches of physics mentioned in the chapter.,طبیعیات کی وہ اہم شاخیں فہرست کریں جو بیان کی گئی ہیں۔,Easy,2,high,
q_9_phy_ch9_sq_013,,9.2 Branches of Physics,describe,Describe mechanics and mention the laws on which classical mechanics is based.,میکانیات کی وضاحت کریں اور وہ قوانین لکھیں جن پر کلاسیکی میکانیات مبنی ہے۔,Medium,2,high,
q_9_phy_ch9_sq_014,,9.2 Branches of Physics,describe,Describe heat and thermodynamics with reference to thermal energy flowing from one body to another.,حرارت اور حرکیاتِ حرارت کو حرارتی توانائی کے ایک جسم سے دوسرے جسم میں بہاؤ کے حوالے سے بیان کریں۔,Medium,2,high,
q_9_phy_ch9_sq_015,,9.2 Branches of Physics,state,State what acoustics deals with and give one example related to audible sound energy.,صوتیات کس چیز سے متعلق ہے؟ قابلِ سماعت صوتی توانائی سے متعلق ایک مثال دیں۔,Easy,2,high,
q_9_phy_ch9_sq_016,,9.2 Branches of Physics,state,State what optics deals with and give one example related to visible light.,بصریات کس چیز سے متعلق ہے؟ مرئی روشنی سے متعلق ایک مثال دیں۔,Easy,2,high,
q_9_phy_ch9_sq_017,,9.2 Branches of Physics,explain,Explain the mutual relationship studied in electromagnetism.,برقی مقناطیسیت میں مطالعہ کیے جانے والے باہمی تعلق کی وضاحت کریں۔,Easy,2,high,
q_9_phy_ch9_sq_018,,9.2 Branches of Physics,compare,Compare quantum mechanics and relativistic mechanics in terms of what each explains.,کوانٹم میکانیات اور اضافی میکانیات کا موازنہ کریں کہ ہر ایک کس چیز کی وضاحت کرتی ہے۔,Hard,2,high,
