question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,2.1 Structure of Atom,Topic,,,,,,,,,,,1
q_9_chem_ch2_001,1,2.1 Structure of Atom,Remember,Who proposed that all matter is made of tiny particles called atoms?,کس فلسفی نے کہا کہ تمام مادّہ ننھے ذرّات یعنی ایٹموں سے بنا ہے؟,Niels Bohr / نیلز بوہر,Democritus / ڈیموکریٹس,E. Goldstein / ای۔ گولڈسٹین,J. J. Thomson / جے۔ جے۔ تھامسن,B | Democritus / ڈیموکریٹس,Easy,1,ULTRA,1
q_9_chem_ch2_002,1,2.1 Structure of Atom,Remember,Who provided experimental evidence for the existence of atoms around 1800?,تقریباً 1800ء میں ایٹموں کے وجود کے تجرباتی شواہد کس نے فراہم کیے؟,Rutherford / رتھر فورڈ,Democritus / ڈیموکریٹس,Goldstein / گولڈسٹین,John Dalton / جان ڈالٹن,D | John Dalton / جان ڈالٹن,Easy,1,PRO,1
q_9_chem_ch2_003,1,2.1 Structure of Atom,Understand,What did discharge-tube experiments show about atoms?,ڈسچارج ٹیوب کے تجربات نے ایٹموں کے بارے میں کیا ظاہر کیا؟,Atoms contain particles smaller than themselves / ایٹم اپنے سے چھوٹے ذرّات پر مشتمل ہوتے ہیں,Atoms are completely indivisible under all conditions / ایٹم ہر حالت میں مکمل ناقابلِ تقسیم ہیں,Atoms contain only neutrons / ایٹم صرف نیوٹران رکھتے ہیں,All atoms have identical masses / تمام ایٹموں کی کمیت یکساں ہے,A | Atoms contain particles smaller than themselves / ایٹم اپنے سے چھوٹے ذرّات پر مشتمل ہوتے ہیں,Medium,1,PRO,1
q_9_chem_ch2_004,1,2.1 Structure of Atom,Remember,Which subatomic particle carries a negative charge?,کون سا ذیلی ایٹمی ذرّہ منفی بار رکھتا ہے؟,Proton / پروٹان,Neutron / نیوٹران,Electron / الیکٹران,Nucleus / مرکزہ,C | Electron / الیکٹران,Easy,1,PRO,1
q_9_chem_ch2_005,1,2.1 Structure of Atom,Remember,Which subatomic particle carries a positive charge?,کون سا ذیلی ایٹمی ذرّہ مثبت بار رکھتا ہے؟,Electron / الیکٹران,Proton / پروٹان,Neutron / نیوٹران,Photon / فوٹان,B | Proton / پروٹان,Easy,1,PRO,1
q_9_chem_ch2_006,1,2.1 Structure of Atom,Remember,Which subatomic particle has no charge?,کون سا ذیلی ایٹمی ذرّہ بے بار ہوتا ہے؟,Neutron / نیوٹران,Electron / الیکٹران,Proton / پروٹان,Cation / کیٹائن,A | Neutron / نیوٹران,Easy,1,PRO,1
q_9_chem_ch2_007,1,2.1 Structure of Atom,Remember,A proton is approximately how many times heavier than an electron according to the chapter?,باب کے مطابق پروٹان الیکٹران سے تقریباً کتنی گنا زیادہ بھاری ہے؟,18 times / 18 گنا,183 times / 183 گنا,3600 times / 3600 گنا,1836 times / 1836 گنا,D | 1836 times / 1836 گنا,Medium,1,ULTRA,1
q_9_chem_ch2_008,1,2.1 Structure of Atom,Understand,Why did cathode rays bend toward the positive plate?,کیتھوڈ شعاعیں مثبت پلیٹ کی طرف کیوں مڑیں؟,They carried positive charge / وہ مثبت بار رکھتی تھیں,They were neutral / وہ بے بار تھیں,They carried negative charge / وہ منفی بار رکھتی تھیں,They contained only photons / ان میں صرف فوٹان تھے,C | They carried negative charge / وہ منفی بار رکھتی تھیں,Medium,1,PRO,1
q_9_chem_ch2_009,1,2.1 Structure of Atom,Remember,Who studied cathode rays in 1897 and identified electrons?,1897ء میں کیتھوڈ شعاعوں کا مطالعہ کر کے الیکٹران کی شناخت کس نے کی؟,J. J. Thomson / جے۔ جے۔ تھامسن,Niels Bohr / نیلز بوہر,John Dalton / جان ڈالٹن,Rutherford / رتھر فورڈ,A | J. J. Thomson / جے۔ جے۔ تھامسن,Easy,1,PRO,1
q_9_chem_ch2_010,1,2.1 Structure of Atom,Remember,What were the positively charged rays produced in a perforated-cathode tube called?,سوراخ دار کیتھوڈ والی ٹیوب میں پیدا ہونے والی مثبت شعاعوں کو کیا کہا گیا؟,Cathode rays / کیتھوڈ شعاعیں,Gamma rays / گاما شعاعیں,X-rays / ایکس شعاعیں,Canal rays or anode rays / کینال شعاعیں یا اینوڈ شعاعیں,D | Canal rays or anode rays / کینال شعاعیں یا اینوڈ شعاعیں,Easy,1,ULTRA,1
q_9_chem_ch2_011,1,2.1 Structure of Atom,Remember,Who first observed positively charged particles through canal-ray experiments?,کینال شعاعوں کے تجربات سے مثبت ذرّات کا سب سے پہلے مشاہدہ کس نے کیا؟,J. J. Thomson / جے۔ جے۔ تھامسن,E. Goldstein / ای۔ گولڈسٹین,John Dalton / جان ڈالٹن,Democritus / ڈیموکریٹس,B | E. Goldstein / ای۔ گولڈسٹین,Easy,1,ULTRA,1
q_9_chem_ch2_012,1,2.1 Structure of Atom,Remember,Who concluded from the gold-foil experiment that an atom has a tiny central nucleus?,سونے کے ورق کے تجربے سے ایٹم میں ننھا مرکزی مرکزہ ہونے کا نتیجہ کس نے اخذ کیا؟,John Dalton / جان ڈالٹن,Niels Bohr / نیلز بوہر,Lord Rutherford / لارڈ رتھر فورڈ,E. Goldstein / ای۔ گولڈسٹین,C | Lord Rutherford / لارڈ رتھر فورڈ,Easy,1,PRO,1
q_9_chem_ch2_013,1,2.1 Structure of Atom,Understand,Why is almost all atomic mass concentrated in the nucleus?,ایٹم کی تقریباً تمام کمیت مرکزے میں کیوں مرتکز ہوتی ہے؟,Electrons are heavier than protons / الیکٹران پروٹان سے زیادہ بھاری ہوتے ہیں,The nucleus contains only empty space / مرکزہ صرف خالی جگہ رکھتا ہے,All shells are inside the nucleus / تمام خول مرکزے کے اندر ہوتے ہیں,Protons and neutrons are present in the nucleus / پروٹان اور نیوٹران مرکزے میں موجود ہوتے ہیں,D | Protons and neutrons are present in the nucleus / پروٹان اور نیوٹران مرکزے میں موجود ہوتے ہیں,Medium,1,PRO,1
q_9_chem_ch2_014,1,2.1 Structure of Atom,Remember,What force holds protons and neutrons together in the nucleus?,مرکزے میں پروٹان اور نیوٹران کو کون سی قوت اکٹھا رکھتی ہے؟,Strong nuclear force / مضبوط نیوکلیائی قوت,Weak nuclear force / کمزور نیوکلیائی قوت,Dipole force / ڈائپول قوت,Gravitational force only / صرف کششِ ثقل,A | Strong nuclear force / مضبوط نیوکلیائی قوت,Easy,1,PRO,1
TOPIC_SEP,1,2.1 Bohr Atomic Model and Shells,Topic,,,,,,,,,,,1
q_9_chem_ch2_015,1,2.1 Bohr Atomic Model and Shells,Remember,"According to Bohr, electrons revolve around the nucleus in definite paths called what?",بوہر کے مطابق الیکٹران مرکزے کے گرد معین راستوں میں گردش کرتے ہیں جنہیں کیا کہتے ہیں؟,Nuclei / مرکزے,Canal rays / کینال شعاعیں,Orbits or shells / مدار یا خول,Isotopes / آئسوٹوپس,C | Orbits or shells / مدار یا خول,Easy,1,PRO,1
q_9_chem_ch2_016,1,2.1 Bohr Atomic Model and Shells,Understand,What remains fixed while an electron revolves in an allowed Bohr orbit?,بوہر کے مجاز مدار میں الیکٹران کی گردش کے دوران کیا مقرر رہتا ہے؟,Its mass number / اس کا کمیتی عدد,Its energy / اس کی توانائی,Its neutron number / اس کے نیوٹرانوں کی تعداد,Its nuclear charge / اس کا نیوکلیائی بار,B | Its energy / اس کی توانائی,Medium,1,ULTRA,1
q_9_chem_ch2_017,1,2.1 Bohr Atomic Model and Shells,Remember,What is the lowest-energy state of an atom called?,ایٹم کی کم ترین توانائی والی حالت کو کیا کہتے ہیں؟,Excited nucleus / برانگیختہ مرکزہ,Ground state / بنیادی حالت,Radioactive state / تابکار حالت,Ionized shell / آئنائزڈ خول,B | Ground state / بنیادی حالت,Easy,1,ULTRA,1
q_9_chem_ch2_018,1,2.1 Bohr Atomic Model and Shells,Understand,How does electron energy change in shells farther from the nucleus?,مرکزے سے دور خولوں میں الیکٹران کی توانائی کیسے بدلتی ہے؟,It decreases to zero / یہ کم ہو کر صفر ہو جاتی ہے,It remains the same in all shells / یہ تمام خولوں میں یکساں رہتی ہے,It becomes negative only / یہ صرف منفی ہو جاتی ہے,It increases / یہ بڑھتی ہے,D | It increases / یہ بڑھتی ہے,Medium,1,PRO,1
