question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b4_short_001,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,textbook_exercise_direct,اخلاص کا مفہوم بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b4_short_002,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,textbook_exercise_direct,تقویٰ کے مفہوم پر روشنی ڈالیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_003,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,textbook_exercise_direct,اخلاص و تقویٰ کے بارے میں ایک قرآنی آیت مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_004,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,textbook_exercise_direct,اخلاص و تقویٰ کے بارے میں ایک حدیث مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_005,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,textbook_exercise_direct,رسول اللہ ﷺ کے اخلاص و تقویٰ کی ایک مثال ذکر کریں۔,Medium,2,ELITE,1
q_10_isl_b4_short_006,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,textbook_exercise_direct,پردہ پوشی کا مفہوم بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b4_short_007,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,textbook_exercise_direct,پردہ پوشی کے بارے میں ایک قرآنی آیت مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_008,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,textbook_exercise_direct,پردہ پوشی کے بارے میں ایک حدیث مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_009,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,textbook_exercise_direct,حضرت عمر رضی اللہ عنہ نے پردہ پوشی کا حکم کیسے پورا کیا؟,Medium,2,ELITE,1
q_10_isl_b4_short_010,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,textbook_exercise_direct,پردہ پوشی کے حوالے سے دور حاضر میں میڈیا کا کیا کردار ہے؟,Medium,2,ELITE,1
q_10_isl_b4_short_011,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,textbook_exercise_direct,سچ اور جھوٹ میں کیا فرق ہے؟,Medium,2,ELITE,1
q_10_isl_b4_short_012,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,textbook_exercise_direct,جھوٹ کی مذمت پر ایک آیت مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_013,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,textbook_exercise_direct,جھوٹ کی مذمت پر ایک حدیث مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_014,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,textbook_exercise_direct,نبی کریم ﷺ کی سچائی اور راست گوئی کا کوئی ایک واقعہ تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b4_short_015,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,textbook_exercise_direct,جھوٹ کے کیا نقصانات ہیں؟,Medium,2,ELITE,1
q_10_isl_b4_short_016,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,textbook_exercise_direct,غیبت کا کیا معنی ہے؟,Medium,2,ELITE,1
q_10_isl_b4_short_017,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,textbook_exercise_direct,بہتان کا کیا معنی ہے؟,Medium,2,ELITE,1
q_10_isl_b4_short_018,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,textbook_exercise_direct,غیبت اور بہتان کی حرمت پر ایک آیت مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_019,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,textbook_exercise_direct,غیبت اور بہتان کی حرمت پر ایک حدیث مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b4_short_020,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,textbook_exercise_direct,غیبت اور بہتان کے معاشرے پر دو نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b4_short_021,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,textbook_exercise_direct,توہم پرستی سے کیا مراد ہے؟,Medium,2,ELITE,1
q_10_isl_b4_short_022,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,textbook_exercise_direct,نبی کریم ﷺ کون سی دعا پڑھ کر حسنین کریمین رضی اللہ عنہما پر دم کیا کرتے تھے؟,Medium,2,ELITE,1
q_10_isl_b4_short_023,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,textbook_exercise_direct,خرما مدینہ اور عجوہ کھجور کی کیا اہمیت ہے؟,Medium,2,ELITE,1
q_10_isl_b4_short_024,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,textbook_exercise_direct,حدیث نبوی ﷺ میں جادو کا کیا علاج بیان کیا گیا ہے؟,Medium,2,ELITE,1
q_10_isl_b4_short_025,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,textbook_exercise_direct,حصول خیر اور حاجت روائی کے لیے ہمیں کن اعمال کو اختیار کرنا چاہیے؟,Medium,2,ELITE,1
q_10_isl_b4_short_026,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,اخلاص اور ریا میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_027,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,اعمال کی قبولیت میں نیت کی اہمیت کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_028,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,تقویٰ انسان کو گناہ سے کیسے بچاتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_029,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,اللہ تعالیٰ کے ہاں عزت کا معیار کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_030,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,تقویٰ کا تعلق دل سے کیوں جوڑا گیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_031,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,مخلص انسان کی دو صفات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_032,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,ریاکاری کے دو نقصانات بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_033,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,اخلاص انسان کے کردار کو کیسے بہتر بناتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_034,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,تقویٰ اور پاکیزہ کردار میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_035,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_book_derived,عملی زندگی میں اخلاص و تقویٰ کی ایک مثال لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_036,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,کسی مسلمان کی پردہ پوشی کی فضیلت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_037,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,عیب جوئی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_038,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,اسلام نے عیب تلاش کرنے سے کیوں منع کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_039,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,اصلاح کرتے وقت نام نہ لینے کی حکمت کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_040,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,پردہ پوشی معاشرتی اعتماد کو کیسے بڑھاتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_041,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,سوشل میڈیا پر کسی کا عیب پھیلانے کے دو نقصانات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_042,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,پردہ پوشی اور جرم چھپانے میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_043,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,میڈیا کو لوگوں کی عزت و آبرو کی حفاظت کیسے کرنی چاہیے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_044,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,حضرت عمر رضی اللہ عنہ کے واقعے سے کیا اخلاقی سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_045,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,extra_important_book_derived,دوسروں کی ذاتی کمزوریوں کی تشہیر سے کیوں بچنا چاہیے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_046,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,جھوٹ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_047,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,جھوٹ کو نفاق کی نشانی کیوں کہا گیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_048,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,سچائی انسان کو نیکی کی طرف کیسے لے جاتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_049,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,صادق و امین کے لقب سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_050,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,جھوٹی گواہی کے دو نقصانات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_051,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,جھوٹ معاشرتی اعتماد کو کیسے تباہ کرتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_052,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,افواہ اور جھوٹ میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_053,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,مزاح میں جھوٹ بولنے سے کیوں بچنا چاہیے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_054,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,زبان کی حفاظت جھوٹ سے بچنے میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_055,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,extra_important_book_derived,سچائی کے دو انفرادی اور دو معاشرتی فوائد لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_056,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,غیبت اور بہتان میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_057,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,غیبت کو مردہ بھائی کا گوشت کھانے سے کیوں تشبیہ دی گئی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_058,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,بہتان کسی کی عزت کو کیسے نقصان پہنچاتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_059,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,غیبت باہمی تعلقات کو کیسے خراب کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_060,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,غیبت سے دلوں میں نفرت کیوں پیدا ہوتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_061,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,سوشل میڈیا پر جھوٹا الزام کس اخلاقی برائی میں آتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_062,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,غیبت سے بچنے کے دو عملی طریقے لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_063,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,عیب جوئی معاشرتی فساد کا سبب کیسے بنتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_064,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,لوگوں کے عیب بیان کرنے والے کے لیے کیا تنبیہ بیان ہوئی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_065,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,extra_important_book_derived,غیبت و بہتان سے معاشرتی امن کیسے متاثر ہوتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_066,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,بدشگونی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_067,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,فال گیری سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_068,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,غیب کے علم کے بارے میں اسلامی عقیدہ کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_069,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,زمانہ جاہلیت میں صفر کے مہینے کے بارے میں کیا غلط تصور تھا؟,Medium,2,ULTRA,1
q_10_isl_b4_short_070,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,قسمت کا حال پوچھنے کے بارے میں حدیث کی کیا تنبیہ ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_071,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,عجوہ کھجور کی اہمیت مختصراً بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_072,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,توہم پرستی انسان کی سوچ کو کیسے متاثر کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_073,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,مصیبت کے وقت مسلمان کا صحیح رویہ کیا ہونا چاہیے؟,Medium,2,ULTRA,1
q_10_isl_b4_short_074,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,جادو اور توہم سے حفاظت کے لیے دعا و توکل کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b4_short_075,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_book_derived,حصول خیر کے لیے جائز اسباب اختیار کرنا کیوں ضروری ہے؟,Medium,2,ULTRA,1
