question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,2.1 Introduction to Post-Troubleshooting,topic_separator,,,,,,1
q_10_cs_ch2_sq_001,1,2.1 Introduction to Post-Troubleshooting,definition_function,Define post-troubleshooting maintenance and state its role after a computer problem has been resolved.,Post-troubleshooting maintenance کی تعریف کریں اور کمپیوٹر کا مسئلہ حل ہونے کے بعد اس کا کردار بیان کریں۔,Easy,2,PRO,1
q_10_cs_ch2_sq_002,1,2.1 Introduction to Post-Troubleshooting,difference,Differentiate between troubleshooting and post-troubleshooting maintenance using any two points.,Troubleshooting اور post-troubleshooting maintenance کے درمیان کوئی دو فرق بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,2.1.1 Importance of Continuous Maintenance,topic_separator,,,,,,1
q_10_cs_ch2_sq_003,1,2.1.1 Importance of Continuous Maintenance,explain_reason,"Explain why continuous maintenance is necessary even after a computer problem has been solved, and give one relevant example.",وضاحت کریں کہ کمپیوٹر کا مسئلہ حل ہونے کے بعد بھی continuous maintenance کیوں ضروری ہے، اور ایک متعلقہ مثال دیں۔,Medium,2,PRO,1
q_10_cs_ch2_sq_004,1,2.1.1 Importance of Continuous Maintenance,advantages_disadvantages,State any three benefits of regular computer maintenance.,کمپیوٹر کی باقاعدہ maintenance کے کوئی تین فوائد بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,2.1.2 Impact of Poor Maintenance,topic_separator,,,,,,1
q_10_cs_ch2_sq_005,1,2.1.2 Impact of Poor Maintenance,list_state,Enlist any four problems that may result from poor computer maintenance.,کمپیوٹر کی ناقص maintenance کے نتیجے میں پیدا ہونے والے کوئی چار مسائل لکھیں۔,Easy,2,PRO,1
q_10_cs_ch2_sq_006,1,2.1.2 Impact of Poor Maintenance,cause_effect,"Explain how temporary files, unused programs, and background processes can reduce system performance.",وضاحت کریں کہ temporary files، غیر استعمال شدہ programs اور background processes سسٹم کی کارکردگی کو کیسے کم کر سکتے ہیں۔,Medium,2,ELITE,1
q_10_cs_ch2_sq_007,1,2.1.2 Impact of Poor Maintenance,cause_effect,Explain how missing system updates may lead to system failure and security risks.,وضاحت کریں کہ system updates نصب نہ ہونے سے system failure اور security risks کیسے پیدا ہو سکتے ہیں۔,Medium,2,ELITE,1
