question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,7.1 Acids and Bases,Topic,,,,,,,,,,,1
q_9_chem_ch7_001,1,7.1 Acids and Bases,Remember,Which taste is commonly associated with acids?,تیزابوں کے ساتھ عموماً کون سا ذائقہ وابستہ ہے؟,Bitter / کڑوا,Sour / کھٹا,Sweet / میٹھا,Salty only / صرف نمکین,B | Sour / کھٹا,Easy,1,ULTRA,1
q_9_chem_ch7_002,1,7.1 Acids and Bases,Remember,What effect do acids have on blue litmus paper?,تیزاب نیلے لٹمس پیپر پر کیا اثر ڈالتے ہیں؟,They turn it blue / وہ اسے نیلا کر دیتے ہیں,They bleach it white / وہ اسے سفید کر دیتے ہیں,They have no effect in water / پانی میں ان کا کوئی اثر نہیں,They turn it red / وہ اسے سرخ کر دیتے ہیں,D | They turn it red / وہ اسے سرخ کر دیتے ہیں,Easy,1,PRO,1
q_9_chem_ch7_003,1,7.1 Acids and Bases,Remember,Which taste is commonly associated with bases?,اساسوں کے ساتھ عموماً کون سا ذائقہ وابستہ ہے؟,Bitter / کڑوا,Sour / کھٹا,Sweet / میٹھا,Salty only / صرف نمکین,A | Bitter / کڑوا,Easy,1,ULTRA,1
q_9_chem_ch7_004,1,7.1 Acids and Bases,Remember,What effect do bases have on red litmus paper?,اساس سرخ لٹمس پیپر پر کیا اثر ڈالتے ہیں؟,They turn it red / وہ اسے سرخ کر دیتے ہیں,They turn it yellow / وہ اسے پیلا کر دیتے ہیں,They turn it blue / وہ اسے نیلا کر دیتے ہیں,They dissolve the paper immediately / وہ پیپر کو فوراً حل کر دیتے ہیں,C | They turn it blue / وہ اسے نیلا کر دیتے ہیں,Easy,1,PRO,1
q_9_chem_ch7_005,1,7.1 Acids and Bases,Understand,Which ions are produced by acids in water according to the chapter?,باب کے مطابق تیزاب پانی میں کون سے آئن پیدا کرتے ہیں؟,"Hydroxide ions, OH⁻ / ہائیڈرو آکسائیڈ آئن، OH⁻","Hydroxonium ions, H₃O⁺ / ہائیڈروکسونیم آئن، H₃O⁺",Chloride ions only / صرف کلورائیڈ آئن,Metal ions only / صرف دھاتی آئن,"B | Hydroxonium ions, H₃O⁺ / ہائیڈروکسونیم آئن، H₃O⁺",Medium,1,PRO,1
q_9_chem_ch7_006,1,7.1 Acids and Bases,Understand,Which ions are produced by bases in water?,اساس پانی میں کون سے آئن پیدا کرتے ہیں؟,"Hydroxide ions, OH⁻ / ہائیڈرو آکسائیڈ آئن، OH⁻","Hydroxonium ions, H₃O⁺ / ہائیڈروکسونیم آئن، H₃O⁺",Hydrogen gas only / صرف ہائیڈروجن گیس,Carbonate ions only / صرف کاربونیٹ آئن,"A | Hydroxide ions, OH⁻ / ہائیڈرو آکسائیڈ آئن، OH⁻",Medium,1,PRO,1
q_9_chem_ch7_007,1,7.1 Acids and Bases,Remember,Which acid is present in citrus fruits?,ترش پھلوں میں کون سا تیزاب پایا جاتا ہے؟,Stearic acid / اسٹیئرک ایسڈ,Formic acid / فارمک ایسڈ,Sulphuric acid / سلفیورک ایسڈ,Citric acid / سٹرک ایسڈ,D | Citric acid / سٹرک ایسڈ,Easy,1,ULTRA,1
q_9_chem_ch7_008,1,7.1 Acids and Bases,Remember,Which acid is used in soap preparation according to the exercise?,مشق کے مطابق صابن کی تیاری میں کون سا تیزاب استعمال ہوتا ہے؟,Citric acid / سٹرک ایسڈ,Tartaric acid / ٹارٹرک ایسڈ,Stearic acid / اسٹیئرک ایسڈ,Oxalic acid / آکسالک ایسڈ,C | Stearic acid / اسٹیئرک ایسڈ,Easy,1,PRO,1
q_9_chem_ch7_009,1,7.1 Acids and Bases,Remember,Which food contains oxalic acid according to the exercise?,مشق کے مطابق کون سی غذا آکسالک ایسڈ رکھتی ہے؟,Tomato / ٹماٹر,Orange / سنترہ,Tamarind / املی,Sour milk / کھٹا دودھ,A | Tomato / ٹماٹر,Easy,1,PRO,1
