question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,1.1 What is Chemistry?,Topic,,,,,,,,,,,1
q_9_chem_ch1_001,1,1.1 What is Chemistry?,Remember,Which statement best defines chemistry?,کیمیا کی بہترین تعریف کون سی ہے؟,Study of living populations only / صرف جاندار آبادیوں کا مطالعہ,"Study of the properties, composition, structure and changes of substances / مادّوں کی خصوصیات، ترکیب، ساخت اور تبدیلیوں کا مطالعہ",Study of stars only / صرف ستاروں کا مطالعہ,Study of motion without matter / مادّے کے بغیر حرکت کا مطالعہ,"B | Study of the properties, composition, structure and changes of substances / مادّوں کی خصوصیات، ترکیب، ساخت اور تبدیلیوں کا مطالعہ",Easy,1,PRO,1
q_9_chem_ch1_002,1,1.1 What is Chemistry?,Understand,"In chemistry, what does determination of composition mean?",کیمیا میں ترکیب کے تعین سے کیا مراد ہے؟,Measuring only the colour of a sample / صرف نمونے کا رنگ ناپنا,Finding only the volume of a sample / صرف نمونے کا حجم معلوم کرنا,Changing a solid into a liquid / ٹھوس کو مائع میں تبدیل کرنا,Finding the percentages of elements and compounds in a sample / نمونے میں عناصر اور مرکبات کی فیصد معلوم کرنا,D | Finding the percentages of elements and compounds in a sample / نمونے میں عناصر اور مرکبات کی فیصد معلوم کرنا,Medium,1,ULTRA,1
q_9_chem_ch1_003,1,1.1 What is Chemistry?,Remember,What does the structure of matter mean?,مادّے کی ساخت سے کیا مراد ہے؟,Arrangement of atoms in matter / مادّے میں ایٹموں کی ترتیب,Colour of matter / مادّے کا رنگ,Mass of the container / برتن کی کمیت,Temperature of the room / کمرے کا درجہ حرارت,A | Arrangement of atoms in matter / مادّے میں ایٹموں کی ترتیب,Easy,1,ULTRA,1
q_9_chem_ch1_004,1,1.1 What is Chemistry?,Understand,Why is chemistry divided into many branches?,کیمیا کو بہت سی شاخوں میں کیوں تقسیم کیا گیا ہے؟,To remove experiments from chemistry / کیمیا سے تجربات ختم کرنے کے لیے,To study only gases / صرف گیسوں کا مطالعہ کرنے کے لیے,To focus on specific aspects of a vast and complex subject / ایک وسیع اور پیچیدہ مضمون کے مخصوص پہلوؤں پر توجہ دینے کے لیے,To avoid the study of matter / مادّے کے مطالعے سے بچنے کے لیے,C | To focus on specific aspects of a vast and complex subject / ایک وسیع اور پیچیدہ مضمون کے مخصوص پہلوؤں پر توجہ دینے کے لیے,Medium,1,PRO,1
q_9_chem_ch1_005,1,1.1 What is Chemistry?,Remember,Which branch investigates how substances behave at atomic and molecular levels?,کون سی شاخ ایٹمی اور سالماتی سطح پر مادّوں کے رویّے کا مطالعہ کرتی ہے؟,Geochemistry / ارضی کیمیا,Physical chemistry / طبعی کیمیا,Medicinal chemistry / ادویاتی کیمیا,Astrochemistry / فلکی کیمیا,B | Physical chemistry / طبعی کیمیا,Easy,1,PRO,1
q_9_chem_ch1_006,1,1.1 What is Chemistry?,Remember,Which branch studies compounds containing little or no carbon?,کون سی شاخ ایسے مرکبات کا مطالعہ کرتی ہے جن میں کاربن بہت کم یا بالکل نہ ہو؟,Inorganic chemistry / غیر نامیاتی کیمیا,Organic chemistry / نامیاتی کیمیا,Biochemistry / حیاتی کیمیا,Polymer chemistry / پولیمر کیمیا,A | Inorganic chemistry / غیر نامیاتی کیمیا,Easy,1,PRO,1
q_9_chem_ch1_007,1,1.1 What is Chemistry?,Remember,Which branch deals mainly with hydrocarbons and their derivatives?,کون سی شاخ بنیادی طور پر ہائیڈروکاربنز اور ان کے مشتقات سے متعلق ہے؟,Analytical chemistry / تجزیاتی کیمیا,Nuclear chemistry / نیوکلئیر کیمیا,Environmental chemistry / ماحولیاتی کیمیا,Organic chemistry / نامیاتی کیمیا,D | Organic chemistry / نامیاتی کیمیا,Easy,1,PRO,1
q_9_chem_ch1_008,1,1.1 What is Chemistry?,Remember,"Which branch studies sources, reactions, effects and fate of chemical species in air, soil and water?",کون سی شاخ ہوا، مٹی اور پانی میں کیمیائی انواع کے ذرائع، تعاملات، اثرات اور انجام کا مطالعہ کرتی ہے؟,Medicinal chemistry / ادویاتی کیمیا,Astrochemistry / فلکی کیمیا,Environmental chemistry / ماحولیاتی کیمیا,Polymer chemistry / پولیمر کیمیا,C | Environmental chemistry / ماحولیاتی کیمیا,Medium,1,PRO,1
q_9_chem_ch1_009,1,1.1 What is Chemistry?,Remember,"Which branch involves separation, identification and determination of concentration of components?",کون سی شاخ اجزاء کی علیحدگی، شناخت اور ارتکاز کے تعین سے متعلق ہے؟,Analytical chemistry / تجزیاتی کیمیا,Physical chemistry / طبعی کیمیا,Organic chemistry / نامیاتی کیمیا,Geochemistry / ارضی کیمیا,A | Analytical chemistry / تجزیاتی کیمیا,Easy,1,PRO,1
