question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch9_001,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Textbook Paragraph Translation,Topic,topic_separator,,,,,1
q_9_eng_ch9_lq_001,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Quality education is essential for the sustainable development of our world. It helps individuals gain the knowledge, skills, and values necessary for productive and fulfilling lives. It equips learners with the attitudes required to thrive in a rapidly changing world.",Medium,4,PRO,1
q_9_eng_ch9_lq_002,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
In Pakistan, quality education is essential for economic growth. It equips individuals with skills and knowledge necessary for the workforce. Mathematics, science, and technology develop critical thinking and problem-solving abilities that are in high demand in technology, healthcare, and engineering.",Medium,4,PRO,1
q_9_eng_ch9_lq_003,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Education is a powerful tool for empowerment. It provides literacy, numeracy, and digital literacy and lays the foundation for lifelong learning and socio-economic advancement. Educated individuals can participate actively in community development, social justice, and sustainable development.",Hard,4,PRO,1
q_9_eng_ch9_lq_004,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Quality education is a powerful tool for addressing socio-economic disparities. It provides equal opportunities regardless of background, gender, or ethnicity. By educating marginalised populations, it helps break the cycle of poverty, promotes social equity, and supports inclusive growth.",Hard,4,PRO,1
q_9_eng_ch9_lq_005,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Education promotes understanding, tolerance, and respect for diversity. It enables people to engage constructively in democratic processes and resolve conflicts peacefully. Inclusive schools bring diverse groups together and create a sense of belonging, shared purpose, and social cohesion.",Hard,4,PRO,1
q_9_eng_ch9_lq_006,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Quality education encourages creative and critical thinking. STEM education develops technical skills, curiosity, and a problem-solving mindset. Universities and colleges provide resources for research and development, leading to inventions, technologies, and new methods that drive innovation.",Hard,4,PRO,1
sep_9_eng_ch9_002,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Simple English Alternative,Topic,topic_separator,,,,,1
q_9_eng_ch9_lq_007,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Quality education is essential for the sustainable development of our world. It helps individuals gain the knowledge, skills, and values necessary for productive and fulfilling lives. It equips learners with the attitudes required to thrive in a rapidly changing world.",Medium,4,PRO,1
q_9_eng_ch9_lq_008,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
In Pakistan, quality education is essential for economic growth. It equips individuals with skills and knowledge necessary for the workforce. Mathematics, science, and technology develop critical thinking and problem-solving abilities that are in high demand in technology, healthcare, and engineering.",Medium,4,PRO,1
