question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Topic,,,,,,,,,,1
q_9_eng_ch3_001,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[bliss]].,a large number of people or things,happiness,thinking deeply,empty or unoccupied,B | happiness,Easy,1,PRO,1
q_9_eng_ch3_002,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[continuous]].,cheerful,the state of being alone,valleys,spreading in a line or over an area without spaces,D | spreading in a line or over an area without spaces,Easy,1,PRO,1
q_9_eng_ch3_003,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[fluttering]].,moving lightly and quickly,a band of light across the night sky formed by a huge number of stars,full of life and energy,walked slowly around,A | moving lightly and quickly,Easy,1,PRO,1
q_9_eng_ch3_004,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[host]].,thinking deeply,empty or unoccupied,a large number of people or things,happiness,C | a large number of people or things,Easy,1,PRO,1
q_9_eng_ch3_005,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[jocund]].,the state of being alone,valleys,cheerful,spreading in a line or over an area without spaces,C | cheerful,Easy,1,PRO,1
q_9_eng_ch3_006,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[milky way]].,a band of light across the night sky formed by a huge number of stars,full of life and energy,walked slowly around,moving lightly and quickly,A | a band of light across the night sky formed by a huge number of stars,Easy,1,PRO,1
q_9_eng_ch3_007,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[pensive]].,empty or unoccupied,happiness,a large number of people or things,thinking deeply,D | thinking deeply,Easy,1,PRO,1
q_9_eng_ch3_008,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[solitude]].,valleys,the state of being alone,spreading in a line or over an area without spaces,cheerful,B | the state of being alone,Medium,1,PRO,1
q_9_eng_ch3_009,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[sprightly]].,full of life and energy,walked slowly around,moving lightly and quickly,a band of light across the night sky formed by a huge number of stars,A | full of life and energy,Medium,1,PRO,1
q_9_eng_ch3_010,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[vacant]].,happiness,a large number of people or things,empty or unoccupied,thinking deeply,C | empty or unoccupied,Medium,1,PRO,1
q_9_eng_ch3_011,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[vales]].,spreading in a line or over an area without spaces,valleys,cheerful,the state of being alone,B | valleys,Medium,1,PRO,1
q_9_eng_ch3_012,1,ENGLISH_A | Unit 3 - Daffodils | Complete Glossary,Remember,Choose the correct meaning of [[wandered]].,moving lightly and quickly,a band of light across the night sky formed by a huge number of stars,full of life and energy,walked slowly around,D | walked slowly around,Medium,1,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 3 - Daffodils | Correct Spellings,Topic,,,,,,,,,,1
q_9_eng_ch3_013,1,ENGLISH_A | Unit 3 - Daffodils | Correct Spellings,Remember,Choose the correctly spelt word for this Unit 3 term: [[bliss]].,blis,blisse,blisss,bliss,D | bliss,Easy,1,ULTRA,1
q_9_eng_ch3_014,1,ENGLISH_A | Unit 3 - Daffodils | Correct Spellings,Remember,Choose the correctly spelt word for this Unit 3 term: [[continuous]].,continous,continuous,continious,contineous,B | continuous,Easy,1,ULTRA,1
q_9_eng_ch3_015,1,ENGLISH_A | Unit 3 - Daffodils | Correct Spellings,Remember,Choose the correctly spelt word for this Unit 3 term: [[fluttering]].,flutering,flutterring,fluttering,fluttring,C | fluttering,Easy,1,ULTRA,1
q_9_eng_ch3_016,1,ENGLISH_A | Unit 3 - Daffodils | Correct Spellings,Remember,Choose the correctly spelt word for this Unit 3 term: [[jocund]].,jocund,jocound,jocond,jokund,A | jocund,Easy,1,ULTRA,1
q_9_eng_ch3_017,1,ENGLISH_A | Unit 3 - Daffodils | Correct Spellings,Remember,Choose the correctly spelt word for this Unit 3 term: [[pensive]].,penssive,pensive,pensiv,pensivee,B | pensive,Easy,1,ULTRA,1
q_9_eng_ch3_018,1,ENGLISH_A | Unit 3 - Daffodils | Correct Spellings,Remember,Choose the correctly spelt word for this Unit 3 term: [[solitude]].,solitute,sollitude,solitood,solitude,D | solitude,Easy,1,ULTRA,1
q_9_eng_ch3_019,1,ENGLISH_A | Unit 3 - Daffodils | Correct Spellings,Remember,Choose the correctly spelt word for this Unit 3 term: [[sprightly]].,sprightly,sprightley,sprightlye,sprigtly,A | sprightly,Easy,1,ULTRA,1
