question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Topic,,,,,,,,,,1
q_9_eng_ch9_001,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[bedrock]].,a strong desire to know about something,"a strong base for something, especially the facts or principles on which it is based",completely necessary or extremely important,having the total cost or a mentioned cost contained in the price,"B | a strong base for something, especially the facts or principles on which it is based",Easy,1,PRO,1
q_9_eng_ch9_002,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[cohesion]].,to give special importance to something,"impressive, powerful, or very difficult",the ability to read and write,the act or state of keeping together,D | the act or state of keeping together,Easy,1,PRO,1
q_9_eng_ch9_003,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[conflict]].,a situation in which people or countries disagree strongly or are involved in a serious argument,"to increase or further improve the quality, value, or status of something",considering a whole thing as more than a collection of parts,relating to teaching methods,A | a situation in which people or countries disagree strongly or are involved in a serious argument,Easy,1,PRO,1
q_9_eng_ch9_004,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[crucial]].,to provide somebody or something with the things needed for a particular purpose,having the total cost or a mentioned cost contained in the price,extremely important because it will affect other things,"the state of being successful, especially in making money",C | extremely important because it will affect other things,Easy,1,PRO,1
q_9_eng_ch9_005,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[curiosity]].,completely necessary or extremely important,the ability to read and write,a strong desire to know about something,"a strong base for something, especially the facts or principles on which it is based",C | a strong desire to know about something,Easy,1,PRO,1
q_9_eng_ch9_006,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[emphasis]].,to give special importance to something,"impressive, powerful, or very difficult",relating to teaching methods,the act or state of keeping together,A | to give special importance to something,Easy,1,PRO,1
q_9_eng_ch9_007,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[enhance]].,considering a whole thing as more than a collection of parts,"the state of being successful, especially in making money",a situation in which people or countries disagree strongly or are involved in a serious argument,"to increase or further improve the quality, value, or status of something","D | to increase or further improve the quality, value, or status of something",Easy,1,PRO,1
q_9_eng_ch9_008,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[equip]].,having the total cost or a mentioned cost contained in the price,to provide somebody or something with the things needed for a particular purpose,"a strong base for something, especially the facts or principles on which it is based",extremely important because it will affect other things,B | to provide somebody or something with the things needed for a particular purpose,Medium,1,PRO,1
q_9_eng_ch9_009,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[essential]].,completely necessary or extremely important,the ability to read and write,the act or state of keeping together,a strong desire to know about something,A | completely necessary or extremely important,Medium,1,PRO,1
q_9_eng_ch9_010,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[formidable]].,relating to teaching methods,a situation in which people or countries disagree strongly or are involved in a serious argument,"impressive, powerful, or very difficult",to give special importance to something,"C | impressive, powerful, or very difficult",Medium,1,PRO,1
q_9_eng_ch9_011,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[holistic]].,"the state of being successful, especially in making money",considering a whole thing as more than a collection of parts,extremely important because it will affect other things,"to increase or further improve the quality, value, or status of something",B | considering a whole thing as more than a collection of parts,Medium,1,PRO,1
q_9_eng_ch9_012,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[inclusive]].,"a strong base for something, especially the facts or principles on which it is based",a strong desire to know about something,to provide somebody or something with the things needed for a particular purpose,having the total cost or a mentioned cost contained in the price,D | having the total cost or a mentioned cost contained in the price,Medium,1,PRO,1
q_9_eng_ch9_013,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[literacy]].,the act or state of keeping together,to give special importance to something,completely necessary or extremely important,the ability to read and write,D | the ability to read and write,Medium,1,PRO,1
q_9_eng_ch9_014,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Complete Glossary,Remember,Choose the correct meaning of [[pedagogical]].,a situation in which people or countries disagree strongly or are involved in a serious argument,relating to teaching methods,"to increase or further improve the quality, value, or status of something","impressive, powerful, or very difficult",B | relating to teaching methods,Medium,1,PRO,1
