question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.1 Blood and Its Components,Topic,,,,,,,,,,,1
q_10_bio_ch3_001,1,3.1 Blood and Its Components,Remember,Which three components make up the human blood circulatory system?,انسانی نظامِ دورانِ خون کے تین بنیادی اجزا کون سے ہیں؟,"Heart, lungs, and kidneys / دل، پھیپھڑے اور گردے","Blood, heart, and blood vessels / خون، دل اور خون کی نالیاں","Blood, lymph, and plasma / خون، لمف اور پلازما","Arteries, veins, and nerves / شریانیں، وریدیں اور اعصاب","B | Blood, heart, and blood vessels / خون، دل اور خون کی نالیاں",Easy,1,PRO,1
q_10_bio_ch3_002,1,3.1 Blood and Its Components,Understand,What is the main function of blood as a connective tissue?,رابطی بافت کے طور پر خون کا بنیادی کام کیا ہے؟,To produce digestive enzymes / ہاضم خامرے بنانا,To transport materials throughout the body / جسم میں مادّوں کی ترسیل کرنا,To transmit nerve impulses / اعصابی پیغامات منتقل کرنا,To store urine temporarily / پیشاب کو عارضی طور پر ذخیرہ کرنا,B | To transport materials throughout the body / جسم میں مادّوں کی ترسیل کرنا,Easy,1,ULTRA,1
q_10_bio_ch3_003,1,3.1 Blood and Its Components,Remember,Approximately how much blood is present in an adult human body?,ایک بالغ انسان کے جسم میں خون کی تقریباً مقدار کتنی ہوتی ہے؟,5 L / پانچ لیٹر,7 L / سات لیٹر,3 L / تین لیٹر,2 L / دو لیٹر,A | 5 L / پانچ لیٹر,Easy,1,IMPORTANT,1
TOPIC_SEP,1,3.1 Blood Plasma,Topic,,,,,,,,,,,1
q_10_bio_ch3_004,1,3.1 Blood Plasma,Remember,What percentage of blood is plasma?,خون کا کتنا فیصد حصہ پلازما پر مشتمل ہوتا ہے؟,91% / اکانوے فیصد,45% / پینتالیس فیصد,55% / پچپن فیصد,99.1% / ننانوے اعشاریہ ایک فیصد,C | 55% / پچپن فیصد,Easy,1,ULTRA,1
q_10_bio_ch3_005,1,3.1 Blood Plasma,Remember,What is the approximate water content of blood plasma?,خون کے پلازما میں پانی کی تقریباً مقدار کتنی ہوتی ہے؟,99-100% / ننانوے سے سو فیصد,90-92% / نوے سے بانوے فیصد,55-65% / پچپن سے پینسٹھ فیصد,45-55% / پینتالیس سے پچپن فیصد,B | 90-92% / نوے سے بانوے فیصد,Easy,1,ULTRA,1
q_10_bio_ch3_006,1,3.1 Blood Plasma,Remember,Which plasma protein is responsible for blood clotting?,خون جمنے کے عمل کا ذمہ دار پلازما پروٹین کون سا ہے؟,Fibrinogen / فائبرینوجن,Albumin / البومن,Antibody / اینٹی باڈی,Haemoglobin / ہیموگلوبن,A | Fibrinogen / فائبرینوجن,Easy,1,PRO,1
q_10_bio_ch3_007,1,3.1 Blood Plasma,Understand,Which plasma protein helps maintain the osmotic pressure of blood?,کون سا پلازما پروٹین خون کے اوسموٹک دباؤ کو برقرار رکھنے میں مدد دیتا ہے؟,Albumin / البومن,Fibrin / فائبرن,Antibody / اینٹی باڈی,Fibrinogen / فائبرینوجن,A | Albumin / البومن,Medium,1,ULTRA,1
q_10_bio_ch3_008,1,3.1 Blood Plasma,Understand,What remains when fibrinogen is removed from blood plasma?,خون کے پلازما سے فائبرینوجن نکالنے کے بعد کیا باقی رہتا ہے؟,Serum / سیرم,Lymph / لمف,Tissue fluid / بافتی سیال,Pus / پیپ,A | Serum / سیرم,Medium,1,PRO,1
