question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Pre-reading and While-reading Questions,topic_separator,,,,,1
q_9_eng_ch9_sq_001,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Pre-reading and While-reading Questions,while_reading,What do you understand by the term “Quality Education”?,Easy,2,PRO,1
q_9_eng_ch9_sq_002,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Pre-reading and While-reading Questions,while_reading,Why is quality education important for the development of a country?,Medium,2,PRO,1
q_9_eng_ch9_sq_003,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Pre-reading and While-reading Questions,while_reading,How does quality education empower individuals?,Medium,2,PRO,1
q_9_eng_ch9_sq_004,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Pre-reading and While-reading Questions,while_reading,What specific skills does education provide that help break the cycle of poverty?,Medium,2,PRO,1
q_9_eng_ch9_sq_005,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Pre-reading and While-reading Questions,while_reading,What issues undermine the effectiveness of education systems?,Medium,2,PRO,1
q_9_eng_ch9_sq_006,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Pre-reading and While-reading Questions,while_reading,What does STEM stand for?,Easy,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,topic_separator,,,,,1
q_9_eng_ch9_sq_007,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,exercise_direct,How has quality education been defined in the text?,Medium,2,PRO,1
q_9_eng_ch9_sq_008,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,exercise_direct,Name three benefits of quality education mentioned in the essay.,Easy,2,PRO,1
q_9_eng_ch9_sq_009,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,exercise_direct,Why is human capital development important for a country's economic growth and sustainable development?,Hard,2,PRO,1
q_9_eng_ch9_sq_010,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,exercise_direct,Describe the role of education in reducing inequality and poverty.,Medium,2,PRO,1
q_9_eng_ch9_sq_011,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,exercise_direct,How does quality education promote understanding and tolerance?,Medium,2,PRO,1
q_9_eng_ch9_sq_012,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,exercise_direct,How does teaching entrepreneurship in schools promote economic growth?,Medium,2,PRO,1
q_9_eng_ch9_sq_013,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,exercise_direct,Why is STEM education important for driving innovation?,Medium,2,PRO,1
q_9_eng_ch9_sq_014,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,exercise_direct,Suggest ways to improve the quality of education in your school or community.,Hard,2,ULTRA,1
q_9_eng_ch9_sq_015,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,evidence_based,"Identify two SDGs besides Goal 4 that can support quality education, and explain the relationship.",Hard,2,PRO,1
q_9_eng_ch9_sq_016,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,evidence_based,How does the eyewitness account present the facts and details of the education reforms?,Hard,2,PRO,1
q_9_eng_ch9_sq_017,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Reading and Critical Thinking,evidence_based,"What tone does the eyewitness writer use, and how does personal perspective influence the account?",Hard,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,topic_separator,,,,,1
q_9_eng_ch9_sq_018,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,How does quality education support sustainable development?,Medium,2,PRO,1
q_9_eng_ch9_sq_019,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,Why is investment in education especially important for Pakistan's young population?,Medium,2,PRO,1
q_9_eng_ch9_sq_020,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,How does quality education reduce unemployment and underemployment?,Medium,2,PRO,1
q_9_eng_ch9_sq_021,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,What is meant by human capital?,Easy,2,PRO,1
q_9_eng_ch9_sq_022,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,How does education promote gender equality?,Medium,2,PRO,1
q_9_eng_ch9_sq_023,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,How does inclusive education strengthen social cohesion?,Medium,2,PRO,1
q_9_eng_ch9_sq_024,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,How does education promote peaceful coexistence?,Medium,2,PRO,1
q_9_eng_ch9_sq_025,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,How does education create economic opportunities and reduce poverty?,Medium,2,PRO,1
q_9_eng_ch9_sq_026,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,How does education improve health outcomes?,Medium,2,ULTRA,1
q_9_eng_ch9_sq_027,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,What role do universities and colleges play in research and development?,Medium,2,PRO,1
q_9_eng_ch9_sq_028,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,Why are outdated curricula a challenge to quality education?,Medium,2,PRO,1
q_9_eng_ch9_sq_029,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,prose_short,Why is teacher professional development necessary?,Medium,2,PRO,1
q_9_eng_ch9_sq_030,1,ENGLISH_A | Unit 9 - Quality Education A Key to Success | Text-derived Board Questions,theme_message,State the central theme of “Quality Education: A Key to Success.”,Easy,2,PRO,1
