question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.2 Fundamental Concepts in Data Communication,topic_separator,,,,,,1
q_9_cs_ch3_sq_001,1,3.2 Fundamental Concepts in Data Communication,definition_function,Define data communication and state its main purpose.,data communication کی تعریف کریں اور اس کا بنیادی مقصد بیان کریں۔,Easy,2,PRO,1
q_9_cs_ch3_sq_002,1,3.2 Fundamental Concepts in Data Communication,list_state,Enlist the key components of data communication and state the role of any two.,data communication کے key components کی فہرست بنائیں اور کسی دو کا کردار بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch3_sq_003,1,3.2 Fundamental Concepts in Data Communication,list_state,Identify the required item or fact and state one related feature or function: What carries data from sender to receiver?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: sender سے receiver تک data کیا لے جاتا ہے؟,Easy,2,ULTRA,1
TOPIC_SEP,1,3.3 Networking Devices,topic_separator,,,,,,1
q_9_cs_ch3_sq_004,1,3.3 Networking Devices,function_purpose,State the role of a router in a computer network and mention one related function.,computer network میں router کا کردار بیان کریں اور ایک متعلقہ function لکھیں۔,Easy,2,PRO,1
q_9_cs_ch3_sq_005,1,3.3 Networking Devices,list_state,Identify the required item or fact and state one related feature or function: Which device connects multiple networks and directs data packets between them?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا device multiple networks کو connect کرتا اور data packets کو ان کے درمیان direct کرتا ہے؟,Easy,2,PRO,1
q_9_cs_ch3_sq_006,1,3.3 Networking Devices,function_purpose,State the required function or purpose and explain its importance: What is the main function of a switch?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: switch کا بنیادی function کیا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch3_sq_007,1,3.3 Networking Devices,function_purpose,State the required function or purpose and explain its importance: How does a hub generally handle incoming data?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: hub incoming data کو عموماً کیسے handle کرتا ہے؟,Medium,2,ELITE,1
q_9_cs_ch3_sq_008,1,3.3 Networking Devices,function_purpose,State the required function or purpose and explain its importance: What does a modem primarily do?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: modem بنیادی طور پر کیا کرتا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch3_sq_009,1,3.3 Networking Devices,function_purpose,State the required function or purpose and explain its importance: What is the purpose of a wireless access point?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: wireless access point کا purpose کیا ہے؟,Medium,2,ULTRA,1
TOPIC_SEP,1,3.6 The OSI Networking Model,topic_separator,,,,,,1
q_9_cs_ch3_sq_010,1,3.6 The OSI Networking Model,list_state,State the main functions of the Network Layer in the OSI model.,OSI model میں Network Layer کے بنیادی functions بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch3_sq_011,1,3.6 The OSI Networking Model,concept_explanation,"Explain the following and state one resulting effect, benefit, or application: How many layers are in the OSI model?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: OSI model میں کتنی layers ہیں؟,Medium,2,PRO,1
q_9_cs_ch3_sq_012,1,3.6 The OSI Networking Model,list_state,Identify the required item or fact and state one related feature or function: Which OSI layer is responsible for transmitting raw bits over the physical medium?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سی OSI layer physical medium پر raw bits transmit کرنے کی ذمہ دار ہے؟,Easy,2,ULTRA,1
q_9_cs_ch3_sq_013,1,3.6 The OSI Networking Model,list_state,Identify the required item or fact and state one related feature or function: Which OSI layer handles node-to-node transfer and error detection?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سی OSI layer node-to-node transfer اور error detection handle کرتی ہے؟,Easy,2,PRO,1
q_9_cs_ch3_sq_014,1,3.6 The OSI Networking Model,list_state,Identify the required item or fact and state one related feature or function: Which OSI layer is responsible for routing packets?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سی OSI layer packets کی routing کی ذمہ دار ہے؟,Easy,2,PRO,1
q_9_cs_ch3_sq_015,1,3.6 The OSI Networking Model,list_state,Identify the required item or fact and state one related feature or function: Which OSI layer provides reliable end-to-end data delivery?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سی OSI layer reliable end-to-end data delivery فراہم کرتی ہے؟,Easy,2,ULTRA,1
q_9_cs_ch3_sq_016,1,3.6 The OSI Networking Model,definition_example,"Define or identify the required concept and state one key feature, purpose, or example: Which layer manages communication sessions between applications?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: کون سی layer applications کے درمیان communication sessions manage کرتی ہے؟,Medium,2,ELITE,1
