question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_b_q7_book_001,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER A,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_001,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER A,Grammar,pair_of_words_item,"Advice, Advise",Medium,1,ELITE,1
q_10_eng_b_q7_book_002,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER A,Grammar,pair_of_words_item,"Affect, Effect",Medium,1,ELITE,1
q_10_eng_b_q7_book_003,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER A,Grammar,pair_of_words_item,"Alter, Altar",Medium,1,ELITE,1
q_10_eng_b_q7_book_004,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER A,Grammar,pair_of_words_item,"Altogether, All together",Medium,1,ELITE,1
q_10_eng_b_q7_book_005,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER A,Grammar,pair_of_words_item,"Angel, Angle",Medium,1,ELITE,1
sep_10_eng_b_q7_book_002,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER B,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_006,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER B,Grammar,pair_of_words_item,"Bale, Bail",Medium,1,ELITE,1
q_10_eng_b_q7_book_007,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER B,Grammar,pair_of_words_item,"Bare, Bear",Medium,1,ELITE,1
q_10_eng_b_q7_book_008,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER B,Grammar,pair_of_words_item,"Berth, Birth",Medium,1,ELITE,1
q_10_eng_b_q7_book_009,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER B,Grammar,pair_of_words_item,"Beside, Besides",Medium,1,ELITE,1
