question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_b_narration_top_001,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION,Topic,topic_separator,,,,,1
sep_10_eng_b_narration_section_001,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Topic,topic_separator,,,,,1
q_10_eng_b_narration_001,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He said to me, ""He does his duty.""",Easy,1,ELITE,1
q_10_eng_b_narration_002,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He says, ""I am going to college.""",Easy,1,ELITE,1
q_10_eng_b_narration_003,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He said to me, ""You are not a man of your word.""",Easy,1,ELITE,1
q_10_eng_b_narration_004,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"Yasmeen said, ""Subhan will come and meet me.""",Easy,1,ELITE,1
q_10_eng_b_narration_005,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He said to me, ""I shall visit you soon.""",Easy,1,ELITE,1
q_10_eng_b_narration_006,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He said, ""It was raining.""",Easy,1,ELITE,1
q_10_eng_b_narration_007,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He said, ""My friend left for Lahore.""",Easy,1,ELITE,1
q_10_eng_b_narration_008,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He says, ""My father is an engineer.""",Medium,1,ELITE,1
q_10_eng_b_narration_009,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He says, ""I am working hard.""",Medium,1,ELITE,1
q_10_eng_b_narration_010,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He says, ""I go to school regularly.""",Medium,1,ELITE,1
q_10_eng_b_narration_011,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"The father said, ""You are wasting your time.""",Medium,1,ELITE,1
q_10_eng_b_narration_012,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"He said, ""I enjoy my picnic with you.""",Medium,1,ELITE,1
q_10_eng_b_narration_013,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"Aqsa said, ""I have passed but you have failed.""",Medium,1,ELITE,1
q_10_eng_b_narration_014,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"They said, ""It has been raining since morning.""",Medium,1,ELITE,1
q_10_eng_b_narration_015,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"The teacher will say, ""You can sit with me.""",Medium,1,ELITE,1
q_10_eng_b_narration_016,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"You say to me, ""I shall give you a pen.""",Hard,1,ELITE,1
q_10_eng_b_narration_017,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"The principal said, ""You cannot go.""",Hard,1,ELITE,1
q_10_eng_b_narration_018,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"She said, ""You must go there in time.""",Hard,1,ELITE,1
q_10_eng_b_narration_019,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"She said, ""I will co-operate with my friends.""",Hard,1,ELITE,1
q_10_eng_b_narration_020,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | ASSERTIVE SENTENCES,Grammar,narration_assertive,"The teacher said, ""The earth is round.""",Hard,1,ELITE,1
sep_10_eng_b_narration_section_002,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Topic,topic_separator,,,,,1
q_10_eng_b_narration_021,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"The officer said, ""Have you done your duty?""",Easy,1,ELITE,1
q_10_eng_b_narration_022,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to me, ""Do you smile?""",Easy,1,ELITE,1
q_10_eng_b_narration_023,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to me, ""Are you ready to help me?""",Easy,1,ELITE,1
