question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch5_sq_001,,5.1 Work,define,Define work and write its mathematical formula and SI unit.,کام کی تعریف کریں اور اس کا ریاضیاتی فارمولا اور SI یونٹ لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_002,,5.1 Work,state,State the two essential elements required for work to be done on a body.,کسی جسم پر کام ہونے کے لیے ضروری دو بنیادی عناصر بیان کریں۔,Easy,2,high,
q_9_phy_ch5_sq_003,,5.1 Work,explain,Explain why no work is done when a force acts on a body but the body has no displacement.,وضاحت کریں کہ جب کسی جسم پر قوت لگے مگر جسم میں کوئی نقل مکانی نہ ہو تو کام کیوں نہیں ہوتا؟,Easy,2,high,
q_9_phy_ch5_sq_004,,5.1 Work,define,Define one joule of work and write its relation with newton and metre.,ایک جول کام کی تعریف کریں اور نیوٹن اور میٹر کے ساتھ اس کا تعلق لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_005,,5.1 Work,state,State what the area under a force-distance graph represents.,بیان کریں کہ قوت-فاصلہ گراف کے نیچے کا رقبہ کس چیز کو ظاہر کرتا ہے؟,Easy,2,medium,
q_9_phy_ch5_sq_006,,5.2 Energy,define,Define energy and write its SI unit.,توانائی کی تعریف کریں اور اس کا SI یونٹ لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_007,,5.2 Energy,list,List the two basic forms of energy and state what their combination is called.,توانائی کی دو بنیادی اقسام کے نام لکھیں اور بتائیں کہ ان دونوں کے مجموعے کو کیا کہتے ہیں۔,Easy,2,high,
q_9_phy_ch5_sq_008,,5.2 Energy,define,Define kinetic energy and write its formula.,حرکی توانائی کی تعریف کریں اور اس کا فارمولا لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_009,,5.2 Energy,define,Define potential energy and give two forms of potential energy.,ذخیرہ شدہ توانائی کی تعریف کریں اور اس کی دو اقسام لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_010,,5.2 Energy,state,Write the formula for gravitational potential energy of a body raised to a height h.,اونچائی h تک اٹھائے گئے جسم کی ثقلی ذخیرہ شدہ توانائی کا فارمولا لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_011,,5.3 Conservation of Energy,state,State the principle of conservation of energy.,توانائی کے بقائے توانائی کا اصول بیان کریں۔,Easy,2,high,
q_9_phy_ch5_sq_012,,5.4 Sources of Energy,define,Define fossil fuel energy and name three fossil fuels.,فوسل فیول توانائی کی تعریف کریں اور تین فوسل فیولز کے نام لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_013,,5.4 Sources of Energy,define,Define hydroelectric generation and state the energy source used in it.,ہائیڈرو الیکٹرک جنریشن کی تعریف کریں اور اس میں استعمال ہونے والے توانائی کے ذریعہ کو بیان کریں۔,Easy,2,high,
q_9_phy_ch5_sq_014,,5.4 Sources of Energy,define,Define solar energy and mention two common uses of solar energy.,شمسی توانائی کی تعریف کریں اور اس کے دو عام استعمالات لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_015,,5.4 Sources of Energy,define,Define nuclear energy and name two nuclear fuels used in power stations.,جوہری توانائی کی تعریف کریں اور پاور اسٹیشنز میں استعمال ہونے والے دو جوہری ایندھن کے نام لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_016,,5.4 Sources of Energy,define,Define wind energy and state the modern use of windmills.,ہوائی توانائی کی تعریف کریں اور ونڈ ملز کا جدید استعمال بیان کریں۔,Easy,2,medium,
q_9_phy_ch5_sq_017,,5.5 Renewable and Non-Renewable Sources,differentiate,Differentiate between renewable and non-renewable energy sources with one example of each.,قابل تجدید اور ناقابل تجدید توانائی کے ذرائع میں فرق کریں اور ہر ایک کی ایک مثال دیں۔,Easy,2,high,
q_9_phy_ch5_sq_018,,5.7 Power,define,Define power and write its formula and SI unit.,پاور کی تعریف کریں اور اس کا فارمولا اور SI یونٹ لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_019,,5.7 Power,state,State the meaning of one watt and write it in joule per second.,ایک واٹ کا مطلب بیان کریں اور اسے جول فی سیکنڈ میں لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_020,,5.8 Efficiency,define,Define efficiency of a working system and write the percentage efficiency formula.,کسی کام کرنے والے نظام کی افادیت کی تعریف کریں اور فیصد افادیت کا فارمولا لکھیں۔,Easy,2,high,
q_9_phy_ch5_sq_021,,5.1 Work,explain,Explain how work is calculated when a force acts at an angle θ with the direction of motion.,وضاحت کریں کہ جب قوت حرکت کی سمت کے ساتھ زاویہ θ بنائے تو کام کیسے معلوم کیا جاتا ہے؟,Medium,2,high,
q_9_phy_ch5_sq_022,,5.1 Work,explain,Why is the work done zero when a person carries a bag horizontally with an upward force?,جب کوئی شخص بیگ کو اوپر کی طرف قوت لگا کر افقی سمت میں لے جاتا ہے تو کام صفر کیوں ہوتا ہے؟,Medium,2,medium,
q_9_phy_ch5_sq_023,,5.1 Work,explain,Why is work considered a scalar quantity?,کام کو عددی مقدار کیوں سمجھا جاتا ہے؟,Medium,2,medium,
q_9_phy_ch5_sq_024,,5.1 Work,calculate,A person does 200 J of work in pushing a carton through a distance of 5 m. How much force is applied?,"درج ذیل صورت میں لگائی گئی قوت معلوم کریں: Work = 200 J, distance = 5 m",Medium,2,high,
q_9_phy_ch5_sq_025,,5.1 Work,calculate,Find the work done by a 65 N force in pulling a suitcase for a distance of 20 m at an angle of 30°.,"درج ذیل صورت میں کام معلوم کریں: F = 65 N, S = 20 m, θ = 30°",Medium,2,high,
q_9_phy_ch5_sq_026,,5.2 Energy,explain,Explain how doing work transfers energy from one system to another.,وضاحت کریں کہ کام کرنے سے توانائی ایک نظام سے دوسرے نظام میں کیسے منتقل ہوتی ہے؟,Medium,2,medium,
q_9_phy_ch5_sq_027,,5.2 Energy,derive,Find an expression for the kinetic energy of a moving body.,حرکت کرتے ہوئے جسم کی حرکی توانائی کا اظہار اخذ کریں۔,Medium,2,high,
q_9_phy_ch5_sq_028,,5.2 Energy,explain,Explain how elastic potential energy and chemical potential energy are different.,وضاحت کریں کہ لچکدار ذخیرہ شدہ توانائی اور کیمیائی ذخیرہ شدہ توانائی میں کیا فرق ہے؟,Medium,2,medium,
q_9_phy_ch5_sq_029,,5.2 Energy,calculate,A ball of mass 180 g is thrown vertically upward to a height of 12 m. Find the potential energy gained by the ball.,"درج ذیل صورت میں حاصل شدہ ذخیرہ شدہ توانائی معلوم کریں: m = 180 g, h = 12 m, g = 10 m s⁻²",Medium,2,high,
q_9_phy_ch5_sq_030,,5.3 Conservation of Energy,explain,Explain the energy changes in a freely falling body when air resistance is negligible.,جب ہوا کی مزاحمت نہ ہونے کے برابر ہو تو آزادانہ گرتے ہوئے جسم میں توانائی کی تبدیلیوں کی وضاحت کریں۔,Medium,2,high,
q_9_phy_ch5_sq_031,,5.3 Conservation of Energy,explain,Why does some energy appear as waste energy during an energy transfer process?,توانائی کی منتقلی کے عمل کے دوران کچھ توانائی ضائع شدہ توانائی کی صورت میں کیوں ظاہر ہوتی ہے؟,Medium,2,medium,
q_9_phy_ch5_sq_032,,5.4 Sources of Energy,describe,"Describe how electricity is generated from fossil fuels using steam, turbine and generator.",بھاپ، ٹربائن اور جنریٹر کی مدد سے فوسل فیولز سے بجلی پیدا کرنے کا طریقہ بیان کریں۔,Medium,2,high,
q_9_phy_ch5_sq_033,,5.4 Sources of Energy,describe,Describe how falling water is used to generate hydroelectric power.,بیان کریں کہ گرتے ہوئے پانی کو ہائیڈرو الیکٹرک پاور پیدا کرنے کے لیے کیسے استعمال کیا جاتا ہے؟,Medium,2,high,
q_9_phy_ch5_sq_034,,5.4 Sources of Energy,describe,Describe two methods by which solar energy can be used.,وہ دو طریقے بیان کریں جن کے ذریعے شمسی توانائی استعمال کی جا سکتی ہے۔,Medium,2,high,
