question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,9.0 Science and Classification of Sciences,,,,,,,,1
q_9_phy_ch9_lq_001,,9.0 Science and Classification of Sciences,Long,describe,"Describe science as collective knowledge about natural phenomena, processes and events, and explain why the study of nature was divided into biological sciences and physical sciences.",سائنس کو قدرتی مظاہر، عملوں اور واقعات کے اجتماعی علم کے طور پر بیان کریں اور وضاحت کریں کہ فطرت کے مطالعے کو حیاتیاتی علوم اور طبیعی علوم میں کیوں تقسیم کیا گیا۔,Medium,5,high,
q_9_phy_ch9_lq_002,,9.0 Science and Classification of Sciences,Long,state_and_explain,State the two main groups of science and explain the place of physics among physical sciences.,سائنس کے دو بڑے گروہ بیان کریں اور طبیعی علوم میں طبیعیات کا مقام واضح کریں۔,Easy,5,high,
,1,9.1 Scope of Physics,,,,,,,,1
q_9_phy_ch9_lq_003,,9.1 Scope of Physics,Long,explain,"Explain the scope of physics with reference to matter, energy, space, time and their mutual relationships.",مادہ، توانائی، فضا، وقت اور ان کے باہمی تعلقات کے حوالے سے طبیعیات کے دائرۂ کار کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch9_lq_004,,9.1 Scope of Physics,Long,describe,Describe how physics studies the universe from subatomic particles to stars and galaxies.,بیان کریں کہ طبیعیات زیرِ ایٹمی ذرات سے لے کر ستاروں اور کہکشاؤں تک کائنات کا مطالعہ کیسے کرتی ہے۔,Medium,5,high,
q_9_phy_ch9_lq_005,,9.1 Scope of Physics,Long,explain,"Explain how space and time are treated in physics, including the idea of the fourth dimension and time dilation.",وضاحت کریں کہ طبیعیات میں فضا اور وقت کو کیسے سمجھا جاتا ہے، چوتھی جہت اور وقت کے پھیلاؤ کے تصور سمیت۔,Hard,5,high,
q_9_phy_ch9_lq_006,,9.1 Scope of Physics,Long,elaborate,Elaborate how relativity and quantum mechanics show the broad scope of physics.,تفصیل سے بیان کریں کہ اضافیت اور کوانٹم میکانیات طبیعیات کے وسیع دائرۂ کار کو کیسے ظاہر کرتی ہیں۔,Hard,5,high,
,1,9.2 Branches of Physics,,,,,,,,1
q_9_phy_ch9_lq_007,,9.2 Branches of Physics,Long,describe,Describe the main branches of physics and briefly state the area studied by each branch.,طبیعیات کی اہم شاخوں کو بیان کریں اور ہر شاخ کے مطالعے کے علاقے کو مختصر طور پر لکھیں۔,Medium,5,high,
q_9_phy_ch9_lq_008,,9.2 Branches of Physics,Long,compare,"Compare mechanics, heat and thermodynamics, acoustics and optics in terms of their subject matter.",میکانیات، حرارت و حرکیاتِ حرارت، صوتیات اور بصریات کا ان کے موضوعِ مطالعہ کے لحاظ سے موازنہ کریں۔,Medium,5,high,
q_9_phy_ch9_lq_009,,9.2 Branches of Physics,Long,compare,"Compare electromagnetism, quantum mechanics, relativistic mechanics, nuclear physics and particle physics with suitable examples.",برقی مقناطیسیت، کوانٹم میکانیات، اضافی میکانیات، نیوکلیائی طبیعیات اور ذرّاتی طبیعیات کا مناسب مثالوں کے ساتھ موازنہ کریں۔,Hard,5,high,
q_9_phy_ch9_lq_010,,9.2 Branches of Physics,Long,describe,"Describe astronomy, cosmology and solid state physics as branches of physics.",فلکیات، کونیات اور ٹھوس حالت کی طبیعیات کو طبیعیات کی شاخوں کے طور پر بیان کریں۔,Medium,5,high,
,1,9.3 Interdisciplinary Nature of Physics,,,,,,,,1
