question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch3_lq_001,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Topic,topic_separator,,,,,1
q_10_eng_ch3_lq_001,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
In the 21st century, the world has witnessed a rapid expansion of digital technologies and global connectivity. This phenomenon, often referred to as digital globalisation, has not only transformed economies and cultures but also left a significant mark on languages, most notably, English.",Medium,8,ELITE,1
q_10_eng_ch3_lq_002,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Once the language of a few nations, English has become the dominant medium of digital communication, education, entertainment, and commerce. However, as English spreads across borders through digital platforms, it evolves in fascinating and sometimes controversial ways.",Medium,8,ELITE,1
q_10_eng_ch3_lq_003,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
One of the most obvious effects of digital globalisation on English is the explosion of new vocabulary. The internet has given rise to hundreds of neologisms, newly coined words, that are now commonly used in everyday communication.",Medium,8,ELITE,1
q_10_eng_ch3_lq_004,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Words like “hashtag,” “selfie,” “unfriend,” and “meme” were either invented or popularized through social media platforms. Additionally, abbreviations such as “LOL,” “BTW,” and “DM” have become an integral part of digital language.",Medium,8,ELITE,1
q_10_eng_ch3_lq_005,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Another major shift involves the blending of English with other languages and local expressions. Since English is often used as a global lingua franca, a bridge language between speakers of different native tongues, it absorbs words and phrases from a wide range of cultures.",Medium,8,ELITE,1
q_10_eng_ch3_lq_006,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
In online spaces, it is common to see people mix English with their native languages; a practice called code-switching. This has resulted in hybrid dialects like “Taglish” and “Singlish,” showcasing the linguistic flexibility digital globalisation has encouraged.",Medium,8,ELITE,1
q_10_eng_ch3_lq_007,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Grammar, too, has not been left untouched. While traditional grammar rules still apply in formal writing, the rise of texting, tweeting and chatting has created a more relaxed approach to sentence structure and punctuation.",Medium,8,ELITE,1
q_10_eng_ch3_lq_008,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Furthermore, emoji use has added a visual element to language, sometimes replacing words entirely. A heart emoji or a fire symbol can now carry complex emotional meanings, acting like modern-day hieroglyphs.",Medium,8,ULTRA,1
q_10_eng_ch3_lq_009,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Digital globalisation has also influenced how English is spoken. Pronunciation and intonation are being shaped by global media, especially YouTube. Accents are slowly blending, and new speech patterns are emerging, especially among younger generations.",Medium,8,ELITE,1
q_10_eng_ch3_lq_010,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Because English is the default language on most digital platforms, non-native speakers often feel pressured to adopt it in order to access information, participate in conversations, or gain job opportunities.",Medium,8,ELITE,1
q_10_eng_ch3_lq_011,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Despite these concerns, the influence of digital globalisation on English is not entirely negative. In fact, it has created a more inclusive and diverse linguistic landscape. New forms of English reflect the voices of people from different cultural and linguistic backgrounds.",Medium,8,ELITE,1
q_10_eng_ch3_lq_012,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The digital globalisation has had a profound impact on the English language. It has expanded vocabulary, loosened grammar rules, and introduced hybrid forms of communication that reflect global diversity. While there are concerns about the loss of linguistic purity and the dominance of English over other languages, the overall effect is one of growth, change, and adaptation.",Medium,8,ELITE,1
sep_10_eng_ch3_lq_002,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Rewrite in Simple English,Topic,topic_separator,,,,,1
q_10_eng_ch3_lq_013,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
In the 21st century, the world has witnessed a rapid expansion of digital technologies and global connectivity. This phenomenon, often referred to as digital globalisation, has not only transformed economies and cultures but also left a significant mark on languages, most notably, English.",Medium,8,ELITE,1
q_10_eng_ch3_lq_014,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Once the language of a few nations, English has become the dominant medium of digital communication, education, entertainment, and commerce. However, as English spreads across borders through digital platforms, it evolves in fascinating and sometimes controversial ways.",Medium,8,ELITE,1
q_10_eng_ch3_lq_015,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
One of the most obvious effects of digital globalisation on English is the explosion of new vocabulary. The internet has given rise to hundreds of neologisms, newly coined words, that are now commonly used in everyday communication.",Medium,8,ELITE,1
q_10_eng_ch3_lq_016,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Words like “hashtag,” “selfie,” “unfriend,” and “meme” were either invented or popularized through social media platforms. Additionally, abbreviations such as “LOL,” “BTW,” and “DM” have become an integral part of digital language.",Medium,8,ELITE,1
