question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch4_sq_001,,4.1 Like and Unlike Parallel Forces,define,Define like and unlike parallel forces and give one example of each.,لائک اور اَن لائک متوازی قوتوں کی تعریف کریں اور ہر ایک کی ایک مثال دیں۔,Easy,2,high,
q_9_phy_ch4_sq_002,,4.1 Like and Unlike Parallel Forces,explain,Explain why forces acting in the same direction are called like parallel forces.,وضاحت کریں کہ ایک ہی سمت میں عمل کرنے والی قوتوں کو لائک متوازی قوتیں کیوں کہا جاتا ہے۔,Easy,2,medium,
q_9_phy_ch4_sq_003,,4.1 Like and Unlike Parallel Forces,differentiate,Differentiate between like parallel forces and unlike parallel forces using their directions.,لائک متوازی قوتوں اور اَن لائک متوازی قوتوں میں ان کی سمتوں کی بنیاد پر فرق بیان کریں۔,Medium,2,high,
q_9_phy_ch4_sq_004,,4.2 Addition of Forces,explain,Explain how two or more force vectors can be added by the head-to-tail rule.,وضاحت کریں کہ دو یا زیادہ قوتی ویکٹرز کو ہیڈ ٹو ٹیل قاعدے سے کیسے جمع کیا جا سکتا ہے۔,Medium,2,high,
q_9_phy_ch4_sq_005,,4.2 Addition of Forces,state,State what is meant by resultant force and give its relation with the sum of forces.,رزلٹنٹ قوت سے کیا مراد ہے؟ اس کا قوتوں کے مجموعے سے تعلق بیان کریں۔,Easy,2,high,
q_9_phy_ch4_sq_006,,4.2 Addition of Forces,apply,Why is the resultant of vector addition the same for any order of addition?,ویکٹرز کو کسی بھی ترتیب سے جمع کرنے پر رزلٹنٹ ایک جیسا کیوں رہتا ہے؟,Hard,2,medium,
q_9_phy_ch4_sq_007,,4.2 Addition of Forces,explain,Explain the graphical method used to find the resultant of three forces acting in a plane.,ایک ہی سطح میں عمل کرنے والی تین قوتوں کا رزلٹنٹ معلوم کرنے کا گرافی طریقہ بیان کریں۔,Medium,2,medium,
q_9_phy_ch4_sq_008,,4.3 Turning Effect of a Force,explain,Explain the turning effect of a force with the example of opening a door or a water tap.,دروازہ یا پانی کا نل کھولنے کی مثال سے قوت کے گردشی اثر کی وضاحت کریں۔,Easy,2,high,
q_9_phy_ch4_sq_009,,4.3 Turning Effect of a Force,define,Define rigid body and explain what remains unchanged in it under the action of a force.,رِجڈ باڈی کی تعریف کریں اور بتائیں کہ قوت کے عمل کے باوجود اس میں کیا چیز برقرار رہتی ہے۔,Easy,2,medium,
q_9_phy_ch4_sq_010,,4.3 Turning Effect of a Force,define,Define axis of rotation and give its role during rotation of a rigid body.,محورِ گردش کی تعریف کریں اور رِجڈ باڈی کی گردش میں اس کا کردار بیان کریں۔,Easy,2,medium,
