question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | While-reading Questions,topic_separator,,,,,0
q_9_eng_ch5_sq_001,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | While-reading Questions,while_reading,What role are women entrepreneurs playing in modern-day Pakistan?,Easy,2,PRO,0
q_9_eng_ch5_sq_002,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | While-reading Questions,while_reading,What challenges do women entrepreneurs face in Pakistan?,Easy,2,PRO,0
q_9_eng_ch5_sq_003,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | While-reading Questions,while_reading,How do support systems such as microfinance and mentorship assist women entrepreneurs?,Medium,2,PRO,0
q_9_eng_ch5_sq_004,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | While-reading Questions,while_reading,Which industries are popular among women entrepreneurs in Pakistan?,Easy,2,PRO,0
q_9_eng_ch5_sq_005,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | While-reading Questions,while_reading,What wider benefits does women's entrepreneurship bring to society?,Easy,2,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,topic_separator,,,,,0
q_9_eng_ch5_sq_006,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,exercise_direct,"What qualities made Hazrat Khadija a successful entrepreneur in a male-dominated society, and how can modern women apply them?",Medium,2,PRO,0
q_9_eng_ch5_sq_007,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,exercise_direct,"How does the growth of women-led businesses contribute to economic development and job creation, especially in rural areas?",Medium,2,PRO,0
q_9_eng_ch5_sq_008,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,exercise_direct,Why are mentorship and networking critical for women entrepreneurs?,Medium,2,PRO,0
q_9_eng_ch5_sq_009,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,exercise_direct,What role does e-commerce play in overcoming mobility and societal barriers?,Medium,2,PRO,0
q_9_eng_ch5_sq_010,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,exercise_direct,How does the success of women entrepreneurs inspire future generations?,Medium,2,PRO,0
q_9_eng_ch5_sq_011,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,exercise_direct,"What impact does women's entrepreneurship have on community development, education, and healthcare?",Medium,2,PRO,0
q_9_eng_ch5_sq_012,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,exercise_direct,"How do financial barriers affect women entrepreneurs, and what can improve equitable financial opportunities?",Medium,2,PRO,0
q_9_eng_ch5_sq_013,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Reading and Critical Thinking,exercise_direct,How does women's participation in entrepreneurship challenge stereotypes and promote gender equality?,Medium,2,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,topic_separator,,,,,0
q_9_eng_ch5_sq_014,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,How does entrepreneurship offer women more than financial independence?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_015,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,Why is Hazrat Khadija presented as a symbol of empowerment?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_016,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,What common cultural expectations create barriers for women entrepreneurs?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_017,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,Why is limited access to support networks a serious obstacle?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_018,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,How do women entrepreneurs contribute to economic growth?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_019,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,How do women entrepreneurs support future generations?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_020,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,How does community-focused entrepreneurship improve quality of life?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_021,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,What strategies are women entrepreneurs using to overcome barriers?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_022,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,prose_short,What role do government and non-government organisations play?,Medium,2,ULTRA,0
q_9_eng_ch5_sq_023,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Text-derived Board Questions,theme_message,State the central theme of the unit.,Medium,2,ULTRA,0
