question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch5_001,1,5.1 System and Surroundings,Topic,topic_separator,,,,,,1
q_9_chem_ch5_lq_001,1,5.1 System and Surroundings,Long,state_and_explain,Answer the following related questions about System and Surroundings: (a) Define a system in energetics and state one related characteristic or function. | (b) Define or describe the surroundings of a system and state one related characteristic.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) انرجیٹکس میں نظام سے مراد بیان کریں۔؟ | (ب) نظام کے گرد و پیش سے مراد بیان کریں۔ ایک متعلقہ خصوصیت بھی بیان کریں۔؟,Easy,5,PRO,1
q_9_chem_ch5_lq_002,1,5.1 System and Surroundings,Long,cause_effect,"Answer the following related questions about System and Surroundings: (a) If heat flows from the system to the surroundings, what happens to the surroundings? | (b) Why is the boundary between a system and surroundings useful?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) اگر حرارت نظام سے گرد و پیش میں جائے تو گرد و پیش کے ساتھ کیا ہوتا ہے؟ | (ب) نظام اور گرد و پیش کے درمیان حد بندی کیوں مفید ہے؟,Medium,5,ULTRA,1
sep_9_chem_ch5_002,1,5.2 Enthalpy and Enthalpy Change,Topic,topic_separator,,,,,,1
q_9_chem_ch5_lq_003,1,5.2 Enthalpy and Enthalpy Change,Long,cause_effect,"Answer the following related questions about Enthalpy and Enthalpy Change: (a) State what enthalpy represents. | (b) Write the symbol that is used for enthalpy Also, Write the symbol that represents enthalpy change. | (c) Why can the absolute enthalpy of a system not be measured directly?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) اینٹھالپی کیا ظاہر کرتی ہے؟ | (ب) اینٹھالپی کے لیے کون سی علامت استعمال ہوتی ہے۔ نیز، اینٹھالپی کی تبدیلی کو کون سی علامت ظاہر کرتی ہے۔؟ | (ج) نظام کی مطلق اینٹھالپی براہِ راست کیوں نہیں ناپی جا سکتی؟,Medium,5,PRO,1
q_9_chem_ch5_lq_004,1,5.2 Enthalpy and Enthalpy Change,Long,state_and_explain,"Answer the following related questions about Enthalpy and Enthalpy Change: (a) Define standard enthalpy change of a reaction and state one related characteristic or function. | (b) What does a negative value of ΔH indicate? Also, What does a positive value of ΔH indicate?.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تعامل کی معیاری اینٹھالپی تبدیلی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) ΔH کی منفی قدر کیا ظاہر کرتی ہے۔ نیز، ΔH کی مثبت قدر کیا ظاہر کرتی ہے۔؟,Easy,5,ULTRA,1
sep_9_chem_ch5_003,1,5.3 Exothermic and Endothermic Reactions,Topic,topic_separator,,,,,,1
q_9_chem_ch5_lq_005,1,5.3 Exothermic and Endothermic Reactions,Long,cause_effect,Answer the following related questions about Exothermic and Endothermic Reactions: (a) Define an exothermic reaction and state one related characteristic or function. | (b) Define an endothermic reaction and state one related characteristic or function. | (c) How does the temperature of the surroundings usually change during an exothermic reaction?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) حرارت خارج کرنے والا تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) حرارت جذب کرنے والا تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ج) حرارت خارج کرنے والے تعامل کے دوران گرد و پیش کا درجہ حرارت عموماً کیسے بدلتا ہے؟,Medium,5,PRO,1
q_9_chem_ch5_lq_006,1,5.3 Exothermic and Endothermic Reactions,Long,cause_effect,"Answer the following related questions about Exothermic and Endothermic Reactions: (a) How does the temperature of the surroundings usually change during an endothermic reaction? | (b) When NaOH and HCl are mixed and the temperature rises, how should the reaction be classified? | (c) State whether the following statement is correct and justify the response: Is melting of ice exothermic or endothermic.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) حرارت جذب کرنے والے تعامل کے دوران گرد و پیش کا درجہ حرارت عموماً کیسے بدلتا ہے؟ | (ب) NaOH اور HCl ملانے پر درجہ حرارت بڑھ جائے تو تعامل کی درجہ بندی کیا ہوگی؟ | (ج) برف کا پگھلنا حرارت خارج کرنے والا ہے یا جذب کرنے والا؟,Medium,5,ULTRA,1
q_9_chem_ch5_lq_007,1,5.3 Exothermic and Endothermic Reactions,Long,process_procedure,Answer the following related questions about Exothermic and Endothermic Reactions: (a) State whether the following statement is correct and justify the response: Is condensation of water vapour exothermic or endothermic. | (b) Why is bond breaking an endothermic process? | (c) Why is bond formation an exothermic process?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) آبی بخارات کا تکاثف حرارت خارج کرنے والا ہے یا جذب کرنے والا؟ | (ب) بند توڑنا حرارت جذب کرنے والا عمل کیوں ہے؟ | (ج) بند بننا حرارت خارج کرنے والا عمل کیوں ہے؟,Hard,5,ELITE,1
sep_9_chem_ch5_004,1,5.4 Activation Energy and Transition State,Topic,topic_separator,,,,,,1
q_9_chem_ch5_lq_008,1,5.4 Activation Energy and Transition State,Long,state_and_explain,Answer the following related questions about Activation Energy and Transition State: (a) Define activation energy and state one related characteristic or function. | (b) Define the transition state and state one related characteristic or function. | (c) Explain what happens when reacting particles collide with insufficient energy.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) فعالی توانائی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) عبوری حالت کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ج) اگر تعامل کرنے والے ذرّات ناکافی توانائی سے ٹکرائیں تو کیا ہوتا ہے؟,Medium,5,PRO,1
q_9_chem_ch5_lq_009,1,5.4 Activation Energy and Transition State,Long,compare,"Answer the following related questions about Activation Energy and Transition State: (a) State what an energy profile diagram shows. | (b) In an exothermic energy profile, how do product and reactant energies compare?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) توانائی پروفائل خاکہ کیا دکھاتا ہے؟ | (ب) حرارت خارج کرنے والے توانائی پروفائل میں حاصل اور عامل مادّوں کی توانائی کا موازنہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Medium,5,ULTRA,1
q_9_chem_ch5_lq_010,1,5.4 Activation Energy and Transition State,Long,compare,"Answer the following related questions about Activation Energy and Transition State: (a) In an endothermic energy profile, how do product and reactant energies compare? | (b) Why does the conversion of diamond to graphite not occur readily even though ΔH is negative?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) حرارت جذب کرنے والے توانائی پروفائل میں حاصل اور عامل مادّوں کی توانائی کا موازنہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) اگرچہ ΔH منفی ہے پھر بھی ہیرے کا گریفائٹ میں تبدیل ہونا آسانی سے کیوں نہیں ہوتا؟,Medium,5,ELITE,1
sep_9_chem_ch5_005,1,5.5 Catalysts,Topic,topic_separator,,,,,,1
q_9_chem_ch5_lq_011,1,5.5 Catalysts,Long,cause_effect,Answer the following related questions about Catalysts: (a) How does a catalyst increase reaction rate? | (b) State whether the following statement is correct and justify the response: Does a catalyst change the enthalpy change of a reaction.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) عمل انگیز تعامل کی رفتار کیسے بڑھاتا ہے؟ | (ب) کیا عمل انگیز تعامل کی اینٹھالپی تبدیلی بدلتا ہے؟,Medium,5,PRO,1
q_9_chem_ch5_lq_012,1,5.5 Catalysts,Long,state_and_explain,Answer the following related questions about Catalysts: (a) Explain what happens to the transition-state energy in the presence of a catalyst. | (b) Two reactions have the same ΔH but different activation energies. Which one is faster at the same temperature?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) عمل انگیز کی موجودگی میں عبوری حالت کی توانائی کے ساتھ کیا ہوتا ہے؟ | (ب) دو تعاملات کا ΔH یکساں مگر فعالی توانائیاں مختلف ہیں۔ ایک ہی درجہ حرارت پر کون سا تیز ہوگا؟,Easy,5,ULTRA,1
sep_9_chem_ch5_006,1,5.5 Aerobic and Anaerobic Respiration,Topic,topic_separator,,,,,,1
q_9_chem_ch5_lq_013,1,5.5 Aerobic and Anaerobic Respiration,Long,state_and_explain,Answer the following related questions about Aerobic and Anaerobic Respiration: (a) Define aerobic respiration and state one related characteristic or function. | (b) Define or describe the main products of aerobic respiration and state one related characteristic. | (c) Define anaerobic respiration and state one related characteristic or function.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ہوائی تنفس کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) ہوائی تنفس کے بنیادی حاصل مادّے کی تعریف یا وضاحت کریں۔؟ | (ج) بے ہوائی تنفس کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Medium,5,PRO,1
