question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b5_short_001,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | قسم کے احکام و مسائل,textbook_exercise_direct,قسم کا معنی و مفہوم لکھیں۔,Medium,2,ELITE,1
q_9_isl_b5_short_002,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | قسم کے احکام و مسائل,textbook_exercise_direct,قسم کی اقسام لکھیں۔,Medium,2,ELITE,1
q_9_isl_b5_short_003,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | قسم کے احکام و مسائل,textbook_exercise_direct,جھوٹی قسم کے کوئی سے دو نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_004,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | گواہی کے احکام و مسائل,textbook_exercise_direct,قرآن و سنت کی روشنی میں گواہی کی فرضیت و اہمیت بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_005,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | گواہی کے احکام و مسائل,textbook_exercise_direct,سچی شہادت اور جھوٹی شہادت کی وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_006,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | گواہی کے احکام و مسائل,textbook_exercise_direct,جھوٹی گواہی دینے اور گواہی چھپانے کی وعید بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_007,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | گواہی کے احکام و مسائل,textbook_exercise_direct,سچی اور جھوٹی گواہی کے کوئی سے دو اثرات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_008,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | ہمسایوں کے حقوق,textbook_exercise_direct,ہمسایوں کے دو حقوق بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_009,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | ہمسایوں کے حقوق,textbook_exercise_direct,ہمسایوں کے حقوق ادا کرنے کے دو معاشرتی اثرات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_010,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | ہمسایوں کے حقوق,textbook_exercise_direct,ہمسایوں کے ساتھ بدسلوکی کے کوئی سے دو دینی و اخروی نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_011,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,قرآن و سنت کی روشنی میں سود کی حرمت کے احکام بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_012,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,سود کے دو دینی و اخروی نقصانات اپنے الفاظ میں بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_013,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,سود کے کوئی سے چار معاشرتی نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_014,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,سود کی ممانعت کی حکمت کو واضح کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_015,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,قرآن و سنت کی روشنی میں اسلامی ریاست کے اغراض و مقاصد بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_016,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,اسلامی ریاست میں غیر مسلموں کو دیے گئے حقوق میں سے کوئی سے تین حقوق بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_017,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,اسلامی ریاست کی نمایاں خصوصیات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_018,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,اسلامی ریاست کا بہترین نظام ریاست مدینہ ہے۔ وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_019,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,اسلامی ریاست کی طرف سے افواج اور ان کے سپہ سالاروں کو کون سی ہدایات جاری کی جاتی تھیں؟ وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_020,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,textbook_exercise_direct,قرآن و سنت کی روشنی میں جہاد فی سبیل اللہ کی ضرورت و اہمیت بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_021,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,textbook_exercise_direct,جہاد کی فضیلت پر ایک حدیث مبارک کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_9_isl_b5_short_022,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,textbook_exercise_direct,پیغام پاکستان کے بارے میں آپ کیا جانتے ہیں؟ وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b5_short_023,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,extra_important_practice,یمین منعقدہ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_024,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,extra_important_practice,یمین لغو سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_025,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,extra_important_practice,یمین غموس سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_026,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,extra_important_practice,قسم کا کفارہ کن صورتوں میں ادا کیا جاتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_027,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,extra_important_practice,قسم کے کفارے کی کوئی دو صورتیں لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b5_short_028,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,extra_important_practice,اللہ کے سوا کسی اور کی قسم کھانے کے بارے میں اسلامی تعلیم کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_029,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,extra_important_practice,جھوٹی قسم معاشرتی اعتماد کو کیسے نقصان پہنچاتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_030,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,extra_important_practice,قسم کو کثرت سے استعمال کرنے سے کیوں بچنا چاہیے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_031,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,extra_important_practice,شہادت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_032,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,extra_important_practice,سچی گواہی عدل کے قیام میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_033,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,extra_important_practice,جھوٹی گواہی کو بڑا گناہ کیوں کہا گیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_034,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,extra_important_practice,گواہی چھپانے کے دو نقصانات لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b5_short_035,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,extra_important_practice,گواہ کے لیے دیانت داری کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_036,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,extra_important_practice,گواہی اور حقوق العباد میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_037,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,extra_important_practice,عدالتی نظام میں سچی شہادت کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b5_short_038,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,extra_important_practice,جھوٹی شہادت معاشرتی فساد کا سبب کیسے بنتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_039,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,extra_important_practice,حقوق العباد سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_040,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,extra_important_practice,قرآن مجید میں ہمسایوں کی کتنی اقسام بیان ہوئی ہیں؟,Medium,2,ULTRA,1
q_9_isl_b5_short_041,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,extra_important_practice,حضرت جبرائیلؑ نے حق ہمسایہ کے بارے میں کیا تاکید کی؟,Medium,2,ULTRA,1
q_9_isl_b5_short_042,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,extra_important_practice,بیمار ہمسائے کے ساتھ کیا سلوک کرنا چاہیے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_043,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,extra_important_practice,ہمسائے کی خوشی اور غم میں شرکت کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b5_short_044,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,extra_important_practice,ہمسائے کی عزت و آبرو کی حفاظت کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_045,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,extra_important_practice,اچھا ہمسایہ معاشرتی امن میں کیسے مدد دیتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_046,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,extra_important_practice,ہمسائے کے ساتھ بدسلوکی کے دو معاشرتی نقصانات لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b5_short_047,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_practice,ربا سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_048,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_practice,قرآن مجید میں تجارت اور سود کے بارے میں کیا فرق بیان ہوا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_049,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_practice,قرض حسنہ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_050,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_practice,سود محنت کے جذبے کو کیسے کم کرتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_051,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_practice,سودی نظام معاشی ناہمواری کیسے پیدا کرتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_052,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_practice,سود سے دولت چند ہاتھوں میں کیوں سمٹتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_053,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_practice,قرض حسنہ معاشرتی تعاون میں کیسے مدد دیتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_054,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_practice,سود کے مقابل اسلامی معاشی رویہ کیا ہونا چاہیے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_055,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,اسلامی ریاست کے تین بنیادی ادارے لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b5_short_056,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,مقننہ کا بنیادی کام کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_057,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,انتظامیہ کا بنیادی کام کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_058,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,عدلیہ کا بنیادی کام کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_059,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,ریاست مدینہ کی دو نمایاں خصوصیات لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b5_short_060,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,اسلامی ریاست میں قانون کی بالادستی کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_061,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,اسلامی ریاست غیر مسلم شہریوں کے حقوق کی حفاظت کیسے کرتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_062,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,اسلامی ریاست میں حاکم کی جواب دہی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_063,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_practice,اسلامی ریاست کا بنیادی مقصد عدل و انصاف کیوں ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_064,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_practice,جہاد کا لغوی مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b5_short_065,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_practice,جہاد اور قتال میں کیا فرق ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_066,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_practice,جہاد بالمال سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_067,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_practice,جہاد باللسان سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_068,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_practice,جہاد بالقلم سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b5_short_069,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_practice,اسلام میں دہشت گردی کو جہاد کیوں نہیں کہا جا سکتا؟,Medium,2,ULTRA,1
