question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,6.1 Data,Topic,,,,,,,,,,,1
q_9_cs_ch6_001,1,6.1 Data,Remember,What is data?,data کیا ہے؟,A final decision with no supporting facts / ایسا حتمی فیصلہ جس کے ساتھ supporting facts نہ ہوں,Raw facts that can be processed into useful information / خام حقائق جنہیں process کرکے مفید information بنایا جا سکتا ہے,Only a computer program / صرف ایک computer program,A type of network cable / network cable کی ایک قسم,B | Raw facts that can be processed into useful information / خام حقائق جنہیں process کرکے مفید information بنایا جا سکتا ہے,Easy,1,PRO,1
q_9_cs_ch6_002,1,6.1 Data,Remember,Which of the following can be a form of data?,درج ذیل میں سے کون data کی ایک form ہو سکتی ہے؟,Only printed numbers / صرف printed numbers,Only spoken words / صرف spoken words,Only computer passwords / صرف computer passwords,"Numbers, words, images, and sounds / numbers، words، images اور sounds","D | Numbers, words, images, and sounds / numbers، words، images اور sounds",Easy,1,ULTRA,1
TOPIC_SEP,1,6.2 Data Types,Topic,,,,,,,,,,,1
q_9_cs_ch6_003,1,6.2 Data Types,Remember,Into which two broad categories is data divided?,data کو کن دو broad categories میں divide کیا جاتا ہے؟,Qualitative and quantitative / qualitative اور quantitative,Local and global / local اور global,Input and output / input اور output,Analog and network / analog اور network,A | Qualitative and quantitative / qualitative اور quantitative,Easy,1,PRO,1
q_9_cs_ch6_004,1,6.2 Data Types,Remember,Which feature best describes qualitative data?,کون سی feature qualitative data کو بہترین طور پر describe کرتی ہے؟,It is always measured with an instrument / یہ ہمیشہ instrument سے measure ہوتی ہے,It contains only percentages / اس میں صرف percentages ہوتی ہیں,It is non-numeric and descriptive / یہ non-numeric اور descriptive ہوتی ہے,It can only be stored in a database / یہ صرف database میں store ہو سکتی ہے,C | It is non-numeric and descriptive / یہ non-numeric اور descriptive ہوتی ہے,Easy,1,PRO,1
q_9_cs_ch6_005,1,6.2 Data Types,Understand,Which example represents qualitative data?,کون سی example qualitative data represent کرتی ہے؟,Heights of students / students کی heights,Test scores / test scores,Names of students / students کے names,Number of cars / cars کی number,C | Names of students / students کے names,Easy,1,ULTRA,1
q_9_cs_ch6_006,1,6.2 Data Types,Remember,Which characteristic belongs to quantitative data?,کون سی characteristic quantitative data سے تعلق رکھتی ہے؟,It is numerical and measurable / یہ numerical اور measurable ہوتی ہے,It is only descriptive / یہ صرف descriptive ہوتی ہے,It cannot be counted / اسے count نہیں کیا جا سکتا,It cannot be used in arithmetic / اسے arithmetic میں استعمال نہیں کیا جا سکتا,A | It is numerical and measurable / یہ numerical اور measurable ہوتی ہے,Easy,1,PRO,1
q_9_cs_ch6_007,1,6.2 Data Types,Apply,Which tool is used in the textbook example to measure temperature?,textbook example میں temperature measure کرنے کے لیے کون سا tool استعمال ہوتا ہے؟,Ruler / ruler,Survey form / survey form,Bar chart / bar chart,Thermometer / thermometer,D | Thermometer / thermometer,Easy,1,ELITE,1
q_9_cs_ch6_008,1,6.2 Data Types,Understand,Why can quantitative data be used in arithmetic operations?,quantitative data کو arithmetic operations میں کیوں استعمال کیا جا سکتا ہے؟,Because it contains only labels / کیونکہ اس میں صرف labels ہوتے ہیں,Because it is expressed as measurable numbers / کیونکہ یہ measurable numbers کی صورت میں express ہوتی ہے,Because it is always an image / کیونکہ یہ ہمیشہ image ہوتی ہے,Because it has no values / کیونکہ اس کی کوئی values نہیں ہوتیں,B | Because it is expressed as measurable numbers / کیونکہ یہ measurable numbers کی صورت میں express ہوتی ہے,Medium,1,ULTRA,1
TOPIC_SEP,1,6.3 Organising and Analysing Data,Topic,,,,,,,,,,,1
q_9_cs_ch6_009,1,6.3 Organising and Analysing Data,Understand,What is a major benefit of organising data systematically?,data کو systematically organise کرنے کا major benefit کیا ہے؟,It removes the need for analysis / یہ analysis کی ضرورت ختم کرتی ہے,It reduces errors and improves interpretation / یہ errors کم اور interpretation بہتر کرتی ہے,It converts all data into images / یہ تمام data کو images میں convert کرتی ہے,It guarantees every conclusion is correct / یہ ہر conclusion کے correct ہونے کی guarantee دیتی ہے,B | It reduces errors and improves interpretation / یہ errors کم اور interpretation بہتر کرتی ہے,Medium,1,PRO,1
