question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_q8_past_001,1,ENGLISH_B | Q8 Alternate | Past Paper Important Topics | Verified Archive 2013-2023 | 5 Marks,Topic,topic_separator,,,,,1
q_9_eng_q8_past_001,1,"ENGLISH_B | Q8 Alternate | Past Paper | Fashion | 2013, 2014 Evening, 2015, 2022 Evening, 2023",Long,paragraph,Write ten sentences on “Fashion”.,Medium,5,ELITE,1
q_9_eng_q8_past_002,1,ENGLISH_B | Q8 Alternate | Past Paper | Girl Guide | 2016,Long,paragraph,Write ten sentences on “Girl Guide”.,Medium,5,PRO,1
q_9_eng_q8_past_003,1,"ENGLISH_B | Q8 Alternate | Past Paper | A Road Accident | 2016 Evening, 2021 Evening",Long,paragraph,Write ten sentences on “A Road Accident”.,Medium,5,ULTRA,1
q_9_eng_q8_past_004,1,ENGLISH_B | Q8 Alternate | Past Paper | A Dream | 2015 Evening,Long,paragraph,Write ten sentences on “A Dream”.,Medium,5,PRO,1
q_9_eng_q8_past_005,1,ENGLISH_B | Q8 Alternate | Past Paper | A River in Flood | 2017 Evening,Long,paragraph,Write ten sentences on “A River in Flood”.,Medium,5,PRO,1
q_9_eng_q8_past_006,1,ENGLISH_B | Q8 Alternate | Past Paper | My School | 2018,Long,paragraph,Write ten sentences on “My School”.,Medium,5,PRO,1
q_9_eng_q8_past_007,1,ENGLISH_B | Q8 Alternate | Past Paper | A Visit to a Museum | 2018 Evening,Long,paragraph,Write ten sentences on “A Visit to a Museum”.,Medium,5,PRO,1
q_9_eng_q8_past_008,1,"ENGLISH_B | Q8 Alternate | Past Paper | Pakistani Women | 2020, 2023 Evening",Long,paragraph,Write ten sentences on “Pakistani Women”.,Medium,5,ULTRA,1
q_9_eng_q8_past_009,1,ENGLISH_B | Q8 Alternate | Past Paper | A Meena Bazaar | 2020 Evening,Long,paragraph,Write ten sentences on “A Meena Bazaar”.,Medium,5,PRO,1
sep_9_eng_q8_practice_001,1,ENGLISH_B | Q8 Alternate | Mind-Sharp Board-Style Practice | 5 Marks,Topic,topic_separator,,,,,1
q_9_eng_q8_alt_001,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | How to Keep Our Town Clean,Long,paragraph,Write ten sentences on “How to Keep Our Town Clean”.,Medium,5,ELITE,1
q_9_eng_q8_alt_002,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | The Importance of Education,Long,paragraph,Write ten sentences on “The Importance of Education”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_003,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | The Value of Time,Long,paragraph,Write ten sentences on “The Value of Time”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_004,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | My Best Friend,Long,paragraph,Write ten sentences on “My Best Friend”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_005,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | A Visit to a Historical Place,Long,paragraph,Write ten sentences on “A Visit to a Historical Place”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_006,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | The Importance of Trees,Long,paragraph,Write ten sentences on “The Importance of Trees”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_007,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | Road Safety,Long,paragraph,Write ten sentences on “Road Safety”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_008,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | A Healthy Lifestyle,Long,paragraph,Write ten sentences on “A Healthy Lifestyle”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_009,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | The Uses of the Internet,Long,paragraph,Write ten sentences on “The Uses of the Internet”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_010,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | My School Library,Long,paragraph,Write ten sentences on “My School Library”.,Medium,5,ULTRA,1
q_9_eng_q8_alt_011,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | Patriotism,Long,paragraph,Write ten sentences on “Patriotism”.,Medium,5,PRO,1
q_9_eng_q8_alt_012,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | The Importance of Punctuality,Long,paragraph,Write ten sentences on “The Importance of Punctuality”.,Medium,5,PRO,1
q_9_eng_q8_alt_013,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | Water Conservation,Long,paragraph,Write ten sentences on “Water Conservation”.,Medium,5,PRO,1
q_9_eng_q8_alt_014,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | The Benefits of Exercise,Long,paragraph,Write ten sentences on “The Benefits of Exercise”.,Medium,5,PRO,1
q_9_eng_q8_alt_015,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | A Rainy Day,Long,paragraph,Write ten sentences on “A Rainy Day”.,Medium,5,PRO,1
q_9_eng_q8_alt_016,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | Life in a Village,Long,paragraph,Write ten sentences on “Life in a Village”.,Medium,5,PRO,1
q_9_eng_q8_alt_017,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | Life in a Big City,Long,paragraph,Write ten sentences on “Life in a Big City”.,Medium,5,PRO,1
q_9_eng_q8_alt_018,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | The Importance of Discipline,Long,paragraph,Write ten sentences on “The Importance of Discipline”.,Medium,5,PRO,1
q_9_eng_q8_alt_019,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | Helping the Poor,Long,paragraph,Write ten sentences on “Helping the Poor”.,Medium,5,PRO,1
q_9_eng_q8_alt_020,1,ENGLISH_B | Q8 Alternate | Ten-Sentence Paragraph | My Aim in Life,Long,paragraph,Write ten sentences on “My Aim in Life”.,Medium,5,PRO,1
