question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_math_ch6_001,1,6.1 Rectangular Coordinate Plane,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_001,1,6.1 Rectangular Coordinate Plane,Long,diagram_based,"Explain the rectangular coordinate plane, axes, origin, quadrants, ordered pairs, and the meaning of x-coordinate and y-coordinate with a labelled diagram.",rectangular coordinate plane، axes، origin، quadrants، ordered pairs، اور x-coordinate و y-coordinate کے meaning کی labelled diagram کے ساتھ وضاحت کریں۔,Medium,5,PRO,1
sep_10_math_ch6_002,1,6.2 Scalars and Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_002,1,6.2 Scalars and Vectors,Long,compare,Differentiate between scalar and vector quantities. Give textbook-supported examples and explain why direction is essential for a vector.,scalar اور vector quantities کے درمیان فرق بیان کریں۔ textbook-supported examples دیں اور explain کریں کہ vector کے لیے direction کیوں essential ہے۔,Easy,5,ULTRA,1
sep_10_math_ch6_003,1,6.2.1 Representation of a Vector,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_003,1,6.2.1 Representation of a Vector,Long,explain,"Explain the representation of a vector as a directed line segment, including initial point, terminal point, equal vectors, negative vectors, and the zero vector.",vector کی directed line segment کے طور پر representation کی وضاحت کریں، including initial point، terminal point، equal vectors، negative vectors اور zero vector۔,Medium,5,PRO,1
sep_10_math_ch6_004,1,6.2.2–6.2.3 Coordinates and Position Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_004,1,6.2.2–6.2.3 Coordinates and Position Vectors,Long,derive,"Explain the coordinate representation of vectors and derive the position vector of P(x, y) with respect to the origin using the unit vectors i and j.","vectors کی coordinate representation کی وضاحت کریں اور unit vectors i اور j استعمال کرتے ہوئے origin کے respect سے P(x, y) کا position vector اخذ کریں۔",Medium,5,PRO,1
sep_10_math_ch6_005,1,6.2.4 Magnitude of a Vector,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_005,1,6.2.4 Magnitude of a Vector,Long,derive,"Derive the magnitude formula for the vector joining P(x₁, y₁) and Q(x₂, y₂) by using the Pythagorean theorem. Also state the formula for the magnitude of a position vector.","Pythagorean theorem استعمال کرتے ہوئے P(x₁, y₁) اور Q(x₂, y₂) کو join کرنے والے vector کی magnitude formula اخذ کریں۔ position vector کی magnitude کا formula بھی بیان کریں۔",Hard,5,PRO,1
sep_10_math_ch6_006,1,6.2.5 Scalar Multiplication and Parallel Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_006,1,6.2.5 Scalar Multiplication and Parallel Vectors,Long,explain,Explain scalar multiplication of a vector and discuss how the sign and magnitude of the scalar affect direction and length. State the condition for two non-zero vectors to be parallel.,vector کی scalar multiplication کی وضاحت کریں اور discuss کریں کہ scalar کی sign اور magnitude direction اور length کو کیسے affect کرتی ہیں۔ two non-zero vectors کے parallel ہونے کی condition بیان کریں۔,Medium,5,PRO,1
sep_10_math_ch6_007,1,6.2.6 Unit Vector,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_007,1,6.2.6 Unit Vector,Long,derive,Define a unit vector and derive the expression for a unit vector in the direction of a non-zero vector. Explain why the zero vector cannot have a unit vector.,unit vector کی تعریف کریں اور non-zero vector کی direction میں unit vector کا expression اخذ کریں۔ explain کریں کہ zero vector کا unit vector کیوں نہیں ہو سکتا۔,Medium,5,ULTRA,1
sep_10_math_ch6_008,1,6.3 Addition of Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_008,1,6.3 Addition of Vectors,Long,diagram_based,State and explain the triangle law and parallelogram law of vector addition with labelled diagrams.,vector addition کے triangle law اور parallelogram law کو labelled diagrams کے ساتھ state اور explain کریں۔,Medium,5,PRO,1
sep_10_math_ch6_009,1,6.4 Difference of Two Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_009,1,6.4 Difference of Two Vectors,Long,explain,Explain vector subtraction as addition of the negative vector and derive the component form of a − b.,vector subtraction کو negative vector کی addition کے طور پر explain کریں اور a − b کی component form اخذ کریں۔,Medium,5,ULTRA,1
sep_10_math_ch6_010,1,6.5 Vector in Terms of Two Coplanar Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_010,1,6.5 Vector in Terms of Two Coplanar Vectors,Long,derive,"Explain and derive how a vector c in the plane of two non-zero, non-parallel coplanar vectors a and b can be expressed as c = ma + nb.",explain اور derive کریں کہ two non-zero، non-parallel coplanar vectors a اور b کے plane میں vector c کو c = ma + nb کی form میں کیسے express کیا جاتا ہے۔,Hard,5,PRO,1
sep_10_math_ch6_011,1,6.6 Translation by a Vector,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_011,1,6.6 Translation by a Vector,Long,process_procedure,Define translation by a vector and explain how the coordinates of every point of a figure change under the translation vector ai + bj. Discuss congruence of the image and original figure.,translation by a vector کی تعریف کریں اور explain کریں کہ translation vector ai + bj کے تحت figure کے ہر point کے coordinates کیسے change ہوتے ہیں۔ image اور original figure کی congruence پر بھی بحث کریں۔,Medium,5,PRO,1
sep_10_math_ch6_012,1,6.7 Geometrical Applications of Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_012,1,6.7 Geometrical Applications of Vectors,Long,application_case,Explain how vectors are used to test whether a triangle is isosceles and whether four points form a parallelogram. State the vector and magnitude conditions used.,وضاحت کریں کہ vectors استعمال کرتے ہوئے triangle کے isosceles ہونے اور four points کے parallelogram بنانے کو کیسے test کیا جاتا ہے۔ استعمال ہونے والی vector اور magnitude conditions بیان کریں۔,Hard,5,PRO,1
sep_10_math_ch6_013,1,6.7 Motion and Relative Velocity Applications,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_013,1,6.7 Motion and Relative Velocity Applications,Long,application_case,"Discuss the use of vector components in projectile motion, relative velocity, crosswind navigation, and change of velocity. Explain how resultant magnitude is interpreted.",projectile motion، relative velocity، crosswind navigation اور change of velocity میں vector components کے use پر بحث کریں۔ resultant magnitude کی interpretation واضح کریں۔,Hard,5,ELITE,1
sep_10_math_ch6_014,1,Exercise 6.3 — Parallelogram Proofs,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_014,1,Exercise 6.3 — Parallelogram Proofs,Long,derive,Use vectors to prove that the given quadrilaterals are parallelograms by showing that opposite sides are equal and parallel.,vectors استعمال کرتے ہوئے ثابت کریں کہ given quadrilaterals parallelograms ہیں، by showing that opposite sides equal اور parallel ہیں۔,Hard,5,PRO,1
sep_10_math_ch6_015,1,Exercise 6.3 — Isosceles Triangle Proofs,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_015,1,Exercise 6.3 — Isosceles Triangle Proofs,Long,derive,Use vector magnitudes to prove that the given triangles are isosceles.,vector magnitudes استعمال کرتے ہوئے ثابت کریں کہ given triangles isosceles ہیں۔,Medium,5,PRO,1
sep_10_math_ch6_016,1,6.1 Coordinate Plane — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_016,1,6.1 Coordinate Plane — Solved Examples,Numerical,find,"Read the coordinates of points A, B, and D from the given coordinate diagram.",given coordinate diagram سے points A، B اور D کے coordinates معلوم کریں۔,Easy,4,ULTRA,1
sep_10_math_ch6_017,1,6.2.4 Magnitude — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_017,1,6.2.4 Magnitude — Solved Examples,Numerical,calculate,"For P(2, 4) and Q(−5, 3), express PQ in the form xi + yj and calculate its magnitude.","P(2, 4) اور Q(−5, 3) کے لیے PQ کو xi + yj کی form میں express کریں اور اس کی magnitude calculate کریں۔",Medium,4,ULTRA,1
sep_10_math_ch6_018,1,6.2.5–6.2.6 Scalar and Unit Vectors — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_018,1,6.2.5–6.2.6 Scalar and Unit Vectors — Solved Examples,Numerical,determine,"Solve the worked problems involving a = 3b, verification of parallel vectors, and the unit vector in the direction of −5i + 2j.",a = 3b، parallel vectors کی verification، اور −5i + 2j کی direction میں unit vector سے متعلق worked problems حل کریں۔,Medium,4,PRO,1
sep_10_math_ch6_019,1,6.3–6.5 Vector Operations — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_019,1,6.3–6.5 Vector Operations — Solved Examples,Numerical,evaluate,"For the worked vectors, calculate a + b, a − b, and the vector components of 3a + 4b.",worked vectors کے لیے a + b، a − b، اور 3a + 4b کے vector components calculate کریں۔,Medium,4,ULTRA,1
sep_10_math_ch6_020,1,6.6 Translation — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_020,1,6.6 Translation — Solved Examples,Numerical,evaluate,"Plot triangle ABC with A(−4, 2), B(−1, 2), and C(−3, 4), then translate it by the vector 7i + 2j.","A(−4, 2)، B(−1, 2) اور C(−3, 4) کے ساتھ triangle ABC plot کریں، پھر اسے vector 7i + 2j سے translate کریں۔",Medium,4,PRO,1
sep_10_math_ch6_021,1,6.7 Geometrical Applications — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_021,1,6.7 Geometrical Applications — Solved Examples,Numerical,determine,"Use vectors to determine whether A(1, 2), B(4, 6), C(7, 2) form an isosceles triangle and whether A(1, 2), B(4, 6), C(7, 4), D(4, 0) form a parallelogram.","vectors استعمال کرتے ہوئے determine کریں کہ A(1, 2)، B(4, 6)، C(7, 2) isosceles triangle بناتے ہیں یا نہیں، اور A(1, 2)، B(4, 6)، C(7, 4)، D(4, 0) parallelogram بناتے ہیں یا نہیں۔",Hard,4,PRO,1
sep_10_math_ch6_022,1,6.7 Motion Applications — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_022,1,6.7 Motion Applications — Solved Examples,Numerical,calculate,Solve the worked projectile-time problem for initial velocity 12i + 16j and the relative-velocity problem for a shell and moving target.,initial velocity 12i + 16j والے projectile-time problem اور shell و moving target کے relative-velocity problem کو حل کریں۔,Hard,4,PRO,1
sep_10_math_ch6_023,1,Exercise 6.1 — Coordinates and Basic Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_023,1,Exercise 6.1 — Coordinates and Basic Vectors,Numerical,determine,"Complete the listed tasks involving quadrants, plotting points, identifying tails and tips, and writing vectors AB in component form.",quadrants، plotting points، tails اور tips identify کرنے، اور vectors AB کو component form میں لکھنے والے listed tasks مکمل کریں۔,Medium,4,PRO,1
sep_10_math_ch6_024,1,Exercise 6.1 — Magnitude and Unit Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_024,1,Exercise 6.1 — Magnitude and Unit Vectors,Numerical,calculate,Calculate the magnitudes of the three listed vectors and find unit vectors in the directions of the four listed vectors.,three listed vectors کی magnitudes calculate کریں اور four listed vectors کی directions میں unit vectors معلوم کریں۔,Medium,4,PRO,1
sep_10_math_ch6_025,1,Exercise 6.1 — Parallel and Scalar-Multiple Vectors,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_025,1,Exercise 6.1 — Parallel and Scalar-Multiple Vectors,Numerical,determine,"Find the requested unit vectors parallel to the given combinations, identify parallel vector pairs, and determine vectors with specified multiple magnitudes and directions.",given combinations کے parallel requested unit vectors معلوم کریں، parallel vector pairs identify کریں، اور specified multiple magnitudes و directions والے vectors determine کریں۔,Hard,4,PRO,1
sep_10_math_ch6_026,1,Exercise 6.2 — Vector Operations,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_026,1,Exercise 6.2 — Vector Operations,Numerical,evaluate,"For the given vectors a, b, and c, calculate all listed sums, differences, scalar combinations, and magnitudes.",given vectors a، b اور c کے لیے all listed sums، differences، scalar combinations اور magnitudes calculate کریں۔,Hard,4,PRO,1
sep_10_math_ch6_027,1,Exercise 6.2 — Unknown Components and Decomposition,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_027,1,Exercise 6.2 — Unknown Components and Decomposition,Numerical,determine,"Determine x and y in the listed vector equations, find |b| from a + 2b = c, and determine m and n in the decomposition of 5i − 3j.",listed vector equations میں x اور y determine کریں، a + 2b = c سے |b| معلوم کریں، اور 5i − 3j کی decomposition میں m اور n determine کریں۔,Hard,4,PRO,1
sep_10_math_ch6_028,1,Exercise 6.3 — Translation,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_028,1,Exercise 6.3 — Translation,Numerical,evaluate,"Plot and translate the given triangle, square, and kite by the stated translation vectors.",given triangle، square اور kite کو plot کریں اور stated translation vectors سے translate کریں۔,Hard,4,PRO,1
sep_10_math_ch6_029,1,Exercise 6.3 — Vector Geometry,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_029,1,Exercise 6.3 — Vector Geometry,Numerical,determine,Find the missing vertex of a parallelogram and solve the listed vector-geometry verification problems for opposite sides and triangle side lengths.,parallelogram کا missing vertex معلوم کریں اور opposite sides اور triangle side lengths سے متعلق listed vector-geometry verification problems حل کریں۔,Hard,4,PRO,1
sep_10_math_ch6_030,1,Exercise 6.3 — Projectile and Navigation,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_030,1,Exercise 6.3 — Projectile and Navigation,Numerical,calculate,"Solve the listed applications involving projectile maximum height and range, change in velocity in a loop, and resultant aeroplane velocity in a crosswind.",projectile maximum height اور range، loop میں change in velocity، اور crosswind میں aeroplane کی resultant velocity سے متعلق listed applications حل کریں۔,Hard,4,PRO,1
sep_10_math_ch6_031,1,Review Exercise 6 — Vector Computations,Topic,topic_separator,,,,,,1
q_10_math_ch6_lq_031,1,Review Exercise 6 — Vector Computations,Numerical,evaluate,"Calculate the listed vector magnitudes, unit vector, vector combinations, and unknown components.",listed vector magnitudes، unit vector، vector combinations اور unknown components calculate کریں۔,Hard,4,PRO,1
sep_10_math_ch6_032,1,Review Exercise 6 — Translation and Geometry,Topic,topic_separator,,,,,,1
