question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,topic_separator,,,,,1
q_9_eng_ch1_sq_001,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,while_reading,Describe the condition of Arabia and mankind before the advent of Islam.,Medium,2,ULTRA,1
q_9_eng_ch1_sq_002,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,while_reading,How did Islam transform the lives of the people?,Medium,2,ULTRA,1
q_9_eng_ch1_sq_003,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,while_reading,Who is the last Rasool of Allah Almighty?,Easy,2,PRO,1
q_9_eng_ch1_sq_004,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,while_reading,What kind of fair was held at Ukaz every year?,Easy,2,PRO,1
q_9_eng_ch1_sq_005,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,while_reading,At what age did Hazrat Muhammad ﷺ begin spending time in solitude and meditation in the cave of Hira?,Easy,2,PRO,1
q_9_eng_ch1_sq_006,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,while_reading,To whom did the pagan Arabs send a delegation to stop the Rasoolullah ﷺ from preaching?,Easy,2,PRO,1
q_9_eng_ch1_sq_007,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,while_reading,What did Michael H. Hart say about the historical influence of the Rasoolullah ﷺ?,Medium,2,ULTRA,1
TOPIC_SEP,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,topic_separator,,,,,1
q_9_eng_ch1_sq_008,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,exercise_direct,How might the geographical description of Makkah Mukarramah influence the reader's understanding of its historical and cultural importance?,Hard,2,PRO,1
q_9_eng_ch1_sq_009,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,exercise_direct,What does the emphasis on the Arabs' memory and eloquence suggest about their culture before Islam?,Medium,2,PRO,1
q_9_eng_ch1_sq_010,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,exercise_direct,What is the importance of the anecdote about Hammad and Caliph Walid bin Yazid?,Medium,2,PRO,1
q_9_eng_ch1_sq_011,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,comparison,What parallels can be drawn between the state of civilization described in the lesson and other historical periods of decline and renewal?,Hard,2,ULTRA,1
q_9_eng_ch1_sq_012,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,exercise_direct,What challenges did the Rasoolullah ﷺ face in proclaiming the Oneness of Allah Almighty and the unity of mankind?,Medium,2,PRO,1
q_9_eng_ch1_sq_013,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,exercise_direct,In what ways did the Rasoolullah ﷺ elevate mankind to a higher level in spiritual and worldly domains?,Medium,2,PRO,1
q_9_eng_ch1_sq_014,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,exercise_direct,How do Quran 33:45-46 describe the role and mission of the Rasoolullah ﷺ?,Medium,2,PRO,1
q_9_eng_ch1_sq_015,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,evidence_based,How does the author view the pre-Islamic Arabs? Give examples and evidence from the lesson.,Hard,2,PRO,1
q_9_eng_ch1_sq_016,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,main_idea,What is the main idea of paragraph 5 of the lesson?,Medium,2,ULTRA,1
q_9_eng_ch1_sq_017,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Reading and Critical Thinking,supporting_details,What details support the main idea of paragraph 5?,Medium,2,ULTRA,1
TOPIC_SEP,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,topic_separator,,,,,1
