question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,topic_separator,,,,,1
q_9_eng_ch11_sq_001,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,What do the actions and words of Mrs. Slater and Mrs. Jordan reveal about their true motivations? How do these motivations affect their behaviour?,Hard,4,PRO,1
q_9_eng_ch11_sq_002,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the conflict over Mr. Merryweather's possessions drive the plot and reveal the characters' values?,Hard,4,PRO,1
q_9_eng_ch11_sq_003,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does Stanley Houghton use satire to criticise family dynamics and social values in the play?,Hard,4,PRO,1
q_9_eng_ch11_sq_004,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the play challenge the traditional idea of family unity and affection when material wealth is involved?,Hard,4,PRO,1
q_9_eng_ch11_sq_005,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,"What role does the clock on the mantelpiece play, and what can it symbolise?",Medium,4,PRO,1
q_9_eng_ch11_sq_006,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,"How does Victoria differ from the adults, and what does her perspective reveal about their behaviour?",Medium,4,PRO,1
q_9_eng_ch11_sq_007,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Give examples showing that the characters' words contradict their actions.,Hard,4,PRO,1
q_9_eng_ch11_sq_008,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the single living-room setting affect the characters' interactions and the development of conflict?,Hard,4,PRO,1
q_9_eng_ch11_sq_009,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the sequence of events build tension and gradually reveal the characters' true motives?,Hard,4,PRO,1
q_9_eng_ch11_sq_010,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Why do the themes of “The Dear Departed” remain relevant in modern society?,Hard,4,ULTRA,1
q_9_eng_ch11_sq_011,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,"What does the title “The Dear Departed” suggest, and why is it ironic?",Medium,4,PRO,1
q_9_eng_ch11_sq_012,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,What role does humour play in conveying serious themes such as family conflict and hypocrisy?,Hard,4,PRO,1
q_9_eng_ch11_sq_013,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Why does Mrs. Slater want to bring the bureau downstairs before Mrs. Jordan arrives?,Medium,4,PRO,1
q_9_eng_ch11_sq_014,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the incident of the slippers expose Mrs. Slater and Henry's materialism?,Medium,4,PRO,1
q_9_eng_ch11_sq_015,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Why does Victoria describe the removal of the bureau and clock as pinching?,Medium,4,ULTRA,1
q_9_eng_ch11_sq_016,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How do the mourning clothes reveal rivalry and hypocrisy between the sisters?,Medium,4,PRO,1
q_9_eng_ch11_sq_017,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Why is the family's discussion of the obituary comic and satirical?,Hard,4,PRO,1
q_9_eng_ch11_sq_018,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does Victoria's announcement that Grandpa is getting up create a turning point?,Medium,4,PRO,1
q_9_eng_ch11_sq_019,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How do the adults react when Mr. Merryweather unexpectedly appears alive?,Medium,4,PRO,1
q_9_eng_ch11_sq_020,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does Mr. Merryweather discover that his bureau and clock have been taken?,Medium,4,PRO,1
q_9_eng_ch11_sq_021,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Why does Mrs. Jordan reveal Amelia and Henry's actions to Mr. Merryweather?,Medium,4,ULTRA,1
q_9_eng_ch11_sq_022,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does Mr. Merryweather test the sincerity of his daughters after announcing a new will?,Hard,4,PRO,1
q_9_eng_ch11_sq_023,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Why do both daughters suddenly want Mr. Merryweather to live with them?,Medium,4,PRO,1
q_9_eng_ch11_sq_024,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,What does Mr. Merryweather's decision to marry Mrs. Shorrocks reveal about his character?,Hard,4,PRO,1
q_9_eng_ch11_sq_025,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the ending punish greed and provide a comic resolution?,Hard,4,PRO,1
q_9_eng_ch11_sq_026,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Compare Mrs. Slater and Mrs. Jordan as materialistic daughters.,Hard,4,PRO,1
q_9_eng_ch11_sq_027,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Write a brief character sketch of Mr. Abel Merryweather.,Medium,4,PRO,1
q_9_eng_ch11_sq_028,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Write a brief character sketch of Mrs. Amelia Slater.,Medium,4,PRO,1
q_9_eng_ch11_sq_029,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Write a brief character sketch of Mrs. Elizabeth Jordan.,Medium,4,PRO,1
q_9_eng_ch11_sq_030,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Write a brief character sketch of Victoria Slater.,Medium,4,PRO,1
q_9_eng_ch11_sq_031,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the play expose the difference between appearance and reality?,Hard,4,PRO,1
q_9_eng_ch11_sq_032,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the misunderstanding about Mr. Merryweather's death reveal moral decay in the family?,Hard,4,PRO,1
q_9_eng_ch11_sq_033,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,"What is the central theme of “The Dear Departed,” and how is it developed?",Hard,4,PRO,1
q_9_eng_ch11_sq_034,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the play use dramatic irony after Mr. Merryweather returns?,Hard,4,PRO,1
q_9_eng_ch11_sq_035,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Why is the living-room setting appropriate for this one-act play?,Medium,4,ULTRA,1
q_9_eng_ch11_sq_036,1,ENGLISH_A | Unit 11 - The Dear Departed | Q2 Part B Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does the play meet the main characteristics of a one-act play?,Hard,4,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,topic_separator,,,,,1
q_9_eng_ch11_sq_037,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,What feelings and expectations does the title “The Dear Departed” create before reading the play?,Medium,4,ULTRA,1
q_9_eng_ch11_sq_038,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Describe the arrangement and atmosphere of the Slater family's living room.,Medium,4,ULTRA,1
q_9_eng_ch11_sq_039,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,"How does the Edwardian setting support the themes of class, family, and inheritance?",Hard,4,PRO,1
q_9_eng_ch11_sq_040,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,What do the stage directions reveal about Mrs. Slater's personality at the beginning?,Hard,4,PRO,1
q_9_eng_ch11_sq_041,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How do Henry's words and actions show weakness and dependence on his wife?,Medium,4,PRO,1
q_9_eng_ch11_sq_042,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,What details make the family's mourning appear superficial?,Hard,4,PRO,1
q_9_eng_ch11_sq_043,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,How does Ben Jordan contribute to the humour of the play?,Medium,4,ULTRA,1
q_9_eng_ch11_sq_044,1,ENGLISH_A | Unit 11 - The Dear Departed | In-chapter and While-reading Play Questions | OFFER 3 | ATTEMPT ANY 1 | 4 MARKS,extended_play_short,Why does Mr. Merryweather say that neither daughter has reason to feel proud?,Medium,4,PRO,1
