question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b6_short_001,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,textbook_oriented_short,حضرت امام زین العابدین رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_002,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,textbook_oriented_short,حضرت امام زین العابدین رحمۃ اللہ علیہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_003,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,textbook_oriented_short,حضرت امام زین العابدین رحمۃ اللہ علیہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_004,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,extra_important_practice,حضرت امام زین العابدین رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_005,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,extra_important_practice,حضرت امام زین العابدین رحمۃ اللہ علیہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_006,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_oriented_short,حضرت امام زید بن علی رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_007,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_oriented_short,حضرت امام زید بن علی رحمۃ اللہ علیہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_008,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_oriented_short,حضرت امام زید بن علی رحمۃ اللہ علیہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_009,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,extra_important_practice,حضرت امام زید بن علی رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_010,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,extra_important_practice,حضرت امام زید بن علی رحمۃ اللہ علیہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_011,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,textbook_oriented_short,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
