question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,3.1 Concept of Force,,,,,,,1
q_9_phy_ch3_sq_001,,3.1 Concept of Force,explain,Explain force as a push or pull and give two examples from daily life.,قوت کو دھکے یا کھنچاؤ کے طور پر وضاحت کریں اور روزمرہ زندگی کی دو مثالیں دیں۔,Easy,2,high,
q_9_phy_ch3_sq_002,,3.1 Concept of Force,state,What kinds of changes in motion may be produced by a force?,قوت حرکت میں کس قسم کی تبدیلیاں پیدا کر سکتی ہے؟,Easy,2,high,
q_9_phy_ch3_sq_003,,3.1 Concept of Force,explain,How does a force transfer energy to an object? Give one example.,قوت کسی جسم کو توانائی کیسے منتقل کرتی ہے؟ ایک مثال دیں۔,Medium,2,high,
q_9_phy_ch3_sq_004,,3.1 Concept of Force,explain,Why is a force needed to produce acceleration in a body?,کسی جسم میں تعجیل پیدا کرنے کے لیے قوت کی ضرورت کیوں ہوتی ہے؟,Medium,2,high,
q_9_phy_ch3_sq_005,,3.1 Concept of Force,analyze,Describe one situation in which a force changes both the speed and direction of a body.,ایک ایسی صورتحال بیان کریں جس میں قوت جسم کی رفتار اور سمت دونوں کو تبدیل کرتی ہے۔,Hard,2,high,
,1,3.1 Types of Forces,,,,,,,1
q_9_phy_ch3_sq_006,,3.1 Types of Forces,differentiate,Differentiate between contact and non-contact forces with one example each.,لامسی اور غیر لامسی قوتوں میں فرق کریں اور ہر ایک کی ایک مثال دیں۔,Easy,2,high,
q_9_phy_ch3_sq_007,,3.1 Types of Forces,list,Give five examples of contact forces.,لامسی قوتوں کی پانچ مثالیں دیں۔,Easy,2,high,
q_9_phy_ch3_sq_008,,3.1 Types of Forces,define_explain,Define drag force and state the direction in which it acts.,ڈریگ فورس کی تعریف کریں اور بتائیں کہ یہ کس سمت عمل کرتی ہے۔,Easy,2,high,
