question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_chem_ch15_001,1,15.1 Molar Volume,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_001,1,15.1 Molar Volume,Long,state_and_explain,"Define molar volume at room temperature and pressure. Explain its relationship with the mole concept and Avogadro's law, and discuss how it is used to calculate the moles, mass or volume of a gas.",room temperature and pressure پر molar volume کی تعریف کریں۔ mole concept اور Avogadro's law کے ساتھ اس کا تعلق explain کریں، اور بیان کریں کہ اسے gas کے moles، mass یا volume calculate کرنے کے لیے کیسے use کیا جاتا ہے۔,Medium,5,PRO,1
sep_10_chem_ch15_002,1,15.1 Molar Volume — Solved Examples,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_002,1,15.1 Molar Volume — Solved Examples,Numerical,calculate,Calculate the number of moles of nitrogen gas occupying 2.5 dm³ at RTP.,"درج ذیل nitrogen gas کے moles calculate کریں: Volume = 2.5 dm³, Conditions = RTP",Easy,4,ULTRA,1
q_10_chem_ch15_lq_003,1,15.1 Molar Volume — Solved Examples,Numerical,calculate,Calculate the volume occupied by 0.5 mol of hydrogen gas at RTP.,"درج ذیل hydrogen gas کا volume calculate کریں: Amount = 0.5 mol, Conditions = RTP",Easy,4,ULTRA,1
sep_10_chem_ch15_003,1,15.2 Concentration of a Solution,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_004,1,15.2 Concentration of a Solution,Long,compare,"Define concentration of a solution. Compare mass concentration and molar concentration in terms of formula, unit and the quantity of solute used, and explain the conversion of solution volume between cm³ and dm³.",solution کی concentration کی تعریف کریں۔ formula، unit اور used solute quantity کی بنیاد پر mass concentration اور molar concentration کا موازنہ کریں، اور solution volume کی cm³ اور dm³ کے درمیان conversion explain کریں۔,Medium,5,PRO,1
sep_10_chem_ch15_004,1,15.2 Concentration of a Solution — Solved Examples,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_005,1,15.2 Concentration of a Solution — Solved Examples,Numerical,calculate,Calculate the concentration in g/dm³ of a solution containing 20 g of sodium chloride dissolved in 0.2 dm³ of water.,"درج ذیل solution کی concentration g/dm³ میں calculate کریں: Mass of NaCl = 20 g, Volume = 0.2 dm³",Easy,4,ULTRA,1
q_10_chem_ch15_lq_006,1,15.2 Concentration of a Solution — Solved Examples,Numerical,calculate,Calculate the concentration in g/dm³ of hydrochloric acid when 500 cm³ of the solution contains 1.8 g of dissolved hydrogen chloride.,"درج ذیل hydrochloric acid solution کی concentration g/dm³ میں calculate کریں: Volume = 500 cm³, Mass of HCl = 1.8 g",Medium,4,ULTRA,1
q_10_chem_ch15_lq_007,1,15.2 Concentration of a Solution — Solved Examples,Numerical,calculate,Calculate the mass of copper sulphate dissolved in 2 dm³ of solution having a concentration of 15 g/dm³.,"درج ذیل solution میں dissolved copper sulphate کا mass calculate کریں: Volume = 2 dm³, Concentration = 15 g/dm³",Easy,4,ULTRA,1
q_10_chem_ch15_lq_008,1,15.2 Concentration of a Solution — Solved Examples,Numerical,calculate,A solution is prepared by dissolving 10 g of NaOH in 1.2 dm³ of water. Calculate its concentration in mol/dm³.,"درج ذیل NaOH solution کی concentration mol/dm³ میں calculate کریں: Mass of NaOH = 10 g, Volume = 1.2 dm³",Medium,4,ULTRA,1
sep_10_chem_ch15_005,1,15.3 Concentration of a Solution in Titration Using Empirical Data,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_009,1,15.3 Concentration of a Solution in Titration Using Empirical Data,Long,process_procedure,"Describe how the concentration of an unknown solution is determined by titration. Include the role of the balanced equation, measured volumes, known concentration, mole ratio and end point.",titration کے ذریعے unknown solution کی concentration determine کرنے کا procedure بیان کریں۔ balanced equation، measured volumes، known concentration، mole ratio اور end point کا role شامل کریں۔,Hard,5,PRO,1
sep_10_chem_ch15_006,1,15.4 Percentage Composition by Mass,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_010,1,15.4 Percentage Composition by Mass,Long,state_and_explain,"Define percentage composition by mass. Explain how it is determined from a chemical formula and from quantitative analysis data, and state its importance in determining purity and chemical formulae.",percentage composition by mass کی تعریف کریں۔ explain کریں کہ اسے chemical formula اور quantitative analysis data سے کیسے determine کیا جاتا ہے، اور purity اور chemical formulae determine کرنے میں اس کی importance بیان کریں۔,Medium,5,PRO,1
sep_10_chem_ch15_007,1,15.4 Percentage Composition by Mass — Solved Examples,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_011,1,15.4 Percentage Composition by Mass — Solved Examples,Numerical,calculate,"A compound of mass 8.657 g is decomposed into 5.217 g of carbon, 0.962 g of hydrogen and 2.478 g of oxygen. Calculate the percentage composition by mass of the compound.","درج ذیل compound کی percentage composition by mass calculate کریں: Mass of compound = 8.657 g, Carbon = 5.217 g, Hydrogen = 0.962 g, Oxygen = 2.478 g",Medium,4,ULTRA,1
sep_10_chem_ch15_008,1,15.5 Empirical Formula,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_012,1,15.5 Empirical Formula,Long,process_procedure,Define an empirical formula and describe the complete procedure for determining it from percentage composition or mass data.,empirical formula کی تعریف کریں اور percentage composition یا mass data سے اسے determine کرنے کا complete procedure بیان کریں۔,Medium,5,PRO,1
q_10_chem_ch15_lq_013,1,15.5 Empirical Formula,Long,compare,Explain how to identify whether a chemical formula is an empirical formula. Compare an empirical formula with a molecular formula using suitable textbook examples.,explain کریں کہ کسی chemical formula کے empirical formula ہونے کی شناخت کیسے کی جاتی ہے۔ suitable textbook examples استعمال کرتے ہوئے empirical formula کا molecular formula کے ساتھ موازنہ کریں۔,Medium,5,PRO,1
sep_10_chem_ch15_009,1,15.5 Empirical Formula — Solved Examples,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_014,1,15.5 Empirical Formula — Solved Examples,Numerical,determine,A compound contains 25.26% magnesium and 74.74% chlorine by mass. Determine its empirical formula.,"درج ذیل compound کی empirical formula determine کریں: Magnesium = 25.26%, Chlorine = 74.74%",Medium,4,ULTRA,1
sep_10_chem_ch15_010,1,15.5 Molecular Formula,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_015,1,15.5 Molecular Formula,Long,state_and_explain,Define molecular formula and explain its relationship with empirical formula. Describe how molecular formula is calculated from empirical formula mass and molecular mass.,molecular formula کی تعریف کریں اور empirical formula کے ساتھ اس کا تعلق explain کریں۔ بیان کریں کہ empirical formula mass اور molecular mass سے molecular formula کیسے calculate کی جاتی ہے۔,Medium,5,PRO,1
sep_10_chem_ch15_011,1,15.5 Molecular Formula — Solved Examples,Topic,topic_separator,,,,,,1
q_10_chem_ch15_lq_016,1,15.5 Molecular Formula — Solved Examples,Numerical,determine,Benzene has the empirical formula CH and a molecular mass of 78. Determine its molecular formula.,"درج ذیل data سے benzene کی molecular formula determine کریں: Empirical formula = CH, Molecular mass = 78",Easy,4,ULTRA,1
sep_10_chem_ch15_012,1,15.5 Calculations Based on Chemical Equation,Topic,topic_separator,,,,,,1
