question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch8_mcq_001,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Topic,,,,,,,,,,1
q_10_eng_ch8_001,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Main cause of city air pollution?,tree cutting,river flooding,filthy parks,vehicle smoke,D | vehicle smoke,Easy,1,ELITE,1
q_10_eng_ch8_002,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Trees release beneficial:,mineral oil,scent,fresh oxygen,food,C | fresh oxygen,Easy,1,ELITE,1
q_10_eng_ch8_003,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,What reduces private-car use?,factory closure,public transport,plastic recycling,road repairs,B | public transport,Easy,1,ELITE,1
q_10_eng_ch8_004,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,What reduces home plastic waste?,plastic burning,oil burning,tin utensils,cloth bags,D | cloth bags,Easy,1,ELITE,1
q_10_eng_ch8_005,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Safer energy sources are:,petrol diesel,smoke engines,wind solar,coal fire,C | wind solar,Easy,1,ELITE,1
q_10_eng_ch8_006,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Schools can raise awareness through:,debates,tree campaigns,seminars,posters,B | tree campaigns,Easy,1,ELITE,1
q_10_eng_ch8_007,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Communities need clean surroundings through:,water tanks,plantation only,private guards,mutual efforts,D | mutual efforts,Easy,1,ELITE,1
q_10_eng_ch8_008,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Media should support environment by:,ignore issues,hide facts,share solutions,spread fear,C | share solutions,Easy,1,ELITE,1
sep_10_eng_ch8_mcq_002,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch8_009,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“biodiversity” means:,living variety,old custom,small delay,private place,A | living variety,Medium,1,ELITE,1
