question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b3_short_001,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | فتح مکہ,textbook_exercise_direct,فتح مکہ کے موقع پر نبی کریم ﷺ نے عام معافی کا اعلان کرتے ہوئے کیا ارشاد فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_002,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | فتح مکہ,textbook_exercise_direct,فتح مکہ کے موقع پر حضرت علیؓ کو کیا سعادت نصیب ہوئی؟,Medium,2,ELITE,1
q_9_isl_b3_short_003,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | فتح مکہ,textbook_exercise_direct,فروغ اسلام کے حوالے سے فتح مکہ کی اہمیت مختصراً بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_004,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | غزوہ حنین,textbook_exercise_direct,غزوہ حنین کے موقع پر نبی کریم ﷺ نے کس طرح جرأت، بہادری اور استقامت کا مظاہرہ فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_005,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | غزوہ حنین,textbook_exercise_direct,غزوہ حنین کے کوئی سے دو نتائج تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_006,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | غزوہ حنین,textbook_exercise_direct,مشکل حالات میں ثابت قدمی کا مظاہرہ کرتے ہوئے کس طرح اپنے حواس پر قابو پایا جا سکتا ہے؟ غزوہ حنین کی روشنی میں بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_007,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | عام الوفود,textbook_exercise_direct,نبی کریم ﷺ نے عام الوفود میں مہمانوں کے ساتھ کس طرح عزت و اکرام کا معاملہ فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_008,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | عام الوفود,textbook_exercise_direct,وفدِ نجران کی آمد پر اسلام کے پھیلاؤ میں کیا کردار سامنے آیا؟,Medium,2,ELITE,1
q_9_isl_b3_short_009,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | عام الوفود,textbook_exercise_direct,وفدِ نجران کو بارگاہ رسالت میں حاضری کے وقت سکھائے گئے آداب میں سے کوئی دو لکھیں۔,Medium,2,ELITE,1
q_9_isl_b3_short_010,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,غزوہ تبوک کے موقع پر حضرت عثمانؓ نے کیا خدمات انجام دیں؟,Medium,2,ELITE,1
q_9_isl_b3_short_011,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,غزوہ تبوک کے موقع پر خواتین نے اسلامی لشکر کی تیاری میں کس طرح مدد کی؟,Medium,2,ELITE,1
q_9_isl_b3_short_012,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,غزوہ تبوک میں منافقین کس طرح بے نقاب ہوئے؟,Medium,2,ELITE,1
q_9_isl_b3_short_013,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | حجۃ الوداع,textbook_exercise_direct,غدیر خم کے حوالے سے حضرت علیؓ کی فضیلت بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_014,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | حجۃ الوداع,textbook_exercise_direct,نبی کریم ﷺ نے حجۃ الوداع کے موقع پر مساوات کے حوالے سے کیا ارشاد فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_015,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | حجۃ الوداع,textbook_exercise_direct,نبی کریم ﷺ نے ہدایت اور رہنمائی کے لیے کن دو چیزوں کو مضبوطی سے پکڑنے کا حکم دیا؟,Medium,2,ELITE,1
q_9_isl_b3_short_016,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,نبی کریم ﷺ کی زندگی کے آخری لمحات اپنے الفاظ میں بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_017,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,نبی کریم ﷺ کی بیماری کس نے تیمارداری کی اور کس نے قریب رہ کر خدمت کی؟,Medium,2,ELITE,1
q_9_isl_b3_short_018,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,وصال کے وقت حضرت فاطمہؓ کے کان میں نبی کریم ﷺ نے کیا فرمایا جس سے وہ پہلے غمگین اور پھر خوش ہوئیں؟,Medium,2,ELITE,1
q_9_isl_b3_short_019,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,وصال سے چند لمحے پہلے نبی کریم ﷺ نے حضرت حسنؓ اور حضرت حسینؓ سے محبت کا اظہار کیسے فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_020,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,نبی کریم ﷺ پر درود و سلام پڑھنے کی فضیلت بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_021,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | بچپن و جوانی,textbook_exercise_direct,نبی کریم ﷺ نے غزوہ حنین کے موقع پر حضرت شیماءؓ کے ساتھ کیا حسن سلوک فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_022,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | بچپن و جوانی,textbook_exercise_direct,عرب کے مظلوموں کی دادرسی کے لیے ہونے والے معاہدے کا نام اور اس کے اہم نکات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_023,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | بچپن و جوانی,textbook_exercise_direct,نبی کریم ﷺ کی نبوت کی کس نشانی نے حضرت عباسؓ کو اسلام کی طرف رغبت دلائی؟,Medium,2,ELITE,1
q_9_isl_b3_short_024,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | ذوق عبادت,textbook_exercise_direct,نبی کریم ﷺ کے ذوق عبادت کی ایک مثال بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_025,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | ذوق عبادت,textbook_exercise_direct,حضرت علیؓ کی عبادت اور خشوع کی ایک مثال بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_026,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | ذوق عبادت,textbook_exercise_direct,غزوہ تبوک کے موقع پر صحابہ کرامؓ نے عبادت و انفاق کا کیسا مظاہرہ فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_027,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | سخاوت,textbook_exercise_direct,نبی کریم ﷺ کی سخاوت کی ایک مثال تحریر کریں۔,Medium,2,ELITE,1
