question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b7_short_001,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,textbook_exercise_direct,خود اعتمادی و خود انحصاری کا مفہوم تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_002,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,textbook_exercise_direct,سیرت طیبہ سے خود انحصاری کی تعلیم پر مبنی کوئی ایک واقعہ تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_003,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,textbook_exercise_direct,خود اعتمادی کے حوالے سے اللہ تعالیٰ نے کیا نصیحت فرمائی؟,Medium,2,ELITE,1
q_9_isl_b7_short_004,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,textbook_exercise_direct,”جسمانی ریاضت صحت مند معاشرے کی بنیاد ہے“ وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_005,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,textbook_exercise_direct,جسمانی ریاضت، ذہنی صحت اور کھیل کا باہمی تعلق تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_006,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,textbook_exercise_direct,جسمانی ریاضت کے ذہنی و جسمانی اثرات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_007,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,textbook_exercise_direct,جسمانی ریاضت کے کوئی سے چار اصول بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_008,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,textbook_exercise_direct,ہمیں اپنی جسمانی و ذہنی صحت کو بہتر بنانے کے لیے کیا کرنا چاہیے؟,Medium,2,ELITE,1
q_9_isl_b7_short_009,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کا معنی و مفہوم تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_010,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,قرآن و سنت کی روشنی میں مستقبل کی منصوبہ بندی کی اہمیت بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_011,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کے اسباب کی مختلف صورتوں اور شرعی حدود و قیود کو واضح کریں۔,Medium,2,ELITE,1
