question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,1.1 Physical and Non-Physical Quantities,Topic,,,,,,,,,,,1
q_9_phy_ch1_001,1,1.1 Physical and Non-Physical Quantities,Remember,Which statement best describes a physical quantity?,کون سا بیان physical quantity کی بہترین وضاحت کرتا ہے؟,A quality based only on personal perception / ایسی کیفیت جو صرف ذاتی ادراک پر مبنی ہو,A feature that can be measured using a suitable instrument / ایسی خصوصیت جسے مناسب آلے سے ناپا جا سکے,A quantity that never has a unit / ایسی مقدار جس کی کبھی unit نہ ہو,A feature that can only be described qualitatively / ایسی خصوصیت جسے صرف کیفیت کے طور پر بیان کیا جا سکے,B | A feature that can be measured using a suitable instrument / ایسی خصوصیت جسے مناسب آلے سے ناپا جا سکے,Medium,1,ULTRA,1
q_9_phy_ch1_002,1,1.1 Physical and Non-Physical Quantities,Remember,A complete measurement consists of:,ایک مکمل measurement کن دو حصوں پر مشتمل ہوتی ہے؟,A unit and an instrument only / صرف ایک unit اور ایک instrument,A numerical value and a unit / ایک عددی قدر اور ایک unit,A scale and an estimate only / صرف ایک scale اور ایک اندازہ,A formula and a graph only / صرف ایک formula اور ایک graph,B | A numerical value and a unit / ایک عددی قدر اور ایک unit,Easy,1,PRO,1
q_9_phy_ch1_003,1,1.1 Physical and Non-Physical Quantities,Apply,Which one is classified as a non-physical quantity in the chapter exercise?,chapter exercise میں درج ذیل میں سے کس کو non-physical quantity قرار دیا گیا ہے؟,Distance / فاصلہ,Density / کثافت,Colour / رنگ,Temperature / درجہ حرارت,C | Colour / رنگ,Easy,1,PRO,1
TOPIC_SEP,1,1.2 Base and Derived Physical Quantities,Topic,,,,,,,,,,,1
q_9_phy_ch1_004,1,1.2 Base and Derived Physical Quantities,Remember,What are base quantities?,base quantities کیا ہوتی ہیں؟,Quantities obtained only by multiplying two units / وہ مقداریں جو صرف دو units کو ضرب دینے سے حاصل ہوں,Quantities that have no numerical value / وہ مقداریں جن کی کوئی numerical value نہ ہو,Quantities measured only with digital instruments / وہ مقداریں جو صرف digital instruments سے ناپی جائیں,Quantities selected as fundamental and not defined through other quantities / وہ بنیادی مقداریں جو دوسری مقداروں کے ذریعے define نہیں کی جاتیں,D | Quantities selected as fundamental and not defined through other quantities / وہ بنیادی مقداریں جو دوسری مقداروں کے ذریعے define نہیں کی جاتیں,Easy,1,ULTRA,1
q_9_phy_ch1_005,1,1.2 Base and Derived Physical Quantities,Remember,Which of the following is a derived physical quantity?,درج ذیل میں سے کون سی derived physical quantity ہے؟,Length / لمبائی,Mass / کمیت,Time / وقت,Speed / رفتار,D | Speed / رفتار,Easy,1,PRO,1
q_9_phy_ch1_006,1,1.2 Base and Derived Physical Quantities,Understand,Density is described in terms of which two quantities?,density کو کن دو quantities کے terms میں بیان کیا جاتا ہے؟,Mass and volume / کمیت اور حجم,Length and time / لمبائی اور وقت,Force and area / قوت اور رقبہ,Temperature and current / درجہ حرارت اور برقی رو,A | Mass and volume / کمیت اور حجم,Medium,1,PRO,1
TOPIC_SEP,1,1.3 International System of Units,Topic,,,,,,,,,,,1
q_9_phy_ch1_007,1,1.3 International System of Units,Remember,How many base units are included in the International System of Units?,International System of Units میں base units کی تعداد کتنی ہے؟,5,6,7,9,C | 7,Easy,1,ULTRA,1
q_9_phy_ch1_008,1,1.3 International System of Units,Remember,What is the SI unit and symbol of temperature?,temperature کی SI unit اور symbol کیا ہیں؟,"degree Celsius, °C / degree Celsius، °C","candela, cd / candela، cd","mole, mol / mole، mol","kelvin, K / kelvin، K","D | kelvin, K / kelvin، K",Easy,1,PRO,1
q_9_phy_ch1_009,1,1.3 International System of Units,Remember,What is the SI unit and symbol of electric current?,electric current کی SI unit اور symbol کیا ہیں؟,"coulomb, C / coulomb، C","volt, V / volt، V","ampere, A / ampere، A","watt, W / watt، W","C | ampere, A / ampere، A",Easy,1,PRO,1
q_9_phy_ch1_010,1,1.3 International System of Units,Remember,Which SI base unit is used for amount of substance?,amount of substance کے لیے کون سی SI base unit استعمال ہوتی ہے؟,"candela, cd / candela، cd","mole, mol / mole، mol","kelvin, K / kelvin، K","kilogram, kg / kilogram، kg","B | mole, mol / mole، mol",Easy,1,ULTRA,1
q_9_phy_ch1_011,1,1.3 International System of Units,Apply,Which symbol represents the derived SI unit of pressure?,pressure کی derived SI unit کو کون سا symbol ظاہر کرتا ہے؟,N,C,Pa,rad,C | Pa,Easy,1,PRO,1
TOPIC_SEP,1,1.3 SI Prefixes,Topic,,,,,,,,,,,1
q_9_phy_ch1_012,1,1.3 SI Prefixes,Remember,One femtometre is equal to:,one femtometre کی value کیا ہے؟,10⁻¹² m,10⁻⁹ m,10¹⁵ m,10⁻¹⁵ m,D | 10⁻¹⁵ m,Easy,1,PRO,1
