question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b5_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,سود کو عربی میں کہتے ہیں:,کذب,ربا,نفع,فحش,B | ربا,Medium,1,ELITE,1
q_10_isl_b5_mcq_002,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,اللہ تعالیٰ صدقات کو بڑھاتا ہے اور مٹاتا ہے:,سود کو,تجارت کو,نفع کو,سونے چاندی کو,A | سود کو,Medium,1,ELITE,1
q_10_isl_b5_mcq_003,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,سرکار دو عالم ﷺ نے لوگوں کو چھوڑ دینے کا حکم دیا:,سیاست,محنت,سود,سفر,C | سود,Medium,1,ELITE,1
q_10_isl_b5_mcq_004,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,کسی انسان کو ضرورت پوری کرنے کے لیے بہترین قرض دیا جاتا ہے جسے کہتے ہیں:,غرامہ,صدقہ,زکوٰۃ,قرض حسنہ,D | قرض حسنہ,Medium,1,ELITE,1
q_10_isl_b5_mcq_005,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,حدیث مبارک کے مطابق قرض حسنہ دینے والے کو اجر ملتا ہے:,نو گنا,دس گنا,گیارہ گنا,اٹھارہ گنا,D | اٹھارہ گنا,Medium,1,ELITE,1
q_10_isl_b5_mcq_006,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,اسلامی معاشرے کے بنیادی ادارے ہیں:,خاندان، عدلیہ اور مقننہ,خاندان، مسجد اور مکتب,خاندان، مقننہ اور انتظامیہ,مقننہ، انتظامیہ اور عدلیہ,B | خاندان، مسجد اور مکتب,Medium,1,ELITE,1
q_10_isl_b5_mcq_007,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,نبی کریم ﷺ نے خطبہ حجۃ الوداع کے موقع پر حکم فرمایا:,جان و مال اور عزت کی حفاظت کا,سخاوت و ایثار کرنے کا,فضول خرچی سے بچنے کا,وعدے کی پابندی کا,A | جان و مال اور عزت کی حفاظت کا,Medium,1,ELITE,1
q_10_isl_b5_mcq_008,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,ریاست کے بنیادی ادارے ہیں:,خاندان، عدلیہ اور مقننہ,خاندان، مسجد اور مکتب,خاندان، مقننہ اور انتظامیہ,مقننہ، انتظامیہ اور عدلیہ,D | مقننہ، انتظامیہ اور عدلیہ,Medium,1,ELITE,1
q_10_isl_b5_mcq_009,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,پہلی اسلامی ریاست کی بنیاد رکھی گئی:,مکہ مکرمہ میں,مدینہ منورہ میں,طائف میں,دمشق میں,B | مدینہ منورہ میں,Medium,1,ELITE,1
q_10_isl_b5_mcq_010,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,اسلامی ریاست میں سیکرٹریٹ کا درجہ حاصل تھا:,دار ارقم کو,مسجد نبوی ﷺ کو,دار الندوہ کو,دربار کو,B | مسجد نبوی ﷺ کو,Medium,1,ELITE,1
q_10_isl_b5_mcq_011,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,جہاد کا مقصد ہے:,زمین کا حصول,امن کا قیام,شہرت,بدلہ,B | امن کا قیام,Medium,1,ELITE,1
q_10_isl_b5_mcq_012,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,جہاد فرض ہوا:,مکہ مکرمہ میں,مدینہ منورہ میں,طائف میں,حبشہ میں,B | مدینہ منورہ میں,Medium,1,ELITE,1
q_10_isl_b5_mcq_013,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,2018ء میں دہشت گردی کے خلاف جاری ہونے والے قومی فتوے کو کہا جاتا ہے:,دستور پاکستان,آئین پاکستان,تعبیر ریاست پاکستان,پیغام پاکستان,D | پیغام پاکستان,Medium,1,ELITE,1
q_10_isl_b5_mcq_014,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,جہاد بالسیف کا مقصد زمین سے ختم کرنا ہے:,غیر مسلموں کو,بے حیائی و فحاشی کو,فساد فی الارض کو,غربت و افلاس کو,C | فساد فی الارض کو,Medium,1,ELITE,1
q_10_isl_b5_mcq_015,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,سب سے بہترین جہاد ہے:,جابر سلطان کے سامنے کلمہ حق کہنا,متواتر جہاد کرنا,مال اللہ کی راہ میں خرچ کرنا,نیکی کا حکم دینا,A | جابر سلطان کے سامنے کلمہ حق کہنا,Medium,1,ELITE,1
q_10_isl_b5_mcq_016,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود کا بنیادی مفہوم ہے:,مشروط اضافہ,صدقہ,قرض حسنہ,تجارت,A | مشروط اضافہ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_017,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرآن مجید نے حلال قرار دیا:,تجارت,سود,رشوت,قمار,A | تجارت,Medium,1,ULTRA,1
q_10_isl_b5_mcq_018,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرآن مجید نے حرام قرار دیا:,سود,تجارت,صدقہ,قرض حسنہ,A | سود,Medium,1,ULTRA,1
q_10_isl_b5_mcq_019,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,اللہ تعالیٰ سود کو:,مٹاتا ہے,بڑھاتا ہے,فرض کرتا ہے,پسند کرتا ہے,A | مٹاتا ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_020,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,اللہ تعالیٰ صدقات کو:,بڑھاتا ہے,مٹاتا ہے,روکتا ہے,کم کرتا ہے,A | بڑھاتا ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_021,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود سے مال بظاہر:,بڑھتا ہے,ختم ہوتا ہے,حرکت نہیں کرتا,وقف ہو جاتا ہے,A | بڑھتا ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_022,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود کی وجہ سے حقیقی برکت:,کم ہوتی ہے,بڑھتی ہے,لازم ہوتی ہے,غیر متعلق ہے,A | کم ہوتی ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_023,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود کا معاشی اثر ہے:,دولت کا ارتکاز,مساوی تقسیم,فوری فلاح,غربت کا خاتمہ,A | دولت کا ارتکاز,Medium,1,ULTRA,1
