question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
,1,3.1 Dynamics and Concept of Force,,,,,,,,,,,,1
q_9_phy_ch3_001,,3.1 Dynamics and Concept of Force,Remember,Dynamics is concerned with the forces that produce change in the motion of bodies.,ڈائنامکس جسموں کی حرکت میں تبدیلی پیدا کرنے والی قوتوں سے متعلق ہے۔,Dynamics / ڈائنامکس,Kinematics / حرکیات,Electrostatics / برقی سکون,Optics / بصریات,A | Dynamics / ڈائنامکس,Easy,1,high,
q_9_phy_ch3_002,,3.1 Dynamics and Concept of Force,Remember,Which statement best describes a force?,درج ذیل میں سے قوت کی بہترین وضاحت کون سی ہے؟,Only a pull / صرف کھینچ,"A push or pull that can start, stop, or change velocity / دھکا یا کھینچ جو ولاسٹی کو شروع، روک یا تبدیل کر سکتی ہے",Only the speed of a body / صرف جسم کی رفتار,The quantity of matter / مادے کی مقدار,"B | A push or pull that can start, stop, or change velocity / دھکا یا کھینچ جو ولاسٹی کو شروع، روک یا تبدیل کر سکتی ہے",Easy,1,high,
q_9_phy_ch3_003,,3.1 Dynamics and Concept of Force,Understand,Which change in a body can be produced by a force?,قوت جسم میں کون سی تبدیلی پیدا کر سکتی ہے؟,Only mass / صرف کمیت,Only colour / صرف رنگ,Magnitude or direction of velocity / ولاسٹی کی مقدار یا سمت,Only volume / صرف حجم,C | Magnitude or direction of velocity / ولاسٹی کی مقدار یا سمت,Medium,1,high,
q_9_phy_ch3_004,,3.1 Dynamics and Concept of Force,Analyze,A stone dropped from a height accelerates downward because:,اونچائی سے چھوڑا گیا پتھر نیچے کی طرف ایکسیلیریٹ کرتا ہے کیونکہ:,Earth exerts gravitational force on it / زمین اس پر ثقلی قوت لگاتی ہے,Air always pushes it downward / ہوا ہمیشہ اسے نیچے دھکیلتی ہے,Its mass disappears / اس کی کمیت ختم ہو جاتی ہے,No force is involved / کوئی قوت شامل نہیں ہوتی,A | Earth exerts gravitational force on it / زمین اس پر ثقلی قوت لگاتی ہے,Hard,1,high,
q_9_phy_ch3_005,,3.1 Dynamics and Concept of Force,Remember,Force transfers energy to an object.,قوت کسی جسم کو توانائی منتقل کرتی ہے۔,Energy / توانائی,Mass / کمیت,Time / وقت,Temperature / درجہ حرارت,A | Energy / توانائی,Easy,1,high,
,1,3.1 Types of Forces,,,,,,,,,,,,1
q_9_phy_ch3_006,,3.1 Types of Forces,Remember,There are two major types of forces: contact forces and non-contact forces.,قوتوں کی دو بڑی اقسام تلامسی قوتیں اور غیر تلامسی قوتیں ہیں۔,Scalar and vector forces / اسکیلر اور ویکٹر قوتیں,Contact and non-contact forces / تلامسی اور غیر تلامسی قوتیں,Static and dynamic forces / ساکن اور متحرک قوتیں,Mass and weight forces / کمیتی اور وزنی قوتیں,B | Contact and non-contact forces / تلامسی اور غیر تلامسی قوتیں,Easy,1,high,
q_9_phy_ch3_007,,3.1 Types of Forces,Remember,A contact force is exerted at the point of contact between two objects.,تلامسی قوت دو جسموں کے نقطۂ تماس پر لگتی ہے۔,Contact force / تلامسی قوت,Non-contact force / غیر تلامسی قوت,Nuclear force / نیوکلیائی قوت,Gravitational field / ثقلی میدان,A | Contact force / تلامسی قوت,Easy,1,high,
q_9_phy_ch3_008,,3.1 Types of Forces,Remember,Friction is the force that resists motion when surfaces of objects come in contact.,رگڑ وہ قوت ہے جو جسموں کی سطحوں کے تماس میں آنے پر حرکت کی مزاحمت کرتی ہے۔,Thrust / اتھاہ قوت,Friction / رگڑ,Tension / تناؤ,Weight / وزن,B | Friction / رگڑ,Easy,1,high,
q_9_phy_ch3_009,,3.1 Types of Forces,Remember,The resistant force caused by motion through a fluid is called:,سیال میں حرکت کی وجہ سے پیدا ہونے والی مزاحمتی قوت کہلاتی ہے:,Drag / ڈریگ,Normal force / عمودی قوت,Inertia / جمود,Momentum / مومنٹم,A | Drag / ڈریگ,Easy,1,high,
q_9_phy_ch3_010,,3.1 Types of Forces,Remember,Thrust is the upward force exerted by a liquid on an object immersed in it.,اتھاہ قوت وہ اوپر کی طرف قوت ہے جو مائع اپنے اندر ڈوبے جسم پر لگاتا ہے۔,Downward pull by Earth / زمین کی نیچے کھینچ,Upward force by liquid / مائع کی اوپر کی قوت,Force in a rope / رسی میں قوت,Force between charges / باروں کے درمیان قوت,B | Upward force by liquid / مائع کی اوپر کی قوت,Easy,1,high,
q_9_phy_ch3_011,,3.1 Types of Forces,Remember,Normal force acts outward and perpendicular to the surface.,عمودی قوت سطح کے عموداً اور باہر کی طرف عمل کرتی ہے۔,Parallel to surface / سطح کے متوازی,Downward only / صرف نیچے کی طرف,Outward and perpendicular / باہر کی طرف اور عموداً,Along the rope / رسی کے ساتھ,C | Outward and perpendicular / باہر کی طرف اور عموداً,Easy,1,high,
