question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch4_001,1,4.1 Chemical Formula,Topic,topic_separator,,,,,,1
q_9_chem_ch4_lq_001,1,4.1 Chemical Formula,Long,cause_effect,Answer the following related questions about Chemical Formula: (a) State the information provided by a molecular formula. | (b) State what an empirical formula shows. | (c) Why are ionic compounds generally represented by empirical formulas?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) سالماتی فارمولا کی فراہم کردہ معلومات بیان کریں۔؟ | (ب) بیان کریں کہ تجرباتی فارمولا کیا ظاہر کرتا ہے۔؟ | (ج) آئونی مرکبات کو عموماً تجرباتی فارمولوں سے کیوں ظاہر کیا جاتا ہے؟,Medium,5,PRO,1
q_9_chem_ch4_lq_002,1,4.1 Chemical Formula,Long,explain,Answer the following related questions about Chemical Formula: (a) Write the relation connecting molecular formula and empirical formula. Also state what the symbol or relation represents. | (b) How is n calculated when determining a molecular formula?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) سالماتی اور تجرباتی فارمولے کے درمیان کون سا تعلق ہے۔ علامت یا تعلق کا مطلب بھی بیان کریں۔؟ | (ب) سالماتی فارمولا معلوم کرتے وقت n کیسے نکالا جاتا ہے؟,Easy,5,ULTRA,1
q_9_chem_ch4_lq_003,1,4.1 Chemical Formula,Numerical,determine,A compound has the empirical formula CH₂O and molar mass 180 g mol⁻¹. Determine its molecular formula and show the complete calculation.,"ایک مرکب کا molecular formula مکمل حساب کے ساتھ معلوم کریں: empirical formula = CH₂O, molar mass = 180 g mol⁻¹",Medium,4,PRO,1
sep_9_chem_ch4_002,1,4.3 Writing Formulae of Ionic Compounds,Topic,topic_separator,,,,,,1
q_9_chem_ch4_lq_004,1,4.3 Writing Formulae of Ionic Compounds,Long,explain,"Answer the following related questions about Writing Formulae of Ionic Compounds: (a) Identify the information that is required to write the formula of a binary ionic compound. | (b) Write the formula of calcium phosphide and show the relevant valency or charge method where required Also, Write the formula of barium nitride and show the relevant valency or charge method where required.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) دو عنصری آئونی مرکب کا فارمولا لکھنے کے لیے کون سی معلومات درکار ہیں؟ | (ب) کیلشیم فاسفائیڈ کا فارمولا لکھیں اور ضروری طریقۂ کار دکھائیں۔ نیز، بیریئم نائٹرائیڈ کا فارمولا لکھیں اور ضروری طریقۂ کار دکھائیں۔؟,Easy,5,PRO,1
q_9_chem_ch4_lq_005,1,4.3 Writing Formulae of Ionic Compounds,Long,cause_effect,"Answer the following related questions about Writing Formulae of Ionic Compounds: (a) Write the formula of aluminium nitride and show the relevant valency or charge method where required Also, Write the formula of ammonium carbonate and show the relevant valency or charge method where required. | (b) Why must the total positive and negative charges balance in an ionic formula?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ایلومینیم نائٹرائیڈ کا فارمولا لکھیں اور ضروری طریقۂ کار دکھائیں۔ نیز، امونیم کاربونیٹ کا فارمولا لکھیں اور ضروری طریقۂ کار دکھائیں۔؟ | (ب) آئونی فارمولے میں کل مثبت اور منفی بار برابر کیوں ہونے چاہییں؟,Medium,5,ULTRA,1
sep_9_chem_ch4_003,1,4.4 Percentage Composition and Formula Determination,Topic,topic_separator,,,,,,1
q_9_chem_ch4_lq_006,1,4.4 Percentage Composition and Formula Determination,Long,discuss,Answer the following related questions about Percentage Composition and Formula Determination: (a) What does percentage composition express? | (b) State the first step in finding an empirical formula from percentage composition.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) فیصدی ترکیب کیا ظاہر کرتی ہے؟ | (ب) فیصدی ترکیب سے تجرباتی فارمولا معلوم کرنے کا پہلا قدم کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Easy,5,PRO,1
q_9_chem_ch4_lq_007,1,4.4 Percentage Composition and Formula Determination,Long,explain,"Answer the following related questions about Percentage Composition and Formula Determination: (a) After calculating moles of each element, how is the simplest ratio obtained? | (b) State whether the following statement is correct and justify the response: Can different compounds have the same empirical formula.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ہر عنصر کے مول معلوم کرنے کے بعد سادہ ترین تناسب کیسے حاصل کیا جاتا ہے؟ | (ب) کیا مختلف مرکبات کا تجرباتی فارمولا یکساں ہو سکتا ہے؟,Easy,5,ULTRA,1
