question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,5.1 System and Surroundings,topic_separator,,,,,,1
q_9_chem_ch5_sq_001,1,5.1 System and Surroundings,definition_function,Define a system in energetics and state one related characteristic or function.,انرجیٹکس میں نظام سے مراد بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch5_sq_002,1,5.1 System and Surroundings,definition_function,Define or describe the surroundings of a system and state one related characteristic.,نظام کے گرد و پیش سے مراد بیان کریں۔ ایک متعلقہ خصوصیت بھی بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch5_sq_003,1,5.1 System and Surroundings,application_scenario,"If heat flows from the system to the surroundings, what happens to the surroundings?",اگر حرارت نظام سے گرد و پیش میں جائے تو گرد و پیش کے ساتھ کیا ہوتا ہے؟,Medium,2,ULTRA,1
q_9_chem_ch5_sq_004,1,5.1 System and Surroundings,explain_reason,Why is the boundary between a system and surroundings useful?,نظام اور گرد و پیش کے درمیان حد بندی کیوں مفید ہے؟,Medium,2,ELITE,1
TOPIC_SEP,1,5.2 Enthalpy and Enthalpy Change,topic_separator,,,,,,1
q_9_chem_ch5_sq_005,1,5.2 Enthalpy and Enthalpy Change,concept_explanation,State what enthalpy represents.,اینٹھالپی کیا ظاہر کرتی ہے؟,Easy,2,PRO,1
q_9_chem_ch5_sq_006,1,5.2 Enthalpy and Enthalpy Change,formula_relationship,(a) Write the symbol that is used for enthalpy (b) Write the symbol that represents enthalpy change.,(الف) اینٹھالپی کے لیے کون سی علامت استعمال ہوتی ہے۔ (ب) اینٹھالپی کی تبدیلی کو کون سی علامت ظاہر کرتی ہے۔,Easy,2,PRO,1
q_9_chem_ch5_sq_007,1,5.2 Enthalpy and Enthalpy Change,explain_reason,Why can the absolute enthalpy of a system not be measured directly?,نظام کی مطلق اینٹھالپی براہِ راست کیوں نہیں ناپی جا سکتی؟,Medium,2,PRO,1
q_9_chem_ch5_sq_008,1,5.2 Enthalpy and Enthalpy Change,definition_function,Define standard enthalpy change of a reaction and state one related characteristic or function.,تعامل کی معیاری اینٹھالپی تبدیلی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,ULTRA,1
q_9_chem_ch5_sq_009,1,5.2 Enthalpy and Enthalpy Change,concept_explanation,(a) What does a negative value of ΔH indicate? (b) What does a positive value of ΔH indicate?.,(الف) ΔH کی منفی قدر کیا ظاہر کرتی ہے۔ (ب) ΔH کی مثبت قدر کیا ظاہر کرتی ہے۔,Medium,2,PRO,1
TOPIC_SEP,1,5.3 Exothermic and Endothermic Reactions,topic_separator,,,,,,1
q_9_chem_ch5_sq_010,1,5.3 Exothermic and Endothermic Reactions,definition_function,Define an exothermic reaction and state one related characteristic or function.,حرارت خارج کرنے والا تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch5_sq_011,1,5.3 Exothermic and Endothermic Reactions,definition_function,Define an endothermic reaction and state one related characteristic or function.,حرارت جذب کرنے والا تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch5_sq_012,1,5.3 Exothermic and Endothermic Reactions,cause_effect,How does the temperature of the surroundings usually change during an exothermic reaction?,حرارت خارج کرنے والے تعامل کے دوران گرد و پیش کا درجہ حرارت عموماً کیسے بدلتا ہے؟,Easy,2,ULTRA,1
q_9_chem_ch5_sq_013,1,5.3 Exothermic and Endothermic Reactions,cause_effect,How does the temperature of the surroundings usually change during an endothermic reaction?,حرارت جذب کرنے والے تعامل کے دوران گرد و پیش کا درجہ حرارت عموماً کیسے بدلتا ہے؟,Easy,2,ULTRA,1
q_9_chem_ch5_sq_014,1,5.3 Exothermic and Endothermic Reactions,application_scenario,"When NaOH and HCl are mixed and the temperature rises, how should the reaction be classified?",NaOH اور HCl ملانے پر درجہ حرارت بڑھ جائے تو تعامل کی درجہ بندی کیا ہوگی؟,Medium,2,PRO,1
q_9_chem_ch5_sq_015,1,5.3 Exothermic and Endothermic Reactions,application_scenario,State whether the following statement is correct and justify the response: Is melting of ice exothermic or endothermic.,برف کا پگھلنا حرارت خارج کرنے والا ہے یا جذب کرنے والا؟,Easy,2,ULTRA,1
q_9_chem_ch5_sq_016,1,5.3 Exothermic and Endothermic Reactions,application_scenario,State whether the following statement is correct and justify the response: Is condensation of water vapour exothermic or endothermic.,آبی بخارات کا تکاثف حرارت خارج کرنے والا ہے یا جذب کرنے والا؟,Medium,2,ULTRA,1
q_9_chem_ch5_sq_017,1,5.3 Exothermic and Endothermic Reactions,explain_reason,Why is bond breaking an endothermic process?,بند توڑنا حرارت جذب کرنے والا عمل کیوں ہے؟,Medium,2,PRO,1
q_9_chem_ch5_sq_018,1,5.3 Exothermic and Endothermic Reactions,explain_reason,Why is bond formation an exothermic process?,بند بننا حرارت خارج کرنے والا عمل کیوں ہے؟,Medium,2,PRO,1
q_9_chem_ch5_sq_019,1,5.3 Exothermic and Endothermic Reactions,application_scenario,"When weaker bonds are broken and stronger bonds are formed, what is the overall nature of the reaction?",جب کمزور بند ٹوٹیں اور زیادہ مضبوط بند بنیں تو مجموعی تعامل کی نوعیت کیا ہوگی؟,Hard,2,PRO,1
q_9_chem_ch5_sq_020,1,5.3 Exothermic and Endothermic Reactions,explain_reason,Why can an exothermic reaction still require an initial energy input?,حرارت خارج کرنے والے تعامل کو بھی ابتدا میں توانائی کیوں درکار ہو سکتی ہے؟,Hard,2,PRO,1
TOPIC_SEP,1,5.4 Activation Energy and Transition State,topic_separator,,,,,,1
q_9_chem_ch5_sq_021,1,5.4 Activation Energy and Transition State,definition_function,Define activation energy and state one related characteristic or function.,فعالی توانائی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch5_sq_022,1,5.4 Activation Energy and Transition State,definition_function,Define the transition state and state one related characteristic or function.,عبوری حالت کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch5_sq_023,1,5.4 Activation Energy and Transition State,cause_effect,Explain what happens when reacting particles collide with insufficient energy.,اگر تعامل کرنے والے ذرّات ناکافی توانائی سے ٹکرائیں تو کیا ہوتا ہے؟,Medium,2,ULTRA,1
q_9_chem_ch5_sq_024,1,5.4 Activation Energy and Transition State,concept_explanation,State what an energy profile diagram shows.,توانائی پروفائل خاکہ کیا دکھاتا ہے؟,Easy,2,ULTRA,1
q_9_chem_ch5_sq_025,1,5.4 Activation Energy and Transition State,compare_contrast,"In an exothermic energy profile, how do product and reactant energies compare?",حرارت خارج کرنے والے توانائی پروفائل میں حاصل اور عامل مادّوں کی توانائی کا موازنہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch5_sq_026,1,5.4 Activation Energy and Transition State,compare_contrast,"In an endothermic energy profile, how do product and reactant energies compare?",حرارت جذب کرنے والے توانائی پروفائل میں حاصل اور عامل مادّوں کی توانائی کا موازنہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch5_sq_027,1,5.4 Activation Energy and Transition State,explain_reason,Why does the conversion of diamond to graphite not occur readily even though ΔH is negative?,اگرچہ ΔH منفی ہے پھر بھی ہیرے کا گریفائٹ میں تبدیل ہونا آسانی سے کیوں نہیں ہوتا؟,Hard,2,PRO,1
TOPIC_SEP,1,5.5 Catalysts,topic_separator,,,,,,1
q_9_chem_ch5_sq_028,1,5.5 Catalysts,cause_effect,How does a catalyst increase reaction rate?,عمل انگیز تعامل کی رفتار کیسے بڑھاتا ہے؟,Easy,2,PRO,1
q_9_chem_ch5_sq_029,1,5.5 Catalysts,application_scenario,State whether the following statement is correct and justify the response: Does a catalyst change the enthalpy change of a reaction.,کیا عمل انگیز تعامل کی اینٹھالپی تبدیلی بدلتا ہے؟,Medium,2,PRO,1
q_9_chem_ch5_sq_030,1,5.5 Catalysts,cause_effect,Explain what happens to the transition-state energy in the presence of a catalyst.,عمل انگیز کی موجودگی میں عبوری حالت کی توانائی کے ساتھ کیا ہوتا ہے؟,Medium,2,ULTRA,1
