question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,5.1 System and Surroundings,Topic,,,,,,,,,,,1
q_9_chem_ch5_001,1,5.1 System and Surroundings,Remember,What is a system in energetics?,انرجیٹکس میں نظام سے کیا مراد ہے؟,Everything outside the experiment / تجربے سے باہر موجود ہر چیز,The physical or chemical change under study / وہ طبعی یا کیمیائی تبدیلی جس کا مطالعہ کیا جا رہا ہو,Only the container / صرف برتن,Only the heat released / صرف خارج ہونے والی حرارت,B | The physical or chemical change under study / وہ طبعی یا کیمیائی تبدیلی جس کا مطالعہ کیا جا رہا ہو,Easy,1,PRO,1
q_9_chem_ch5_002,1,5.1 System and Surroundings,Remember,What are the surroundings of a system?,نظام کے گرد و پیش سے کیا مراد ہے؟,Only the reactants / صرف عامل مادّے,Only the products / صرف حاصل مادّے,Only the catalyst / صرف عمل انگیز,Everything outside the system / نظام کے باہر موجود ہر چیز,D | Everything outside the system / نظام کے باہر موجود ہر چیز,Easy,1,PRO,1
q_9_chem_ch5_003,1,5.1 System and Surroundings,Understand,"If heat flows from the system to the surroundings, what happens to the surroundings?",اگر حرارت نظام سے گرد و پیش میں جائے تو گرد و پیش کے ساتھ کیا ہوتا ہے؟,They gain heat / وہ حرارت حاصل کرتے ہیں,They lose all energy / وہ تمام توانائی کھو دیتے ہیں,Their mass becomes zero / ان کی کمیت صفر ہو جاتی ہے,They become isolated / وہ الگ تھلگ ہو جاتے ہیں,A | They gain heat / وہ حرارت حاصل کرتے ہیں,Medium,1,ULTRA,1
q_9_chem_ch5_004,1,5.1 System and Surroundings,Understand,Why is the boundary between a system and surroundings useful?,نظام اور گرد و پیش کے درمیان حد بندی کیوں مفید ہے؟,It changes the chemical formula / یہ کیمیائی فارمولا بدل دیتی ہے,It prevents every reaction / یہ ہر تعامل روک دیتی ہے,It helps identify where energy is transferred / یہ معلوم کرنے میں مدد دیتی ہے کہ توانائی کہاں منتقل ہو رہی ہے,It fixes the mass number / یہ کمیتی عدد مقرر کرتی ہے,C | It helps identify where energy is transferred / یہ معلوم کرنے میں مدد دیتی ہے کہ توانائی کہاں منتقل ہو رہی ہے,Medium,1,ELITE,1
TOPIC_SEP,1,5.2 Enthalpy and Enthalpy Change,Topic,,,,,,,,,,,1
q_9_chem_ch5_005,1,5.2 Enthalpy and Enthalpy Change,Remember,What does enthalpy represent?,اینٹھالپی کیا ظاہر کرتی ہے؟,The number of atoms in a system / نظام میں ایٹموں کی تعداد,The total heat content of a system / نظام کا کل حرارتی مواد,The pressure only / صرف دباؤ,The volume only / صرف حجم,B | The total heat content of a system / نظام کا کل حرارتی مواد,Easy,1,PRO,1
q_9_chem_ch5_006,1,5.2 Enthalpy and Enthalpy Change,Remember,Which symbol is used for enthalpy?,اینٹھالپی کے لیے کون سی علامت استعمال ہوتی ہے؟,H,ΔH,Eₐ,Q,A | H,Easy,1,ULTRA,1
q_9_chem_ch5_007,1,5.2 Enthalpy and Enthalpy Change,Remember,Which symbol represents enthalpy change?,اینٹھالپی کی تبدیلی کو کون سی علامت ظاہر کرتی ہے؟,H,Eₐ,T,ΔH,D | ΔH,Easy,1,PRO,1
q_9_chem_ch5_008,1,5.2 Enthalpy and Enthalpy Change,Understand,Why can the absolute enthalpy of a system not be measured directly?,نظام کی مطلق اینٹھالپی براہِ راست کیوں نہیں ناپی جا سکتی؟,Enthalpy has no unit / اینٹھالپی کی کوئی اکائی نہیں,The system contains no heat / نظام میں حرارت نہیں ہوتی,Only changes in energy can be measured experimentally / تجرباتی طور پر صرف توانائی کی تبدیلیاں ناپی جا سکتی ہیں,All reactions have zero enthalpy / تمام تعاملات کی اینٹھالپی صفر ہوتی ہے,C | Only changes in energy can be measured experimentally / تجرباتی طور پر صرف توانائی کی تبدیلیاں ناپی جا سکتی ہیں,Medium,1,PRO,1
