question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,8.1 Modern Periodic Table,topic_separator,,,,,,1
q_9_chem_ch8_sq_001,1,8.1 Modern Periodic Table,process_steps,How are elements arranged in the modern periodic table?,جدید دوری جدول میں عناصر کس ترتیب سے رکھے گئے ہیں؟,Easy,2,PRO,1
q_9_chem_ch8_sq_002,1,8.1 Modern Periodic Table,process_steps,State how many groups are present in the modern periodic table.,تعداد یا مقدار بیان کریں: جدید دوری جدول میں کتنے گروپ ہیں۔,Easy,2,PRO,1
q_9_chem_ch8_sq_003,1,8.1 Modern Periodic Table,process_steps,State how many periods are present in the modern periodic table.,تعداد یا مقدار بیان کریں: جدید دوری جدول میں کتنے ادوار ہیں۔,Easy,2,PRO,1
q_9_chem_ch8_sq_004,1,8.1 Modern Periodic Table,definition_function,(a) Define a period in the periodic table and state one related characteristic or function (b) Define a group in the periodic table and state one related characteristic or function.,(الف) دوری جدول میں دور سے مراد بیان کریں۔ (ب) دوری جدول میں گروپ سے مراد بیان کریں۔,Easy,2,ULTRA,1
q_9_chem_ch8_sq_005,1,8.1 Modern Periodic Table,explain_reason,Why was atomic number chosen as the basis of the modern periodic table?,جدید دوری جدول کی بنیاد کے طور پر ایٹمی عدد کیوں چنا گیا؟,Medium,2,PRO,1
q_9_chem_ch8_sq_006,1,8.1 Modern Periodic Table,list_state,List the four blocks are present in the periodic table.,دوری جدول میں کون سے چار بلاک موجود ہیں؟,Easy,2,PRO,1
q_9_chem_ch8_sq_007,1,8.1 Modern Periodic Table,classification,(a) Identify the block elements that are called normal elements (b) Identify the block elements that are called transition elements.,(الف) کن بلاکوں کے عناصر کو نارمل عناصر کہا جاتا ہے۔ (ب) کن بلاکوں کے عناصر کو انتقالی عناصر کہا گیا ہے۔,Easy,2,ULTRA,1
q_9_chem_ch8_sq_008,1,8.1 Modern Periodic Table,concept_explanation,State what completion of a period generally represents Also state one related characteristic.,ایک دور کی تکمیل عموماً کیا ظاہر کرتی ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,8.2 Electronic Configuration and Position,topic_separator,,,,,,1
q_9_chem_ch8_sq_009,1,8.2 Electronic Configuration and Position,explain_reason,Why do elements in the same group show similar chemical properties?,ایک ہی گروپ کے عناصر یکساں کیمیائی خصوصیات کیوں دکھاتے ہیں؟,Medium,2,PRO,1
q_9_chem_ch8_sq_010,1,8.2 Electronic Configuration and Position,concept_explanation,"(a) What does the period number usually indicate for a main-group element? (b) Silicon, an important material in solar cells, lies in which period and group?.",(الف) بیان کریں کہ مین گروپ عنصر کے لیے دور کا عدد عموماً کیا ظاہر کرتا ہے۔ (ب) سولر سیل میں اہم سلیکان کس دور اور گروپ میں واقع ہے۔,Medium,2,PRO,1
q_9_chem_ch8_sq_011,1,8.2 Electronic Configuration and Position,application_scenario,An element with three occupied shells belongs to which period?,تین بھرے ہوئے خول رکھنے والا عنصر کس دور میں ہوگا؟,Easy,2,PRO,1
q_9_chem_ch8_sq_012,1,8.2 Electronic Configuration and Position,application_scenario,An element with seven valence electrons belongs to which main-group family?,سات ظرفی الیکٹران رکھنے والا عنصر کس مین گروپ خاندان میں ہوگا؟,Medium,2,PRO,1
q_9_chem_ch8_sq_013,1,8.2 Electronic Configuration and Position,list_state,Identify the outer electronic configuration that is characteristic of a transition element.,انتقالی عنصر کے بیرونی الیکٹرانی ترتیب کی خصوصیت کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Hard,2,ULTRA,1
TOPIC_SEP,1,8.4 Atomic Radius,topic_separator,,,,,,1
q_9_chem_ch8_sq_014,1,8.4 Atomic Radius,cause_effect,How does atomic radius generally change from left to right across a period?,ایک دور میں بائیں سے دائیں ایٹمی نصف قطر عموماً کیسے بدلتا ہے؟,Easy,2,PRO,1
q_9_chem_ch8_sq_015,1,8.4 Atomic Radius,explain_reason,Why does atomic radius decrease across a period?,ایک دور میں ایٹمی نصف قطر کیوں کم ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch8_sq_016,1,8.4 Atomic Radius,cause_effect,How does atomic radius generally change down a group?,گروپ میں اوپر سے نیچے ایٹمی نصف قطر عموماً کیسے بدلتا ہے؟,Easy,2,PRO,1
q_9_chem_ch8_sq_017,1,8.4 Atomic Radius,explain_reason,Why does atomic radius increase down a group?,گروپ میں نیچے جاتے ہوئے ایٹمی نصف قطر کیوں بڑھتا ہے؟,Medium,2,PRO,1
q_9_chem_ch8_sq_018,1,8.4 Atomic Radius,list_state,"(a) Identify the item that has the larger atomic radius, boron or aluminium (b) Which is the correct order of atomic radii for N, O and F?.",(الف) بوران اور ایلومینیم میں کس کا ایٹمی نصف قطر بڑا ہے۔ (ب) N، O اور F کے ایٹمی نصف قطروں کی درست ترتیب کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,PRO,1
TOPIC_SEP,1,8.6 Ionization Energy,topic_separator,,,,,,1
q_9_chem_ch8_sq_019,1,8.6 Ionization Energy,definition_function,Define ionization energy and state one related characteristic or function.,آئنائزیشن توانائی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch8_sq_020,1,8.6 Ionization Energy,cause_effect,How does ionization energy generally change across a period?,ایک دور میں آئنائزیشن توانائی عموماً کیسے بدلتی ہے؟,Easy,2,PRO,1
q_9_chem_ch8_sq_021,1,8.6 Ionization Energy,cause_effect,How does ionization energy generally change down a group?,گروپ میں نیچے جاتے ہوئے آئنائزیشن توانائی عموماً کیسے بدلتی ہے؟,Easy,2,PRO,1
q_9_chem_ch8_sq_022,1,8.6 Ionization Energy,explain_reason,Why is the second ionization energy of magnesium greater than the first?,میگنیشیم کی دوسری آئنائزیشن توانائی پہلی سے زیادہ کیوں ہے؟,Hard,2,PRO,1
q_9_chem_ch8_sq_023,1,8.6 Ionization Energy,features_characteristics,"Name the element that is expected to lose electrons more easily, boron or aluminium.",بوران اور ایلومینیم میں کون زیادہ آسانی سے الیکٹران کھوئے گا؟,Hard,2,PRO,1
TOPIC_SEP,1,8.7 Electron Affinity and Electronegativity,topic_separator,,,,,,1
q_9_chem_ch8_sq_024,1,8.7 Electron Affinity and Electronegativity,definition_function,Define electron affinity and state one related characteristic or function.,الیکٹران افینیٹی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,ULTRA,1
q_9_chem_ch8_sq_025,1,8.7 Electron Affinity and Electronegativity,definition_function,Define electronegativity and state one related characteristic or function.,برق منفی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch8_sq_026,1,8.7 Electron Affinity and Electronegativity,cause_effect,How do electron affinity and electronegativity generally change across a period?,ایک دور میں الیکٹران افینیٹی اور برق منفی عموماً کیسے بدلتی ہیں؟,Medium,2,PRO,1
q_9_chem_ch8_sq_027,1,8.7 Electron Affinity and Electronegativity,cause_effect,How do electron affinity and electronegativity generally change down a group?,گروپ میں نیچے جاتے ہوئے الیکٹران افینیٹی اور برق منفی عموماً کیسے بدلتی ہیں؟,Medium,2,PRO,1
q_9_chem_ch8_sq_028,1,8.7 Electron Affinity and Electronegativity,features_characteristics,"Name the element that is the most electronegative among N, O, F and Cl Also state one supporting reason or feature.",N، O، F اور Cl میں سب سے زیادہ برق منفی عنصر کون سا ہے۔ شناخت کی بنیاد بھی بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch8_sq_029,1,8.7 Electron Affinity and Electronegativity,application_scenario,An element has low ionization energy and low electron affinity. To which group is it most likely to belong?,ایک عنصر کی آئنائزیشن توانائی اور الیکٹران افینیٹی دونوں کم ہیں۔ غالباً یہ کس گروپ سے تعلق رکھتا ہے؟,Hard,2,PRO,1
TOPIC_SEP,1,8.9 Metallic Character and Reactivity,topic_separator,,,,,,1
q_9_chem_ch8_sq_030,1,8.9 Metallic Character and Reactivity,cause_effect,How does metallic character generally change across a period?,ایک دور میں دھاتی خاصیت عموماً کیسے بدلتی ہے؟,Easy,2,PRO,1
q_9_chem_ch8_sq_031,1,8.9 Metallic Character and Reactivity,cause_effect,How does metallic character generally change down a group?,گروپ میں نیچے جاتے ہوئے دھاتی خاصیت عموماً کیسے بدلتی ہے؟,Easy,2,PRO,1
q_9_chem_ch8_sq_032,1,8.9 Metallic Character and Reactivity,list_state,"(a) Which is the softest metal among Na, Ca, Al and Zn? (b) Identify the item that has the highest melting point among Na, K, Rb and Cs.",(الف) Na، Ca، Al اور Zn میں سب سے نرم دھات کون سی ہے۔ (ب) Na، K، Rb اور Cs میں سب سے بلند نقطۂ پگھلاؤ کس کا ہے۔,Medium,2,PRO,1
q_9_chem_ch8_sq_033,1,8.9 Metallic Character and Reactivity,numerical_short,Solve the following short numerical problem and show the required working: What is the correct order of metallic character in group 2 from Mg to Ba.,گروپ 2 میں Mg سے Ba تک دھاتی خاصیت کی درست ترتیب کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch8_sq_034,1,8.9 Metallic Character and Reactivity,explain_reason,Why does metallic character increase down a group?,گروپ میں نیچے دھاتی خاصیت کیوں بڑھتی ہے؟,Medium,2,PRO,1
q_9_chem_ch8_sq_035,1,8.9 Metallic Character and Reactivity,explain_reason,Why can oxygen not normally accept three electrons like nitrogen can?,آکسیجن عموماً نائٹروجن کی طرح تین الیکٹران کیوں قبول نہیں کر سکتی؟,Hard,2,PRO,1
