question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past-Paper Verified and Model-Paper Archive,Topic,,,,,,,,,,1
q_9_eng_b_grammar_0001,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2012-13 Model Paper,Apply,"When I reached school, the peon ______ the bell.",will have rung,had rung,will be ringing,was ring,B | had rung,Hard,1,ELITE,1
q_9_eng_b_grammar_0002,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2012-13 Model Paper,Apply,"If he came to me, I ______ him.",shall help,can help,shall have helped,would help,D | would help,Hard,1,ELITE,1
q_9_eng_b_grammar_0003,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2012-13 Model Paper,Apply,He ______ the office an hour ago.,left,has left,will have left,leaves,A | left,Easy,1,ULTRA,1
q_9_eng_b_grammar_0004,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2012-13 Model Paper,Apply,The teacher with his students ______ cricket now.,plays,has been playing,played,is playing,D | is playing,Medium,1,ULTRA,1
q_9_eng_b_grammar_0005,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2012-13 Model Paper,Apply,He ______ in this city since 1998.,lives,has been living,lived,is living,B | has been living,Medium,1,ELITE,1
q_9_eng_b_grammar_0006,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2013-16 Objective Archive,Apply,I ______ watching television since 7 p.m.,has been,have been,am,will be,B | have been,Medium,1,ELITE,1
q_9_eng_b_grammar_0007,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2013-16 Objective Archive,Apply,It was ______ in the morning.,rain,rained,rains,raining,D | raining,Easy,1,ULTRA,1
q_9_eng_b_grammar_0008,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2013-16 Objective Archive,Apply,He ______ to school daily.,go,goes,going,went,B | goes,Easy,1,ELITE,1
q_9_eng_b_grammar_0009,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | Sahiwal Board Objective Archive,Apply,I shall have ______ writing this novel by June next year.,finished,finish,finishes,finishing,A | finished,Medium,1,ULTRA,1
q_9_eng_b_grammar_0010,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | Sahiwal Board Objective Archive,Apply,The sun ______ in the east.,rise,rising,rises,is rise,C | rises,Easy,1,ELITE,1
q_9_eng_b_grammar_0011,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | Sahiwal Board Objective Archive,Apply,It ______ to rain an hour ago.,begin,began,begins,begun,B | began,Easy,1,ELITE,1
q_9_eng_b_grammar_0012,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | Sahiwal Board Objective Archive,Apply,He is ______ back next week.,come,coming,came,comes,B | coming,Medium,1,ULTRA,1
q_9_eng_b_grammar_0013,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | Sahiwal Board Objective Archive,Apply,I ______ the house before it started raining.,leaves,was leave,had left,leaving,C | had left,Medium,1,ELITE,1
q_9_eng_b_grammar_0014,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2017 Faisalabad Board,Apply,I ______ a book when the bell rang.,was reading,were reading,reading,am reading,A | was reading,Medium,1,ELITE,1
q_9_eng_b_grammar_0015,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2018 Lahore Board,Apply,These mangoes ______ the market by April.,will reached,would reach,will have reached,will have reach,C | will have reached,Hard,1,ELITE,1
q_9_eng_b_grammar_0016,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2018 Lahore Board,Apply,I have ______ him for a long time.,know,knew,knows,known,D | known,Medium,1,ULTRA,1
q_9_eng_b_grammar_0017,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2018 Faisalabad Board,Apply,She ______ to school an hour ago.,go,goes,will go,went,D | went,Easy,1,ELITE,1
q_9_eng_b_grammar_0018,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2018 Faisalabad Board,Apply,They ______ their work by tomorrow.,complete,will have completed,completing,completed,B | will have completed,Hard,1,ELITE,1
q_9_eng_b_grammar_0019,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2022 Sargodha Board,Apply,He ______ in the sun for an hour.,is standing,was standing,has been standing,have been standing,C | has been standing,Medium,1,ELITE,1
q_9_eng_b_grammar_0020,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2022 Sargodha Board,Apply,Good students always ______ hard.,works,work,working,was working,B | work,Easy,1,ELITE,1
q_9_eng_b_grammar_0021,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2022 Lahore Board,Apply,She ______ her work when the guests arrived.,was done,was doing,done,do,B | was doing,Medium,1,ELITE,1
q_9_eng_b_grammar_0022,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2022 Lahore Board,Apply,She ______ the piano since two o'clock.,play,plays,has been playing,played,C | has been playing,Medium,1,ELITE,1
q_9_eng_b_grammar_0023,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2023 Gujranwala Board,Apply,I asked her what places she ______ in Europe.,visit,is visiting,had visited,visiting,C | had visited,Hard,1,ELITE,1
q_9_eng_b_grammar_0024,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2023 Gujranwala Board,Apply,Do you ______ to school every day?,went,go,gone,goes,B | go,Easy,1,ELITE,1
q_9_eng_b_grammar_0025,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Past Paper | 2024 Gujranwala Board,Apply,"After you ______, I went to sleep.",left,leaves,leave,leaving,A | left,Medium,1,ULTRA,1
TOPIC_SEP,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind-Sharp Board-Pattern Practice,Topic,,,,,,,,,,1
q_9_eng_b_grammar_0026,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,The earth ______ around the sun.,revolve,revolves,revolved,is revolving,B | revolves,Easy,1,ELITE,1
q_9_eng_b_grammar_0027,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,Neither of the boys ______ absent.,are,were,is,have,C | is,Medium,1,ELITE,1
q_9_eng_b_grammar_0028,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,The news ______ true.,are,is,were,have,B | is,Medium,1,ELITE,1
q_9_eng_b_grammar_0029,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,The police ______ the law.,enforces,enforce,is enforcing,has enforced,B | enforce,Medium,1,ULTRA,1
q_9_eng_b_grammar_0030,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,Each of the students ______ a notebook.,have,has,had,having,B | has,Medium,1,ELITE,1
q_9_eng_b_grammar_0031,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,Slow and steady ______ the race.,win,wins,won,has won,B | wins,Easy,1,ULTRA,1
q_9_eng_b_grammar_0032,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,Water ______ at one hundred degrees Celsius.,boil,boils,boiled,is boiling,B | boils,Easy,1,PRO,1
q_9_eng_b_grammar_0033,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,One of my friends ______ in Multan.,live,lives,living,have lived,B | lives,Medium,1,ELITE,1
q_9_eng_b_grammar_0034,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,My brother and I ______ cricket on Sundays.,plays,play,played,is playing,B | play,Easy,1,PRO,1
q_9_eng_b_grammar_0035,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Indefinite,Apply,A good student always ______ the truth.,speak,speaks,spoke,speaking,B | speaks,Easy,1,ULTRA,1
q_9_eng_b_grammar_0036,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Continuous,Apply,Listen! Someone ______ at the door.,knocks,knocked,is knocking,has knocked,C | is knocking,Easy,1,ULTRA,1
q_9_eng_b_grammar_0037,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Continuous,Apply,The students ______ for the test at present.,prepare,prepared,are preparing,have prepared,C | are preparing,Easy,1,PRO,1
q_9_eng_b_grammar_0038,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Continuous,Apply,Why ______ you laughing?,do,are,have,did,B | are,Easy,1,PRO,1
q_9_eng_b_grammar_0039,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Continuous,Apply,The road ______ these days.,repairs,is repairing,is being repaired,has repaired,C | is being repaired,Hard,1,ELITE,1
q_9_eng_b_grammar_0040,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Continuous,Apply,She ______ to Lahore tomorrow.,travels,travelled,is travelling,has travelled,C | is travelling,Medium,1,ULTRA,1
q_9_eng_b_grammar_0041,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Continuous,Apply,I ______ what you mean.,am understanding,understand,understood,have understand,B | understand,Hard,1,ELITE,1
q_9_eng_b_grammar_0042,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect,Apply,They ______ the assignment already.,complete,completed,have completed,are completing,C | have completed,Easy,1,ULTRA,1
q_9_eng_b_grammar_0043,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect,Apply,He ______ just ______ the office.,has / left,have / left,is / leaving,did / leave,A | has / left,Medium,1,ELITE,1
q_9_eng_b_grammar_0044,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect,Apply,We ______ this movie before.,saw,have seen,see,are seeing,B | have seen,Easy,1,PRO,1
q_9_eng_b_grammar_0045,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect,Apply,She ______ never ______ Murree.,has / visited,have / visited,did / visit,is / visiting,A | has / visited,Medium,1,ULTRA,1
q_9_eng_b_grammar_0046,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect,Apply,How many books ______ you ______ this month?,did / read,have / read,are / reading,do / read,B | have / read,Medium,1,ULTRA,1
q_9_eng_b_grammar_0047,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect,Apply,He ______ not ______ his fee yet.,has / paid,have / paid,did / pay,is / paying,A | has / paid,Medium,1,ELITE,1
q_9_eng_b_grammar_0048,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect,Apply,The workers ______ the bridge.,built,have built,are build,has built,B | have built,Easy,1,PRO,1
q_9_eng_b_grammar_0049,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect,Apply,The train ______ already ______.,has / arrived,have / arrived,did / arrive,is / arriving,A | has / arrived,Medium,1,ELITE,1
q_9_eng_b_grammar_0050,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect Continuous,Apply,It ______ for two hours.,rains,rained,has been raining,is rain,C | has been raining,Medium,1,ELITE,1
q_9_eng_b_grammar_0051,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect Continuous,Apply,They ______ cricket since morning.,play,played,have been playing,are played,C | have been playing,Medium,1,ELITE,1
q_9_eng_b_grammar_0052,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect Continuous,Apply,She ______ for the examination for three weeks.,studies,studied,has been studying,is studied,C | has been studying,Medium,1,ELITE,1
q_9_eng_b_grammar_0053,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect Continuous,Apply,How long ______ you ______ here?,have / been waiting,did / wait,are / wait,has / waited,A | have / been waiting,Hard,1,ELITE,1
q_9_eng_b_grammar_0054,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect Continuous,Apply,The child ______ since noon.,has been sleeping,slept,is slept,has slept yesterday,A | has been sleeping,Medium,1,ULTRA,1
q_9_eng_b_grammar_0055,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Present Perfect Continuous,Apply,The machine ______ properly for several days.,has not been working,did not work,is not worked,was not work,A | has not been working,Hard,1,ELITE,1
q_9_eng_b_grammar_0056,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Indefinite,Apply,The guests ______ an hour ago.,arrive,arrived,have arrived,are arriving,B | arrived,Easy,1,PRO,1
q_9_eng_b_grammar_0057,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Indefinite,Apply,Did he ______ the letter?,wrote,written,write,writes,C | write,Easy,1,ELITE,1
q_9_eng_b_grammar_0058,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Indefinite,Apply,She did not ______ the truth.,spoke,speak,speaks,spoken,B | speak,Easy,1,ELITE,1
q_9_eng_b_grammar_0059,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Indefinite,Apply,The child ______ the glass accidentally.,break,broke,broken,breaks,B | broke,Easy,1,ULTRA,1
q_9_eng_b_grammar_0060,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Indefinite,Apply,Who ______ the window?,break,broke,did broke,breaking,B | broke,Medium,1,ELITE,1
q_9_eng_b_grammar_0061,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Indefinite,Apply,They ______ not attend the meeting.,do,did,were,had,B | did,Easy,1,ULTRA,1
q_9_eng_b_grammar_0062,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Continuous,Apply,They ______ football when it started raining.,played,were playing,have played,are playing,B | were playing,Medium,1,ELITE,1
q_9_eng_b_grammar_0063,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Continuous,Apply,She ______ dinner at eight o'clock.,was cooking,cooked,has cooked,is cooking,A | was cooking,Medium,1,ULTRA,1
q_9_eng_b_grammar_0064,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Continuous,Apply,What ______ you ______ when I called?,were / doing,did / do,have / done,are / doing,A | were / doing,Hard,1,ELITE,1
q_9_eng_b_grammar_0065,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Continuous,Apply,The road ______ when we passed by.,was being repaired,repaired,has repaired,is repairing,A | was being repaired,Hard,1,ELITE,1
q_9_eng_b_grammar_0066,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Perfect,Apply,The train ______ before we reached the station.,left,had left,has left,was leaving,B | had left,Medium,1,ELITE,1
q_9_eng_b_grammar_0067,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Perfect,Apply,"After he ______ his work, he went home.",finished,had finished,has finished,finishes,B | had finished,Medium,1,ELITE,1
q_9_eng_b_grammar_0068,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Perfect,Apply,She told me that she ______ the book.,read,had read,has read,is reading,B | had read,Hard,1,ELITE,1
q_9_eng_b_grammar_0069,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Perfect,Apply,Had they ______ the message before leaving?,receive,received,receiving,receives,B | received,Medium,1,ULTRA,1
q_9_eng_b_grammar_0070,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Perfect,Apply,We could not enter because someone ______ the door.,locked,had locked,has locked,locks,B | had locked,Hard,1,ELITE,1
q_9_eng_b_grammar_0071,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Future Indefinite,Apply,I ______ you tomorrow.,call,called,will call,have called,C | will call,Easy,1,PRO,1
q_9_eng_b_grammar_0072,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Future Indefinite,Apply,Will she ______ the meeting?,attends,attend,attended,attending,B | attend,Easy,1,ULTRA,1
q_9_eng_b_grammar_0073,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Future Indefinite,Apply,Perhaps it ______ tonight.,rains,will rain,rained,has rained,B | will rain,Medium,1,ULTRA,1
q_9_eng_b_grammar_0074,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Future Indefinite,Apply,The school ______ next Monday.,opens,will open,opened,has opened,B | will open,Easy,1,PRO,1
q_9_eng_b_grammar_0075,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Future Perfect,Apply,They ______ the bridge by next year.,will build,will have built,built,have built,B | will have built,Hard,1,ELITE,1
q_9_eng_b_grammar_0076,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Future Perfect,Apply,"By the time you arrive, we ______ dinner.",finish,will finish,will have finished,finished,C | will have finished,Hard,1,ELITE,1
q_9_eng_b_grammar_0077,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Future Perfect,Apply,The students ______ the course by June.,will have completed,completed,will completing,have complete,A | will have completed,Hard,1,ULTRA,1
q_9_eng_b_grammar_0078,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Conditionals,Apply,"If you work hard, you ______.",succeed,will succeed,would succeed,would have succeeded,B | will succeed,Medium,1,ELITE,1
q_9_eng_b_grammar_0079,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Conditionals,Apply,"If I were rich, I ______ the poor.",will help,would help,helped,would have helped,B | would help,Hard,1,ELITE,1
q_9_eng_b_grammar_0080,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Conditionals,Apply,"If she had left earlier, she ______ the bus.",would catch,will catch,would have caught,caught,C | would have caught,Hard,1,ELITE,1
q_9_eng_b_grammar_0081,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Conditionals,Apply,"Unless you hurry, you ______ the train.",miss,will miss,would miss,missed,B | will miss,Medium,1,ULTRA,1
q_9_eng_b_grammar_0082,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Conditionals,Apply,"Had he studied hard, he ______ the examination.",passes,would pass,would have passed,will pass,C | would have passed,Hard,1,ELITE,1
q_9_eng_b_grammar_0083,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Conditionals,Apply,"If water reaches zero degrees Celsius, it ______.",freezes,will freeze,would freeze,froze,A | freezes,Medium,1,ULTRA,1
q_9_eng_b_grammar_0084,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Gerund and Infinitive,Apply,She enjoys ______ novels.,read,to read,reading,reads,C | reading,Medium,1,ULTRA,1
q_9_eng_b_grammar_0085,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Gerund and Infinitive,Apply,He decided ______ the job.,accept,to accept,accepting,accepted,B | to accept,Medium,1,ULTRA,1
